	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'l',)	0.0	0	0	0.087675	0.0	0	0.087675	0.17535	0.06575625	0.847525	0.0	0	0.029225	0	0.52605	1	0	0.0	0	0	0.146125	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
(u'm',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0
(u'n',)	0.0	0.713925	0.47595	0	0	0.0183057692308	0.169982142857	0	0.047595	0.627388636364	0	0	0	0	0	1	0.47595	0.0	0	0	0	0.0	0	0	0.19038	0	0.47595	0.3569625	0	0.02505	0	0	0	0	1	0	0
(u'ng',)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.17535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0
(u'ow',)	0.0	0	0	0	0.0	0.112725	0	0	0.067635	1	0	0	0	0	0	0.67635	0.22545	0	0	0.19726875	0.14090625	0.0	0.112725	0	0	0.0	0.22545	0.67635	0	0.112725	0	0	0	0.0	1	1	0.0
(u'p',)	0	0	0.07515	0	0	0.0187875	0	0	0	0.5448375	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4509	0	0.0214714285714	0	0.0	0	0	0	0	0
(u'r',)	0.0	0	0.2004	0	0.0	0	0.187875	0	0	0	0	0	0.0429428571429	0.3006	1	1	0.4509	0.0	0.0	0.52605	0	0	1	0	0	0	0	1	0.0858857142857	0	0	0	0	0	1	1	0.0
(u's',)	0.0	0.08454375	0.07515	0.112725	0	0.0161035714286	0	0	0	0.5448375	0.0	0	0.00805178571429	0	0.13527	1	0.112725	0.0	0	0.789075	0	0.0	0.338175	0	0.22545	0	0.04509	0.22545	0	0.0204954545455	0	0	0	0	0.7014	0.7515	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u't',)	0.0	0	0.32565	0.488475	0	0.0232607142857	1	0	0.07327125	1	0.0	0.0	0.488475	0.97695	1	0.7327125	0.293085	0.0	0.0	1	0	0.0	0	0	0	0.0	0.19539	0.0771276315789	0.488475	0	0	0	0.7327125	0	1	0.888136363636	0
(u'th',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.0	0	0	0	0	0.02505	0	0.0501	0.07515	0.4843	0	0	0	0.0334	0.1002	0.9018	0	0	0.0	0.3507	0	0.0	0.3006	0	0.1336	0	0	0.0334	0	0	0.0501	0	0	0.0	0.28056	0.167	0.0
(u'v',)	0	0	0	0	0	0.012525	0	0	0	0	0.0	0.0	0	0	0.0501	0.1503	0	0	0	0	0	0	0	0	0	0	0	0.1503	0	0	0	0	0	0	0	0.501	0
(u'w',)	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.0	0	0	0.112725	0	0.014090625	0	0.22545	0	0.192295588235	0	0	0	0	0	1	0.67635	0	0.0	0	0	0.0	0	0	0	0	0	0.22545	0	0	0	0	0	0.0	0	0.7515	0
