a              .6 -w
alive          .6l9v -w
all            .Ol -w
alldone         .Ol -w .dAn -w
allen            .&l~ -w
alligator      .&lIgetR -w
alligator's    .&lIgetRz -w
allow          .6lQ -w
allowed        .6lQd -w
ally               .&li -w
almost         .Olmost -w
alone          .6lon -w
along          .6lON -w
aloud            .6lQd -w
alpha           .&lf6 -w
alphabet       .&lf6bEt -w
alphabets       .&lf6bEts -w
already        .OlrEdi -w
alright        .Olr9t -w
alrightie      .Olr9ti -w
also           .Olso -w
although       .OlDo -w
altogether       .OltugEDR -w
always         .Olwez -w
am             .&m -w
amazed         .6mezd -w
amazement     .6mezm~t -w
amazing        .6mezIN -w
amazingly       .6mezINli -w
ambitious       .&mbIS6s -w
ambivalence    .&mbIv6l~s -w
amelia         .6mily6 -w
amen             .amEn -w
america         .6m*Ik6 -w
among         .6mAN -w
amount         .6mQnt -w
amused         .6myuzd -w
amusing        .6myuzIN -w
an             .6n -w
ancient         .enc~t -w
and            .&nd -w
andrea's          .&ndriAz -w
andrew's       .&ndruz -w
andy           .&ndi -w
andy's         .&ndiz -w
angel          .&nGL -w
angelica         .&nGElIk6 -w
angels         .&nGLz -w
angle            .&ngL -w
angry            .&ngri -w
animal         .&n6mL -w
animals        .&n6mLz -w
animosity     .&n6masIti -w   
ankle           .&nkL -w
ankles        .&NkLz -w
ann            .&n -w
anne           .&n -w
annie          .&ni -w
annie's        .&niz -w
anniversary      .&n6vRsRi -w
annoying        .6n7IN -w
anorexic         .&n6rEksIk -w
another        .6nADR -w
anotherthe     .6nADR -w .D6 -w
answer         .&nsR -w
answered        .&nsRd -w
answering         .&nsRIN -w
answers        .&nsRz -w
ant            .&nt -w
anteater        .&ntitR -w
antenna        .&ntEn6 -w
antennaes      .&ntEn6z -w
antibiotic      .&ntib9atIk -w
antibiotics      .&ntib9atIks -w
antisocial       .&ntisoSL -w
ants           .&nts -w
any            .Eni -w
anybody        .Enibadi -w
anyhow         .EnihQ -w
anymore        .Enim% -w
anyone         .EniwAn -w
anything       .EniTIN -w
anytime         .Enit9m -w
anyway         .Eniwe -w
anyways        .Eniwez -w
anywhere       .EniW* -w
apart          .6p#t -w
apartment      .6p#tm~t -w
aplenty         .6plEnti -w
apology         .6pOl6Gi -w
apparent       .6p*~t -w
apparently     .6p*~tli -w
appeals        .6pilz -w
appearance    .6p(~z -w
appeared       .6p(d -w
appetite         .&p6t9t -w
appiesauce     .&pisOs -w
apple          .&pL -w
apples         .&pLz -w
applesauce     .&pLsOs -w
appleses          .&pLz6z -w
applied           .6pl9d -w
applies           .6pl9z -w
apply          .6pl9 -w
applying       .6pl9yIN -w
appointment    .6p7ntm~t -w
appreciate     .6priSiet -w
appreciates     .6priSiets -w
approached     .6proct -w
appropriate    .6propriIt -w
apricot        .&prIkat -w
apricots        .&prikats -w
apron            .epr~ -w
apronstring      .epr~strIN -w
aquarium       .6kw*iM -w
arc                .#k -w
arches             .#c6z -w
are            .# -w
area           .*i6 -w
areas          .*i6z -w
areil            .EreL -w
aren't         .#nt -w
arfarf          .#f -w .#f -w
argue          .#gyu -w
arguing        .#gyuIN -w
argument      .#gyum~t -w
arise            .6r9z -w
ark              .#k -w
arm            .#m -w
armadillo      .#m6dIlo -w
armhole        .#mhol -w
arms           .#mz -w
army           .#mi -w
aroonie       .6runi -w
around         .6rQnd -w
arrange         .6renG -w
arranged       .6renGd -w
arrangements   .6renGm~ts -w
arranging         .6renGIN -w
array          .6re -w
arrived       .6r9vd -w
arriving      .6r9vIN -w
art          .#t -w
arthur      .#TR -w
article      .#tIkL -w
articles     .#tIkLz -w
artillery     .#tIlRi -w
arts          .#ts -w
as             .&z -w
ashamed     .6Semd -w
ashes         .&S6z -w
ashley        .&Sli -w
ashley's       .&Sliz -w
ashy          .&Si -w
ask            .&sk -w
asked          .&skt -w
asking         .&skIN -w
asks           .&sks -w
asleep         .6slip -w
asparagus    .6sp*6gAs -w
aspirate      .&sp6ret -w
aspirated     .&sp6ret6d -w
aspirates      .&sp6rets -w
aspirating      .&sp6retIN -w
assemble       .6sEmbL -w
asserting        .6sRtIN -w
assistance      .6sIst~s -w
associate      .6sosiet -w
associated     .6sosietId -w
associates     .6sosiets -w
association    .6sosieS~ -w
assortment      .6s#tm~t -w
assume         .6sum -w
assumed       .6sumd -w
at             .&t -w
ate            .et -w
athe             .eD -w
attach           .6t&c -w
attached       .6t&ct -w
attaches        .6t&c6z -w
attack         .6t&k -w
attacked       .6t&kt -w
attacking       .6t&kIN -w
attention      .6tEnS~ -w
attic             .&tIk -w
attitude         .&t6tud -w
attitude         .&t6tudz -w
attractive       .6tr&ktIv -w
augmentin       .OgmEntIn -w
august         .Og6st -w
aunt           .&nt -w
auntie         .&nti -w
aunts           .&nts -w
autograph     .Ot6gr&f -w
automatic       .Ot6m&tIk -w
automatically  .Ot6m&tIkli -w
automobile      .Ot6m6bil -w
avenue            .&v6nu -w
averaging       .&vr6GIN -w
avocado         .av6cado -w
avocados       .av6cadoz -w
aw                .O -w
awake          .6wek -w
awakening     .6wek~IN -w
aware          .6w* -w
away           .6we -w
awesome      .OsAm -w
awful           .OfL -w
awfully        .Ofli -w
awfuls          .OfLz -w
awkward      .OkwRd -w
ax               .&ks -w
aye              .9 -w
b                .bi -w
b@l            .bi -w
baa            .ba -w
baa@o         .ba -w
baba           .baba -w
babac         .babak -w
babar         .babar -w
babars         .babarz -w
babas            .babaz -w
babble         .b&bL -w
babbling     .b&bLIN -w
babe            .beb -w
babes           .bebz -w
babies         .bebiz -w
baboo           .b6bu -w
baboon         .b6bun -w
baby           .bebi -w
baby's         .bebiz -w
babycake        .bebikek -w
babycakes        .bebikeks -w
babydoll        .bebidOl -w
babydolls     .bebidOlz -w
babysat        .bebisIt -w
babysitter     .bebisItR -w
babysitters    .bebisItRz -w
back           .b&k -w
backdoor        .b&kd% -w
backed         .b&kt -w
backflips       .b&kflIps -w
background      .b&krQnd -w
backie          .b&ki -w
backing        .b&kIN -w
backordered     .b&k%dRd -w
backs          .b&ks -w
backtwist       .b&ktwIst -w
backward        .b&kw3d -w
backwards       .b&kw3dz -w
backwash         .b&kwaS -w
backyard        .b&ky#d -w
bacon          .bek~ -w
bacteria        .b&kt(i6 -w
bad            .b&d -w
badido         .b6dido -w
badly            .b&dli -w
baebae        .bebe -w
bag            .b&g -w
baggie        .b&gi -w
baggies        .b&giz -w
baggy           .b&gi -w
bags           .b&gz -w
bah             .ba -w
bailey         .beli -w
bake            .bek -w
baked           .bekt -w
baker            .bekR -w
baker's         .bekRz -w
bakers          .bekRz -w
bakes          .beks -w
baking         .bekIN -w
balance        .b&l~ts -w
balcony         .b&lk6ni -w
bald             .bOld -w
ball           .bOl -w
ball's        .bOlz -w
ballerina       .b&l6rin6 -w
ballerinas    .b&l6rin6z -w
ballet         .b&le -w
ballgame        .bOlgem -w
ballie          .bOli -w
balling         .bOlIN -w
balloon        .b6lun -w
balloons       .b6lunz -w
balls          .bOlz -w
balmex      .bOlmEks -w
balogna        .b6loni -w
baloney          .b6loni -w
balooga         .b6lug6 -w
baltimore       .baltIm% -w
bam             .b&m -w
bambi          .b&mbi -w
bambi's        .b&mbiz -w
bambis         .b&mbiz -w
bamboo        .b&mbu -w
banana        .b6n&n6 -w
bananas        .b6n&n6z -w
band           .b&nd -w
bandana      .b&nd&n6 -w
bands         .b&ndz -w
bang           .b&N -w
banged       .b&Nd -w
banging      .b&NIN -w
banillon      .b6nIl~ -w
banjo          .b&nGo -w
bank           .b&Nk -w
banner        .b&nR -w
bantam        .b&ntM -w
baps             .b&ps -w
bar               .b# -w
barbecue     .b#b6kyu -w
barbells         .b#bElz -w
barber           .b#bR -w
barbie          .b#bi -w
barbies        .b#biz -w
barbwire     .b#bw9r -w
barefoot      .b*fUt -w
barefooted     .b*fUt6d -w
barely           .b*li -w
baring           .b*IN -w
bark           .b#k -w
barked         .b#kt -w
barking      .b#kIN -w
barkley        .b#kli -w
barks          .b#ks -w
barley          .b#li -w
barn           .b#n -w
barney           .b#ni -w
barney's         .b#niz -w
barrel           .b*L -w
barrels        .b*Lz -w
barrette       .b6rEt -w
barrettes      .b6rEts -w
barron         .b*~ -w
barroon        .b6run -w
barroons          .b6runz -w
bars           .b#z -w
bart           .b#t -w
base         .bes -w
baseball       .besbOl -w
baseballs      .besbOlz -w
basement       .besm~t -w
bashful          .b&SfL -w
basic              .besIk -w
basically      .besIkli -w
basics          .besIks -w
basil            .bezIl -w
basil's           .bezIlz -w
basket         .b&skIt -w
basket's        .b&skIts -w
basketball    .b&skItbOl -w
basketballs     .b&skItbOlz -w
basketful         .b&skItfL -w
baskets        .b&skIts -w
baster          .bestR -w
basty            .besti -w
bat            .b&t -w
bath           .b&T -w
bathie          .b&Ti -w
bathing        .beDIN -w
bathingsuit     .beDINsut -w
bathingsuits      .beDINsuts -w
bathroom       .b&Trum -w
bathrooms       .b&Trumz -w
baths              .b&Ts -w
bathtime          .b&Tt9m -w
bathtub        .b&TtAb -w
batman        .b&tm&n -w
bats              .b&ts -w
batter            .b&tR -w
batteries         .b&tRi -w
battery           .b&tRiz -w
battery's         .b&tRiz -w
battle           .b&tL -w
batty            .b&ti -w
bay               .be -w
be             .bi -w
beach          .bic -w
bead            .bid -w
beads          .bidz -w
beady         .bidi -w
beak          .bik -w
bean         .bin -w
beanbag      .binb&g -w
beanie          .bini -w
beans          .binz -w
beanstalk      .binstak -w
bear           .b* -w
bear's          .b*z -w
bearbrown      .b*rbrQn -w
beard          .b(d -w
bears             .b*z -w
beast           .bist -w
beastly         .bistli -w
beat            .bit -w
beaten         .bit~ -w
beaters         .bitRz -w
beating          .bitIN -w
beatrix          .biatrIks -w
beautician       .byutIS~ -w
beautiful      .byut6fL -w
beautifully      .byutIfli -w
beauty           .byuti -w
beavers        .bivRz -w
bebe              .bebe -w
became          .bikem -w
because        .bIkAz -w
become         .bIkAm -w
becomes        .bIkAmz -w
becoming       .bikAmIN -w
bed            .bEd -w
bed's          .bEdz -w
beddybye      .bEdib9 -w
bedroom        .bEdrum -w
beds             .bEdz -w
bedspread      .bEdsprEd -w
bedtime        .bEdt9m -w
bee            .bi -w
bee's          .biz -w
beef            .bif -w
been           .bIn -w
beep          .bip -w
beeper       .bipR -w
beeps          .bips -w
beer            .b( -w
bees             .biz -w
beet             .bit -w
beetie            .biti -w
beetle             .bitL -w
beetles        .bitLz -w
beets            .bits -w
before         .bIf% -w
beg            .bEg -w
began          .bIg&n -w
beggar          .bEgR -w
begging        .bEgIN -w
begin          .bIgIn -w
beginner       .bIgInR -w
beginning      .bIgInIN -w
begins         .bIgInz -w
begun          .bIgAn -w
behaved        .bihevd -w
behavior       .bIhevyR -w
behind         .bIh9nd -w
being          .biIN -w
beings         .biINz -w
belch           .bElc -w
belches       .bElc6z -w
belief         .bIlif -w
believe        .bIliv -w
believed        .bIlivd -w
believes       .bIlivz -w
bell           .bEl -w
bellies       .bEliz -w
belligerent     .bElIGR~t -w
bellowed        .bElod -w
bells           .bElz -w
belly          .bEli -w
bellybutton   .bElibAt~ -w
belong          .bilON -w
belongs        .bIlON -w
below           .bIlo -w
belt           .bElt -w
belts          .bElts -w
ben            .bEn -w
ben's         .bEnz -w
bench         .bEnc -w
bend          .bEnd -w
bended       .bEnd6d -w
bending     .bEndIN -w
beneath       .bIniT -w
benjamin     .bEnG6mIn -w
bent          .bEnt -w
berries       .b*iz -w
berry          .b*i -w
bert           .b3t -w
bert's         .b3ts -w
bertha's       .b3T6z -w
beside         .bIs9d -w
besides        .bIs9dz -w
best           .bEst -w
bestest      .bEstEst -w
bet            .bEt -w
beth           .bET -w
better         .bEtR -w
betty          .bEti -w
between        .bItwin -w
beverage     .bEvR6G -w
beyond         .biand -w
bib            .bIb -w
bibbie       .bIbi -w
bible          .b9bL -w
bibs           .bIbz -w
bicycle        .b9sIkL -w
bid              .bId -w
big            .bIg -w
bigger         .bIgR -w
biggest        .bIgIst -w
bike          .b9k -w
bike's        .b9ks -w
bikes          .b9ks -w
bill           .bIl -w
bills          .bIlz -w
billy           .bIli -w
bin            .bIn -w
bing@o     .bIN -w
bingo       .bINgo -w
binkie        .bINki -w
binkies       .bINkiz -w
binoculars    .b9nAkyulRz -w
binya          .bIny6 -w
bird           .b3d -w
bird's          .b3dz -w
birdfeeder      .b3dfidR -w
birdie         .b3di -w
birdie's       .b3diz -w
birdies        .b3diz -w
birds          .b3dz -w
birth         .b3T -w
birthday       .b3Tde -w
biscuits        .bIskIts -w
bit            .bIt -w
bite           .b9t -w
bites          .b9ts -w
biting         .b9tIN -w
bits           .bIts -w
bitsy         .bItsi -w
bitter          .bItR -w
bitty             .bIti -w
black          .bl&k -w
blackberries     .bl&kb*iz -w
blackberry        .bl&kb*i -w
blackbird          .bl&kb3d -w
blackbirds        .bl&kb3dz -w
blade           .bled -w
blades         .bledz -w
blah          .bla -w
blame       .blem -w
blank         .bl&Nk -w
blanket        .bl&NkIt -w
blanketie       .bl&NkIti -w
blankets        .bl&NkIts -w
blankie       .bl&Nki -w
blankies       .bl&Nkiz -w
blast          .bl&st -w
bleach        .blic -w
bleached      .blict -w
bleaching       .blicIN -w
bleed             .blid -w
blend           .blEnd -w
blends         .blEndz -w
bless          .blEs -w
blessed        .blEst -w
blessing       .blEsIN -w
blessings       .blEsINz -w
blew           .blu -w
blind          .bl9nd -w
blinds          .bl9ndz -w
blink           .blINk -w
blinking      .blINkIN -w
block          .blak -w
block's        .blaks -w
blockbuster    .blakbAstR -w
blocked       .blakt -w
blockhead      .blakhEd -w
blockie          .blaki -w
blockies         .blakiz -w
blocking        .blakIN -w
blocks         .blaks -w
blond       .bland -w
blonde      .bland -w
blood        .blAd -w
bloom       .blum -w
blooming   .blumIN -w
blossomed       .blasMd -w
blouse         .blQs -w
blow           .blo -w
blowing      .blowIn -w
blows           .bloz -w
blowup       .bloAp -w
blue           .blu -w
blue's        .bluz -w
blueberries    .blub*iz -w
blueberry      .blub*i -w
blush          .blAS -w
blustery      .blAstRi -w
bo      .bo -w
board     .b%d -w
boarded     .b%d6d -w
boat           .bot -w
boats          .bots -w
bob            .bab -w
bobbing      .babIN -w
bobbling      .babLIN -w
bobby          .babi -w
bobo             .bobo -w
boboneen       .bobonin -w
boboni          .boboni -w
boboon         .bobun -w
boboonie       .bobuni -w
body           .badi -w
bog         .bag -w
bogus      .bogAs -w
boil          .b7l -w
boiled       .b7ld -w
boiling        .b7lIN -w
boing          .b7N -w
bologna        .b6loni -w
bond         .band -w
bone        .bon -w
boneen      .bonin -w
boneen's     .boninz -w
boneene      .bonin -w
boneeno       .bonino -w
bones          .bonz -w
bong          .baN -w
bongo        .baNgo -w
bongos        .baNgoz -w
bonk            .baNk -w
bonked       .baNkt -w
bonkie         .baNki -w
bonking       .baNkIN -w
bonnet          .banIt -w
bonny           .bani -w
bony           .boni -w
boo          .bu -w
boobie      .bubi -w
booboo         .bubu -w
boobooing@n    .bubuIN -w
booboon      .bubun -w
booboon's      .bubunz -w
booboonee     .bubuni -w
boobooneen     .bubunin -w
boobooneen's   .bubuninz -w
boobooneeno    .bubunino -w
booboonino       .bubunino -w
booboos         .bubuz -w
boobooshas   .bubuS6z -w
booger          .bUgR -w
boogers        .bUgRz -w
boogie          .bUgi -w
boogies       .bUgiz -w
boogyman        .bUgim&n -w
book           .bUk -w
bookbag      .bUkb&g -w
bookcase       .bUkkes -w
bookie          .bUki -w
bookies         .bUkiz -w
books          .bUks -w
boom           .bum -w
boom@o     .bum -w
boomdie      .bumdi -w
boomerang     .bum6r&N -w
booms         .bumz -w
boomsie        .bumzi -w
booneenie      .bunini -w
boonie          .buni -w
boop         .bup -w
boops@o     .bups -w
boopsieboo    .bupsibu -w
boosh            .buS -w
booshaboosh     .buS6buS -w
boost        .bust -w
booster      .bustR -w
boot            .but -w
bootiebooshas     .butibuS6z -w
booties     .butiz -w
boots          .buts -w
booty          .buti -w
bop      .bap -w
bop's     .baps -w
boppety    .bap6ti -w
bored          .b%d -w
boring         .b%IN -w
born         .b#n -w
borrowed     .barod -w
borrowing      .barowIn -w
bossing         .basIN -w
boston          .bastN -w
both           .boT -w
bother         .baDR -w
bothered       .baDRd -w
bothering      .baDRIN -w
bothers        .baDRz -w
bottle         .batL -w
bottles         .batLz -w
bottom         .batM -w
bottoms       .batMz -w
bough           .bQ -w
bought        .bOt -w
bounce        .bQnts -w
bounced       .bQntst -w
bouncer       .bQntsR -w
bounces       .bQnts6z -w
bouncie       .bQntsi -w
bouncing      .bQntsIN -w
bouncy          .bQntsi -w
bounder         .bQndR -w
bounds          .bQndz -w
bout           .bQt -w
bow            .bo -w
bowed         .bQd -w
bowel            .bQl -w
bowels           .bQlz -w
bowing           .bQIN -w
bowl           .bol -w
bowls          .bolz -w
bows           .boz -w
bowwow       .bQwQ -w
bowwow@o      .bQwQ -w
box            .baks -w
boxes          .baksIz -w
boy            .b7 -w
boy's          .b7z -w
boys           .b7z -w
boyser        .b7zR -w
boyz            .b7z -w
bra               .bra -w
bracelet        .bresl6t -w
braid            .bred -w
braiding       .bredIN -w
brain          .bren -w
bran           .br&n -w
branch        .br&nc -w
branches      .br&nc6z -w
brand           .br&nd -w
brandnew      .br&nd -w .nu -w
brass            .br&s -w
brat            .br&t -w
brave           .brev -w
bray             .bre -w
bread          .brEd -w
break          .brek -w
breakable      .brek6bL -w
breakfast      .brEkf6st -w
breaking        .brekIN -w
breaks           .breks -w
breast            .brEst -w
breath             .brET -w
breathe           .briD -w
breather         .briDR -w
breathing      .briDIN -w
breeze         .briz -w
brenda         .brEnd6 -w
brenda's       .brEnd6z -w
brendan        .brEnd~ -w
brian              .br9N -w
brick          .brIk -w
bricks         .brIks -w
bridge         .brIG -w
bridges        .brIGIz -w
briefcase        .brifkes -w
bright         .br9t -w
brighter        .br9tR -w
brightness     .br9tnEs -w
brigitte          .brIGit -w
brigitte's         .brIGits -w
brilliant           .brIly~t -w
bring          .brIN -w
bringing       .brININ -w
brings         .brINz -w
brisco         .brIsko -w
brisco's       .brIskoz -w
bristle        .brIsL -w
bristles       .brIsLz -w
britches       .brItc6z -w
brittany        .brItni -w
brittney         .brItni -w
brittney's        .brItniz -w
broad             .brOd -w
broader           .brOdR -w
broccoli          .brOc6li -w
brocovich      .brak6vIc -w
broke          .brok -w
broken         .brok~ -w
brokenhearted     .brok~h#t6d -w
brook       .brUk -w
brooklyn      .brUkl~ -w
broom          .brum -w
brooms          .brumz -w
broth             .braT -w
brother        .brADR -w
brothers         .brADRz -w
brought        .brOt -w
brown           .brQn -w
brownies        .brQniz -w
browns         .brQnz -w
brows          .brQz -w
brr          .bR -w
bruce      .brus -w
bruise     .bruz -w
bruised    .bruzd -w
brunch       .brAnc -w
brush          .brAS -w
brusha        .brAS6 -w
brushed        .brASt -w
brushes        .brASIz -w
brushing       .brASIN -w
bub              .bAb -w
bubbilicious    .bAbIlIS6s -w
bubble          .bAbL -w
bubbler         .bAbLR -w
bubbles        .bAbLz -w
bubblicious     .bAblIS6s -w
bubbly          .bAbLi -w
buckaroo       .bAk6ru -w
bucket            .bAkIt -w
buckets        .bAkIts -w
buckle           .bAkL -w
buckled          .bAkLd -w
buckles          .bAkLz -w
buckling       .bAklIN -w
bucks          .bAks -w
bucky          .bAki -w
bud            .bAd -w
buddies       .bAdiz -w
buddy          .bAdi -w
buds            .bAdz -w
bug            .bAg -w
bug's         .bAgz -w
bugged       .bAgd -w
buggie         .bAgi -w
bugging      .bAgIN -w
bugs           .bAgz -w
build          .bIld -w
builded       .bIld6d -w
building       .bIldIN -w
buildings      .bIldINz -w
builds         .bIldz -w
built          .bIlt -w
bull            .bUl -w
bullfrog       .bUlfrag -w
bully           .bUli -w
bullying       .bUliIN -w
bullys          .bUliz -w
bum             .bAm -w
bumblebee     .bAmbLbi -w
bumblebees     .bAmbLbiz -w
bumbling       .bAmbLIN -w
bummed        .bAmd -w
bummer         .bAmR -w
bummie         .bAmi -w
bummie's      .bAmiz -w
bumming       .bAmIN -w
bump         .bAmp -w
bumped     .bAmpt -w
bumper      .bAmpR -w
bumping     .bAmpIN -w
bumpity      .bAmpIti -w
bumps       .bAmps -w
bumpy       .bAmpi -w
bums         .bAmz -w
bun             .bAn -w
bunch          .bAnc -w
bundle          .bAndL -w
bungalow      .bAng6lo -w
bunnies        .bAniz -w
bunnies's    .bAniz6z -w
bunny          .bAni -w
bunny's        .bAniz -w
bunnyegg      .bAni -w .Eg -w
bunnyrabbit      .bAnir&bIt -w
bunnyrabbits      .bAnir&bIts -w
bunnys          .bAniz -w
buns              .bAnz -w
bunting         .bAntIN -w
buried           .b*id -w
burke           .b3k -w
burn           .b3n -w
burned       .b3nd -w
burning       .b3nIN -w
burnt          .b3nt -w
burp           .b3p -w
burped        .b3pt -w
burper        .b3pR -w
burpie        .b3pi -w
burping      .b3pIN -w
burps         .b3ps -w
burrow      .b3o -w
burt          .b3t -w
bury         .b*i -w
bus             .bAs -w
buses          .bAsIz -w
bush           .bUS -w
bushed        .bUSt -w
bushel         .bUSL -w
bushes         .bUSIz -w
business      .bIzn6s -w
businesses   .bIzn6s6z -w
bust            .bAst -w
busted          .bAst6d -w
buster         .bAstR -w
busting          .bAstIN -w
busts            .bAsts -w
busy           .bIzi -w
but            .bAt -w
but's          .bAts -w
buts          .bAts -w
butt           .bAt -w
butter         .bAtR -w
butterball     .bAtRbOl -w
butterflies    .bAtRfl9z -w
butterfly      .bAtRfl9 -w
butternut      .bAtRnAt -w
butternutie@n    .bAtRnAti -w
button         .bAt~ -w
buttoned       .bAt~d -w
buttonhole     .bAt~hol -w
buttoning      .bAt~IN -w
buttons        .bAt~z -w
butts       .bAts -w
buttsie     .bAtsi -w
buy            .b9 -w
buying        .b9IN -w
buys             .b9z -w
buzz      .bAz -w
buzzing     .bAzIN -w
by             .b9 -w
bye            .b9 -w
byebye        .b9b9 -w
byebyes      .b9b9z -w
c             .si -w
c@l            .si -w
cabbage       .k&b6G -w
cabinet        .k&b6nIt -w
cabinets       .k&b6nIts -w
cable       .kebL -w
caboose     .k6bus -w
cactus       .k&kt6s -w
cage           .keG -w
cages          .keGIz -w
cake           .kek -w
cake's        .keks -w
cakes          .keks -w
cakie       .keki -w
caking@n     .kekIN -w
calcium        .k&lsi6m -w
calculator     .k&lkyuletR -w
calendar      .k&lEndR -w
calf       .k&f -w
california     .k&l6f%ny6 -w
call           .kOl -w
called         .kOld -w
calling        .kOlIN -w
calls          .kOlz -w
calm       .kalm -w
calories      .k&l%iz -w
calvary       .k&lv6ri -w
came           .kem -w
camel         .k&mL -w
camels      .k&mLz -w
camera       .k&m6r6 -w
cameras     .k&m6r6z -w
camp          .k&mp -w
campbell     .k&mbL -w
camped     .k&mpt -w
camping     .k&mpIN -w
camps         .k&mps -w
can            .k&n -w
can't          .k&nt -w
cancel      .k&nsL -w
candies      .k&ndiz -w
candle       .k&ndL -w
candles      .k&ndLz -w
candy         .k&ndi -w
cane        .ken -w
cannot     .k&nat -w
cans        .k&nz -w
cantaloupe    .k&nt6lop -w
canton         .k&nt~ -w
cap            .k&p -w
capable        .kep6bL -w
capris       .k6priz -w
captain        .k&pt~ -w
car            .k# -w
car's         .k#z -w
carbonation   .k#b6neS~ -w
card           .k#d -w
cardboard      .k#db%d -w
cardinal        .k#d6nL -w
cardinals      .k#d6nLz -w
cards          .k#dz -w
care           .k* -w
careening     .k6rinIN -w
careful        .k*fL -w
carefully      .k*fLi -w
cares          .k*z -w
carl       .k#l -w
carmen     .k#m~ -w
carol       .k*L -w
carpet      .k#p6t -w
carriage     .k*6G -w
carrie       .k*i -w
carried        .k*id -w
carries        .k*iz -w
carrot         .k*6t -w
carrots        .k*6ts -w
carry          .k*i -w
carrying     .k*riIN -w
cars           .k#z -w
carseat      .k#sit -w
cart            .k#t -w
carton    .k#t~ -w
cartoon        .k#tun -w
cartoons        .k#tunz -w
carts          .k#ts -w
case           .kes -w
cases         .kes6z -w
cassy          .k&si -w
castle         .k&sL -w
castles        .k&sLz -w
casts     .k&sts -w
cat            .k&t -w
cat's          .k&ts -w
catalogs     .k&t6lagz -w
catalogue    .k&t6lag -w
catastrophe  .k6t&str6fi -w
catch          .k&c -w
catcher       .k&cR -w
catches       .k&c6z -w
catching       .k&cIN -w
catdoor      .k&td% -w
categorical    .k&tIg%IkL -w
categories     .k&tIg%iz -w
caterpillar    .k&tRpIlR -w
caterpillars     .k&tRpIlRz -w
catnaping     .k&tn&pIN -w
cats           .k&ts -w
caught         .kOt -w
cauliflower    .kOliflQR -w
cause          .kOz -w
causing      .kOzIN -w
cavalry       .k&vLri -w
cave         .kev -w
caves          .kevz -w
caw            .kO -w
