aab ஹ
guhd ౒
hhae ౓
hhaed ౔
hhaen ౕ
hhaend ౖ
hhaengz ౗
hhaev ౘ
hhaez ౙ
hhaeznt ౚ
hhah ౛
hhahm ౜
hhahp ౝ
hhahz ౞
hhaor ౟
hhaw ౠ
hhaws ౡ
hhax ౢ
hhaxd ౣ
hhaxz ౤
hhay ౥
hhehlp ౦
hhehr ౧
hher ౨
hheyts ౩
hhihm ౪
hhihr ౫
hhiy ౬
hhowld ౭
hhowlz ౮
hhowm ౯
hhowp ౰
hhuw ౱
ih ౲
ihf ౳
ihk ౴
ihn ౵
iht ౶
ihts ౷
ihz ౸
ihznt ౹
iy ౺
iych ౻
jhahst ౼
jhax ౽
jhaxz ౾
kaan ౿
kaardz ಀ
kaaz ಁ
kae ಂ
kaen ಃ
kaent ಄
kaept ಅ
kaets ಆ
kah ಇ
kahm ಈ
kahmz ಉ
kahp ಊ
kao ಋ
kaol ಌ
kaolz ಍
kaoz ಎ
kaw ಏ
kawz ಐ
kaxg ಑
kaxl ಒ
kaxn ಓ
kaxng ಔ
kaynd ಕ
kayndz ಖ
keh ಗ
kerz ಘ
key ಙ
kihd ಚ
kihdz ಛ
klah ಜ
kliy ಝ
klow ಞ
klowdhz ಟ
krey ಠ
krih ಡ
kuhd ಢ
kwayt ಣ
laat ತ
laats ಥ
laest ದ
laong ಧ
lax ನ
laxn ಩
laxng ಪ
layk ಫ
layks ಬ
layvz ಭ
leh ಮ
lehk ಯ
lehts ರ
leyt ಱ
lih ಲ
liy ಳ
low ಴
luh ವ
luhk ಶ
luhks ಷ
luhkt ಸ
lyax ಹ
lyer ಺
maa ಻
maarkt ಼
mae ಽ
mah ಾ
mahch ಿ
maor ೀ
maw ು
mawth ೂ
max ೃ
maxl ೄ
maxlz ೅
maxng ೆ
may ೇ
mayn ೈ
mehm ೉
mehn ೊ
mer ೋ
mey ೌ
meyk ್
meyks ೎
mih ೏
miy ೐
miyn ೑
mow ೒
mowst ೓
muwv ೔
muwvd ೕ
naak ೖ
naat ೗
naenz ೘
nah ೙
nahm ೚
naw ೛
nax ೜
naxng ೝ
nay ೞ
nays ೟
neh ೠ
neym ೡ
neymz ೢ
nih ೣ
niy ೤
niyd ೥
niyz ೦
now ೧
nowz ೨
nuw ೩
ow ೪
own ೫
owz ೬
paart ೭
paarts ೮
pah ೯
paxl ೰
paxn ೱ
paxnz ೲ
paxt ೳ
paxts ೴
peh ೵
per ೶
perz ೷
pey ೸
pihk ೹
pihks ೺
pihkt ೻
pihrd ೼
piy ೽
play ೾
pley ೿
pleys ഀ
pliyzd ഁ
poyn ം
poynt ഃ
praa ഄ
prax അ
praxt ആ
prayzd ഇ
priy ഈ
prow ഉ
puh ഊ
puhl ഋ
puht ഌ
puhts ഍
pyax എ
rah ഏ
rax ഐ
raxk ഑
raxnt ഒ
ray ഓ
rayt ഔ
reh ക
rih ഖ
rihps ഗ
riy ഘ
riyl ങ
ruw ച
sah ഛ
sahm ജ
saort ഝ
sawn ഞ
sawnd ട
sawndz ഠ
sax ഡ
saxm ഢ
saxnt ണ
saxnz ത
saxz ഥ
sayd ദ
sayz ധ
seh ന
sehd ഩ
sehlf പ
sehpt ഫ
sehz ബ
ser ഭ
sey മ
seym യ
shaht ര
shaxn റ
shaxnd ല
shaxnz ള
shaxz ഴ
sherts വ
shiy ശ
shiyl ഷ
shiyz സ
shliy ഹ
shuwz ഺ
sih ഻
sihks ഼
sihm ഽ
sihng ാ
siht ി
siy ീ
siym ു
siymd ൂ
siymz ൃ
siyn ൄ
siyz ൅
skrih െ
sliy േ
snaeps ൈ
sniy ൉
sow ൊ
speh ോ
spehnt ൌ
staap ്
staek ൎ
staend ൏
staendz ൐
staxd ൑
staxn ൒
steh ൓
ster ൔ
sterbd ൕ
sterbz ൖ
stihng ൗ
stihngk ൘
taekt ൙
tao ൚
taok ൛
taoks ൜
tax ൝
taxd ൞
taxl ൟ
taxng ൠ
taxnz ൡ
taxs ൢ
taxst ൣ
taxv ൤
tay ൥
taym ൦
taymz ൧
teh ൨
tehks ൩
tehmpt ൪
tehn ൫
ter ൬
termz ൭
teyk ൮
teyks ൯
teyl ൰
thaot ൱
thaxng ൲
thihng ൳
thihngk ൴
thihngz ൵
thruw ൶
tihng ൷
tiy ൸
tiynz ൹
tiyz ൺ
toy ൻ
toyz ർ
trah ൽ
trax ൾ
tray ൿ
trayd ඀
tuw ඁ
twiyn ං
vaxn ඃ
vaxng ඄
veh අ
ver ආ
vih ඇ
viy ඈ
vow ඉ
vraxl ඊ
vriy උ
waa ඌ
waan ඍ
waant ඎ
waants ඏ
waaz ඐ
waaznt එ
wahn ඒ
waht ඓ
wahts ඔ
waok ඕ
wax ඖ
waxdh ඗
waxz ඘
way ඙
wehl ක
wehn ඛ
wehnt ග
wehr ඝ
wehrz ඞ
wer ඟ
werd ච
werdz ඡ
werk ජ
werkt ඣ
wey ඤ
wihdh ඥ
wiy ඦ
wuhd ට
wuhdnt ඨ
yaa ඩ
yae ඪ
yeh ණ
yehs ඬ
yeht ත
yow ථ
yuw ද
yuwd ධ
yuws න
yuwz ඲
yuwzd ඳ
zaxz ප
zhax ඵ
zhaxn බ
zhaxnz භ
zih ම
ziy ඹ
ziynz ය
zuw ර
