aa ஹ
pihgz ೼
pihk ೽
piy ೾
piyk ೿
pley ഀ
pleyd ഁ
poynt ം
praa ഃ
praek ഄ
prehs അ
prih ആ
priy ഇ
puhl ഈ
puhsh ഉ
puht ഊ
r ഋ
rae ഌ
rax ഍
raxn എ
raxng ഏ
rayt ഐ
reh ഑
rey ഒ
rih ഓ
rihng ഔ
riy ക
riych ഖ
saa ഗ
saaft ഘ
sae ങ
sahm ച
sao ഛ
sawndz ജ
sax ഝ
saxm ഞ
saxs ട
saxz ഠ
say ഡ
seh ഢ
sehd ണ
sehlf ത
sehz ഥ
ser ദ
sey ധ
shaxn ന
shiy ഩ
shiyl പ
shiyz ഫ
show ബ
showz ഭ
shuw മ
shuwz യ
sih ര
siht റ
siy ല
siyz ള
skehr ഴ
skehrd വ
skwer ശ
skwiyk ഷ
sliy സ
smayl ഹ
smehl ഺ
smehlz ഻
sow ഼
spiyk ഽ
splao ാ
staarts ി
staend ീ
stahft ു
staxng ൂ
ster ൃ
stey ൄ
steyjh ൅
stihk െ
strahk േ
streynd ൈ
swiyt ൉
taa ൊ
tah ോ
tahch ൌ
tahng ്
tao ൎ
taok ൏
taokt ൐
tax ൑
taxd ൒
taxl ൓
taxn ൔ
taxng ൕ
taxnt ൖ
taxs ൗ
tay ൘
taym ൙
taymz ൚
teh ൛
tehl ൜
tehnd ൝
tehr ൞
ter ൟ
tey ൠ
teyk ൡ
thaengk ൢ
thaot ൣ
thawt ൤
thaxn ൥
thaxng ൦
thihng ൧
thihngk ൨
thihngz ൩
throw ൪
thruw ൫
ths ൬
tih ൭
tiy ൮
tiyz ൯
toy ൰
toyz ൱
traenst ൲
trax ൳
tray ൴
tuw ൵
vaxn ൶
vaxng ൷
veh ൸
ver ൹
vriy ൺ
waa ൻ
waach ർ
waan ൽ
waant ൾ
waants ൿ
waaz ඀
waaznt ඁ
wahn ං
waht ඃ
wahts ඄
wax අ
way ආ
wayl ඇ
wayld ඈ
weh ඉ
wehl ඊ
wehn උ
wehr ඌ
wehrz ඍ
werd ඎ
werks ඏ
wey ඐ
weyt එ
wih ඒ
wihch ඓ
wihdh ඔ
wihl ඕ
wiy ඖ
wiyl ඗
wiyv ඘
wow ඙
wownt ක
wuhd ඛ
wuw ග
wuwf ඝ
yaa ඞ
yae ඟ
yahm ච
yaor ඡ
yehs ජ
yer ඣ
yuw ඤ
yuwv ඥ
zaet ඦ
zax ට
zaxn ඨ
zaxp ඩ
zaxz ඪ
zhax ණ
zih ඬ
zihp ත
ziy ථ
