aa ஹ
chaamp ౖ
chax ౗
chaxn ౘ
chaxng ౙ
chaxz ౚ
chay ౛
chayld ౜
chehr ౝ
chehrz ౞
cher ౟
cherz ౠ
cheynjh ౡ
cheynjhd ౢ
chih ౣ
chihk ౤
chihks ౥
chihl ౦
chihps ౧
chiy ౨
chiyks ౩
chiyp ౪
chiyz ౫
chuw ౬
daa ౭
daagz ౮
daak ౯
daal ౰
daalz ౱
daar ౲
daaz ౳
dae ౴
daed ౵
daen ౶
daens ౷
daenz ౸
dah ౹
dahb ౺
dahk ౻
dahks ౼
dahmp ౽
dahn ౾
dahz ౿
dahznt ಀ
dao ಁ
daog ಂ
daogz ಃ
daor ಄
dawn ಅ
dax ಆ
daxd ಇ
daxlz ಈ
daxm ಉ
daxn ಊ
daxng ಋ
daxngz ಌ
day ಍
dayl ಎ
der ಏ
dert ಐ
derz ಑
dey ಒ
deyl ಓ
deyn ಔ
deyt ಕ
deyz ಖ
dhaen ಗ
dhaet ಘ
dhaetl ಙ
dhaets ಚ
dhax ಛ
dhaxs ಜ
dhaxt ಝ
dhehm ಞ
dhehn ಟ
dhehr ಠ
dher ಡ
dherz ಢ
dhey ಣ
dheyv ತ
dhihs ಥ
dhiyz ದ
dhow ಧ
dhowz ನ
dih ಩
dihd ಪ
dihdnt ಫ
dihdz ಬ
dihg ಭ
dihng ಮ
dihngk ಯ
dihr ರ
diy ಱ
diyz ಲ
dow ಳ
downt ಴
dowz ವ
draa ಶ
draapt ಷ
drae ಸ
drahm ಹ
drahmz ಺
drao ಻
drax ಼
draxn ಽ
drayv ಾ
drehs ಿ
drehst ೀ
drihng ು
drihngk ೂ
drowv ೃ
duw ೄ
dwaxch ೅
eh ೆ
ehf ೇ
ehg ೈ
ehgz ೉
ehk ೊ
ehks ೋ
ehl ೌ
ehls ್
ehm ೎
ehn ೏
ehnd ೐
ehr ೑
ehs ೒
eht ೓
er ೔
erd ೕ
ern ೖ
erz ೗
ey ೘
eych ೙
eyd ೚
eyjh ೛
eyt ೜
faar ೝ
fae ೞ
faen ೟
faest ೠ
fah ೡ
fahn ೢ
fao ೣ
faol ೤
faor ೥
fawnd ೦
fax ೧
faxl ೨
faxn ೩
faxnt ೪
faxnts ೫
faxs ೬
faxst ೭
fay ೮
fayn ೯
faynd ೰
fayv ೱ
feh ೲ
fehd ೳ
fehl ೴
fer ೵
ferst ೶
fey ೷
feyk ೸
feys ೹
fih ೺
fihks ೻
fihkst ೼
fihld ೽
fihng ೾
fihsh ೿
fiht ഀ
fiy ഁ
fiyd ം
fiyl ഃ
fiylz ഄ
fiyt അ
flae ആ
flaep ഇ
flah ഈ
flaor ഉ
flaw ഊ
flay ഋ
flayz ഌ
fliy ഍
flowt എ
fown ഏ
fownz ഐ
frah ഑
frahm ഒ
fraxm ഓ
frehnd ഔ
frehndz ക
freyd ഖ
frih ഗ
friy ഘ
friyz ങ
fuhl ച
fuht ഛ
fuhts ജ
fuw ഝ
fuwd ഞ
gaa ട
gaan ഠ
gaar ഡ
gaat ഢ
gahs ണ
gaon ത
gaor ഥ
gax ദ
gaxn ധ
gaxnz ന
gaxst ഩ
gay പ
geh ഫ
gehn ബ
gehs ഭ
geht മ
gehts യ
ger ര
gerl റ
gerlz ല
gerz ള
gey ഴ
geyl വ
geylz ശ
geym ഷ
geyv സ
gih ഹ
gihnz ഺ
gihv ഻
giy ഼
giyz ഽ
gow ാ
gowz ി
goyn ീ
grae ു
graeb ൂ
graemps ൃ
graend ൄ
grao ൅
grawlz െ
greyt േ
griy ൈ
griyn ൉
grow ൊ
guhd ോ
guw ൌ
guws ്
hhaa ൎ
hhaan ൏
hhaap ൐
hhaar ൑
hhaard ൒
hhaart ൓
hhaat ൔ
hhae ൕ
hhaed ൖ
hhaem ൗ
hhaend ൘
hhaendz ൙
hhaeng ൚
hhaet ൛
hhaev ൜
hhaevnt ൝
hhaez ൞
hhaeznt ൟ
hhah ൠ
hhahg ൡ
hhahm ൢ
hhahmp ൣ
hhahng ൤
hhaor ൥
hhaors ൦
hhaw ൧
hhaws ൨
hhawz ൩
hhax ൪
hhaxm ൫
hhaxng ൬
hhaxv ൭
hhay ൮
hhaynd ൯
hheh ൰
hhehd ൱
hhehlp ൲
hhehr ൳
hher ൴
hherd ൵
hhert ൶
hhey ൷
hheyt ൸
hheyts ൹
hhihm ൺ
hhihr ൻ
hhihrz ർ
hhiht ൽ
hhihz ൾ
hhiy ൿ
hhiyl ඀
hhiyz ඁ
hhow ං
hhowd ඃ
hhowl ඄
hhowld අ
hhowm ආ
hhowp ඇ
hhuw ඈ
hhuwm ඉ
hhuwz ඊ
ih උ
ihf ඌ
ihk ඍ
ihm ඎ
ihn ඏ
ihng ඐ
ihr එ
ihrz ඒ
iht ඓ
ihts ඔ
ihz ඕ
ihznt ඖ
iy ඗
iych ඘
iyt ඙
iyv ක
iyz ඛ
jhaa ග
jhaab ඝ
jhaar ඞ
jhae ඟ
jhaek ච
jhahm ඡ
jhahmp ජ
jhahmpt ඣ
jhahst ඤ
jhax ඥ
jhaxk ඦ
jhaxn ට
jhaxs ඨ
jhaxz ඩ
jhay ඪ
jheh ණ
jhehf ඬ
jhehn ත
jher ථ
jherz ද
jhey ධ
jheyk න
jhihl ඲
jhihn ඳ
jhiy ප
jhiynz ඵ
jhiyz බ
jhow භ
jhuw ම
jhuws ඹ
kaa ය
kaaf ර
kaam ඼
kaar ල
kaaz ඾
kae ඿
kaech ව
kaen ශ
kaent ෂ
kaep ස
kaet හ
kaets ළ
kah ෆ
kahm ෇
kahmz ෈
kahp ෉
kahps ්
kaht ෋
kao ෌
kaol ෍
kaold ෎
kaolz ා
kaorn ැ
kaors ෑ
kaoz ි
kaw ී
kawnt ු
kawt ෕
kawz ූ
kax ෗
kaxd ෘ
kaxg ෙ
kaxl ේ
kaxlt ෛ
kaxlz ො
kaxm ෝ
kaxn ෞ
kaxnd ෟ
kaxng ෠
kaxnz ෡
kaxt ෢
kaynd ෣
kayndz ෤
kayt ෥
kayz ෦
keh ෧
kehr ෨
ker ෩
kerd ෪
kerz ෫
key ෬
keyjh ෭
keyk ෮
keyks ෯
keym ෰
keyvz ෱
keyz ෲ
kih ෳ
kihd ෴
kihn ෵
kihng ෶
kihs ෷
kiy ෸
kiyp ෹
kiyz ෺
klaa ෻
klaak ෼
klaaks ෽
klaoth ෾
klaxs ෿
klaym ฀
kliy ก
kliyn ข
kliynz ฃ
klowdhz ค
klows ฅ
klowz ฆ
klowzd ง
km จ
kow ฉ
kowld ช
kowm ซ
kowz ฌ
kraa ญ
krahnch ฎ
kraos ฏ
krax ฐ
kray ฑ
kreh ฒ
krey ณ
kreyn ด
krih ต
kriym ถ
kuh ท
kuhd ธ
kuhdnt น
kuwn บ
kwaek ป
kway ผ
kwayt ฝ
kweh พ
kwih ฟ
kwihk ภ
kwihlt ม
kwihlts ย
kyuw ร
kyuwbz ฤ
kyuwm ล
kyuwmz ฦ
kyuwt ว
laa ศ
laak ษ
laarm ส
laat ห
laats ฬ
laef อ
laep ฮ
laest ฯ
lah ะ
lahnch ั
lahv า
lahvz ำ
lao ิ
laong ี
laost ึ
lawd ื
lax ุ
laxl ู
laxn ฺ
laxng ฻
laxp ฼
laxs ฽
lay ฾
layk ฿
layks เ
laykt แ
layn โ
layv ใ
layvz ไ
layzd ๅ
leh ๆ
lehft ็
lehg ่
lehk ้
lehm ๊
lehs ๋
leht ์
lehts ํ
ler ๎
lernd ๏
lerz ๐
ley ๑
leyk ๒
leyn ๓
leyt ๔
lih ๕
lihf ๖
lihft ๗
lihk ๘
lihn ๙
lihng ๚
lihv ๛
lihvz ๜
liy ๝
liysh ๞
liyv ๟
liyvz ๠
liyz ๡
low ๢
lowg ๣
lown ๤
lowz ๥
luh ๦
luhk ๧
luhks ๨
luhkt ๩
luwn ๪
luwnz ๫
luws ๬
lyer ๭
lyuw ๮
maa ๯
maam ๰
maan ๱
maar ๲
mae ๳
maech ๴
maeml ๵
maen ๶
maes ๷
maeth ๸
mah ๹
mahch ๺
mahg ๻
mahng ๼
mahnth ๽
mahsh ๾
mahsnt ๿
mahst ຀
maor ກ
maw ຂ
mawdhz ຃
maws ຄ
mawth ຅
max ຆ
maxk ງ
maxl ຈ
maxlz ຉ
maxn ຊ
maxng ຋
maxz ຌ
may ຍ
mayk ຎ
mayn ຏ
mayt ຐ
mehm ຑ
mehs ຒ
mer ຓ
mey ດ
meyd ຕ
meyk ຖ
meyks ທ
mih ຘ
mihlk ນ
mihng ບ
mihs ປ
mihst ຜ
miy ຝ
miyl ພ
miym ຟ
miyn ຠ
miynz ມ
miyt ຢ
miyz ຣ
mow ຤
mowst ລ
moy ຦
muw ວ
muwn ຨ
muwv ຩ
myuw ສ
naa ຫ
naach ຬ
naak ອ
naakt ຮ
naat ຯ
nae ະ
naen ັ
naenz າ
naep ຳ
nah ິ
nahf ີ
nahm ຶ
nahts ື
naor ຸ
naw ູ
nax ຺
naxld ົ
naxng ຼ
naxs ຽ
naxsh ຾
naxsht ຿
naxt ເ
naxz ແ
nay ໂ
nayn ໃ
nays ໄ
nayt ໅
nayz ໆ
neh ໇
nehk ່
nehkst ້
ner ໊
ners ໋
neym ໌
neymz ໍ
nihng ໎
nihr ໏
niy ໐
niyd ໑
niydz ໒
niyk ໓
niyt ໔
niyz ໕
now ໖
nowp ໗
nowz ໘
noyz ໙
nuw ໚
nuwt ໛
nyax ໜ
nyaxn ໝ
ow ໞ
owld ໟ
own ໠
ows ໡
oyngk ໢
paa ໣
paak ໤
paap ໥
paar ໦
paark ໧
paart ໨
pae ໩
paen ໪
paents ໫
paest ໬
paet ໭
paets ໮
pah ໯
pahp ໰
paol ໱
paolz ໲
paor ໳
pax ໴
paxl ໵
paxlz ໶
paxn ໷
paxnd ໸
paxng ໹
paxnz ໺
paxt ໻
payk ໼
payl ໽
paylz ໾
peh ໿
pehn ༀ
pehr ༁
peht ༂
per ༃
pers ༄
perz ༅
pey ༆
peyjh ༇
peynt ༈
peyst ༉
pih ༊
pihg ་
pihgz ༌
pihk །
pihngk ༎
piy ༏
piych ༐
piyk ༑
piys ༒
piyz ༓
plehn ༔
pley ༕
pleyd ༖
pleyn ༗
pleys ༘
pleyz ༙
pliyt ༚
pliyz ༛
pow ༜
powk ༝
powlz ༞
powzd ༟
poynt ༠
praa ༡
praek ༢
prax ༣
prehs ༤
prih ༥
priy ༦
puh ༧
puhl ༨
puhld ༩
puhr ༪
puhsh ༫
puht ༬
puhts ༭
puwl ༮
puwn ༯
puwps ༰
r ༱
raa ༲
raak ༳
rae ༴
raeng ༵
raept ༶
raet ༷
rahg ༸
rahn ༹
raong ༺
rawnd ༻
rax ༼
raxn ༽
raxng ༾
raxnjh ༿
raxnt ཀ
raxt ཁ
raxts ག
ray གྷ
rayd ང
rayt ཅ
reh ཆ
rehd ཇ
rehst ཈
rehts ཉ
rer ཊ
rey ཋ
rih ཌ
rihd ཌྷ
rihng ཎ
rihngz ཏ
rihp ཐ
rihst ད
riy དྷ
riych ན
riyd པ
riyl ཕ
row བ
rowz བྷ
ruw མ
saa ཙ
saaft ཚ
saak ཛ
saaks ཛྷ
sae ཝ
saen ཞ
saet ཟ
sah འ
sahch ཡ
sahm ར
sao ལ
saong ཤ
saongz ཥ
saort ས
sawnd ཧ
sawndz ཨ
sax ཀྵ
saxl ཪ
saxlz ཫ
saxm ཬ
saxn ཭
saxs ཮
saxv ཯
saxz ཰
say ཱ
sayd ི
saydz ཱི
sayz ུ
seh ཱུ
sehd ྲྀ
sehk ཷ
sehlf ླྀ
seht ཹ
sehz ེ
ser ཻ
serz ོ
sey ཽ
seym ཾ
sh ཿ
shae ྀ
shael ཱྀ
shahsh ྂ
shaht ྃ
shaort ྄
shaxn ྅
shaxng ྆
shaxs ྇
sheh ྈ
shert ྉ
shey ྊ
sheyk ྋ
shihng ྌ
shiy ྍ
shiyd ྎ
shiyl ྏ
shiyn ྐ
shiyp ྑ
shiyz ྒ
shmeh ྒྷ
show ྔ
showl ྕ
showz ྖ
shuhd ྗ
shuhdnt ྘
shuhr ྙ
shuw ྚ
shuwz ྛ
sih ྜ
sihk ྜྷ
sihks ྞ
sihn ྟ
sihng ྠ
siht ྡ
siy ྡྷ
siyn ྣ
siyt ྤ
siyz ྥ
skaach ྦ
skaat ྦྷ
skay ྨ
skehr ྩ
skehrd ྪ
skehrz ྫ
skerz ྫྷ
skihpt ྭ
skrae ྮ
skraech ྯ
skraem ྰ
skuw ྱ
skuwl ྲ
skwer ླ
skwiyk ྴ
slayd ྵ
slih ྶ
sliy ྷ
sliyp ྸ
sliyps ྐྵ
sliyv ྺ
sliyvz ྻ
smaart ྼ
smaol ྽
smayl ྾
smeh ྿
smehl ࿀
smehlz ࿁
snaep ࿂
sneyk ࿃
sniy ࿄
snow ࿅
snowz ࿆
sow ࿇
sown ࿈
spae ࿉
spaengk ࿊
spaengkt ࿋
spehk ࿌
spehn ࿍
speys ࿎
spiyk ࿏
splao ࿐
sprehd ࿑
spuwn ࿒
staart ࿓
staarts ࿔
stae ࿕
staek ࿖
staen ࿗
staend ࿘
stah ࿙
stahf ࿚
stahft ࿛
stahk ࿜
stao ࿝
staor ࿞
stax ࿟
staxd ࿠
staxng ࿡
stehd ࿢
ster ࿣
stey ࿤
steyjh ࿥
steyk ࿦
steyks ࿧
steyz ࿨
stihk ࿩
stihks ࿪
stihl ࿫
stihng ࿬
stiym ࿭
straep ࿮
straeps ࿯
strahk ࿰
strao ࿱
straong ࿲
straxs ࿳
strey ࿴
streynd ࿵
streyt ࿶
strihngz ࿷
strow ࿸
stuhd ࿹
suw ࿺
suwn ࿻
suwp ࿼
suwz ࿽
sweh ࿾
swih ࿿
swihm က
swihng ခ
swihngz ဂ
swiyt ဃ
taa င
taak စ
taang ဆ
taap ဇ
taecht ဈ
tah ဉ
tahb ည
tahch ဋ
tahm ဌ
tahng ဍ
tao ဎ
taok ဏ
taoks တ
taokt ထ
taw ဒ
tax ဓ
taxd န
taxl ပ
taxlz ဖ
taxm ဗ
taxn ဘ
taxng မ
taxnt ယ
taxnz ရ
taxs လ
taxst ဝ
taxz သ
tay ဟ
taym ဠ
taymz အ
tayn ဢ
tayz ဣ
teh ဤ
tehk ဥ
tehl ဦ
tehn ဧ
tehnd ဨ
tehr ဩ
ter ဪ
tern ါ
ternd ာ
terz ိ
tey ီ
teyk ု
teyks ူ
teyl ေ
teyp ဲ
teyst ဳ
teysts ဴ
thaengk ဵ
thahm ံ
thaot ့
thawt း
thaxn ္
thaxng ်
thihng ျ
thihngk ြ
thihngz ွ
threhd ှ
thriy ဿ
thriyz ၀
throw ၁
thrown ၂
throwt ၃
thruw ၄
ths ၅
tih ၆
tihk ၇
tihks ၈
tihng ၉
tihs ၊
tiy ။
tiyth ၌
tiyz ၍
tow ၎
towld ၏
towst ၐ
toy ၑ
toyz ၒ
traeks ၓ
traenst ၔ
trah ၕ
trahk ၖ
trahks ၗ
trahngk ၘ
trax ၙ
traxk ၚ
traxks ၛ
tray ၜ
trayk ၝ
treyn ၞ
treynz ၟ
trih ၠ
trihp ၡ
triy ၢ
tuhk ၣ
tuw ၤ
twiyn ၥ
uw ၦ
uwp ၧ
uwps ၨ
vae ၩ
vaxn ၪ
vaxng ၫ
vaxnz ၬ
vay ၭ
veh ၮ
ver ၯ
verd ၰ
verz ၱ
vey ၲ
vih ၳ
viy ၴ
vliy ၵ
voys ၶ
vrayt ၷ
vriy ၸ
w ၹ
waa ၺ
waach ၻ
waan ၼ
waant ၽ
waants ၾ
waaz ၿ
waaznt ႀ
wae ႁ
waed ႂ
waetd ႃ
wah ႄ
wahn ႅ
wahnz ႆ
waht ႇ
wahts ႈ
wao ႉ
waok ႊ
waol ႋ
waw ႌ
wax ႍ
waxdh ႎ
waxz ႏ
way ႐
wayl ႑
wayld ႒
wayt ႓
weh ႔
wehl ႕
wehn ႖
wehnt ႗
wehr ႘
wehrz ႙
wer ႚ
werd ႛ
werk ႜ
werks ႝ
wey ႞
weyk ႟
weyks Ⴀ
weyl Ⴁ
weyt Ⴂ
weyz Ⴃ
wih Ⴄ
wihch Ⴅ
wihdh Ⴆ
wihl Ⴇ
wihn Ⴈ
wihsh Ⴉ
wiy Ⴊ
wiyl Ⴋ
wiylz Ⴌ
wiyv Ⴍ
wow Ⴎ
wownt Ⴏ
wuhd Ⴐ
wuhdnt Ⴑ
wuw Ⴒ
wuwf Ⴓ
wuwp Ⴔ
wuwps Ⴕ
yaa Ⴖ
yaarn Ⴗ
yae Ⴘ
yah Ⴙ
yahm Ⴚ
yahng Ⴛ
yahp Ⴜ
yaon Ⴝ
yaor Ⴞ
yax Ⴟ
yeh Ⴠ
yehs Ⴡ
yeht Ⴢ
yer Ⴣ
yiyz Ⴤ
yowk Ⴥ
yuhrz ჆
yuw Ⴧ
yuwd ჈
yuwl ჉
yuws ჊
yuwv ჋
yuwz ჌
zaet Ⴭ
zax ჎
zaxk ჏
zaxn ა
zaxnz ბ
zaxp გ
zaxz დ
zay ე
zert ვ
zerz ზ
zhax თ
zih ი
zihp კ
zihpt ლ
ziy მ
ziyz ნ
zuw ო
