aa ஹ
sheh ര
shey റ
sheyk ല
shiy ള
shiyd ഴ
shiyp വ
shuhd ശ
shuw ഷ
shuwz സ
sih ഹ
sihng ഺ
siht ഻
siy ഼
skrae ഽ
skuwl ാ
skwiyk ി
sliyp ീ
sliyvz ു
smehl ൂ
snaep ൃ
sow ൄ
staart ൅
staend െ
stahk േ
steyk ൈ
steyks ൉
stihng ൊ
straxs ോ
stuhd ൌ
swiyt ്
taa ൎ
taap ൏
tahng ൐
taok ൑
tax ൒
taxd ൓
taxl ൔ
taxn ൕ
taxng ൖ
taxnz ൗ
tay ൘
taym ൙
teh ൚
tehl ൛
ter ൜
tern ൝
terz ൞
teyl ൟ
teyst ൠ
thaengk ൡ
thahm ൢ
thaxng ൣ
thihngk ൤
thihngz ൥
thriy ൦
thruw ൧
tiy ൨
tiyth ൩
towst ൪
toy ൫
toyz ൬
trahngk ൭
trax ൮
tuw ൯
uw ൰
vaxn ൱
vaxng ൲
veh ൳
ver ൴
waa ൵
waach ൶
waan ൷
waant ൸
waants ൹
waaz ൺ
waetd ൻ
wahn ർ
waht ൽ
wahts ൾ
waw ൿ
waxdh ඀
way ඁ
weh ං
wehl ඃ
wehn ඄
wehr අ
wehrz ආ
wer ඇ
werd ඈ
wey ඉ
weyz ඊ
wihch උ
wihdh ඌ
wihl ඍ
wiy ඎ
wiyl ඏ
wow ඐ
wuhd එ
wuwf ඒ
yaa ඓ
yahm ඔ
yaor ඕ
yeh ඖ
yehs ඗
yer ඘
yuw ඙
yuwz ක
zax ඛ
zih ග
zihp ඝ
ziy ඞ
