	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0
(u'eh',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0.0098	0.0	0	0.0686	0.049	0	0.0784	0.1176	0	0	0	0	0	0	0.0392	0	0	0	0	0.0882	0	0	0	0	0	0.4018	0	0.01225	0	0	0	0	0	0	0
(u'ey',)	0.0196	0	0.0	0	0	0.0098	0	0.049	0.0098	0	0.4704	0	0	0	0	0	0	0	0	0.3136	0	0	0.3528	0	0	0	0	0	0.8036	0	0	0.0392	0	0	0	0.4116	1	0.0
(u'f',)	0	0	0.0	0.0098	0	0.0196	0.1372	0	0	0	0	0.0392	0	0	0	0	0	0.0784	0.0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0.3136	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0	0.8232	0	0.2744	0.0	0.1372	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0.0914666666667	1	0.8232	0	0	0	0.0	0	1	0	0.457333333333	0.1372	0	0	0.0	1	1	0.0
(u'k',)	0.0147	0.00678461538462	0.0	0.0294	0	0.0294	0	0	0	0	0.3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1764	0	0	0.0441	0.30135	0	0	0	0.0	0	0	0.2058	0.3136	0
(u'l',)	0	0	0	0.0392	0	0.0196	0.2744	0.196	0	0.0522666666667	0.4704	0.1568	0.0	0.0	0.0	0	0.392	0.0522666666667	0.0	0	0.0392	0.1568	0	0	0.2352	0	0	0	1	0	0	0	0.0	0	0	0.8232	0	0
(u'm',)	0.00588	0	0.0	0.0882	0.0	0.0441	0.12348	0	0	0	0	0.1764	0	0.0	0	0.1764	0	0	0.0	0.2352	0	0.7056	0.7938	0	0.2646	0	0	0	0	0	0.2205	0	0	0.0	0	0	0.4704	0
(u'n',)	0.013475	0	0.0	0	0.0	0.00829230769231	0.7546	0	0.0539	0.2156	0.6468	0	0	0	0	0	0.539	0	0.0	0	0	0.4312	0	0	0.06468	0.0	0.0	0	0	0	0.0359333333333	0	0	0	0	0	0.8624	0
(u'ng',)	0	0	0	0	0	0	0	0.539	0	0	0	0	0	0	0.0	0.8624	0	0.4312	0	0.4312	0	0.4312	0.9702	0	0	0	0	0	0	0	0.539	0	0	0	0	1	1	0
(u'ow',)	0	0	0	0	0	0.1372	0	0.1715	0	0	0	0	0	0	0	0	0.686	0	0	0	0.0228666666667	1	0.3087	0	0	0	0.0	0	1	0	0.686	0	0	0	0	0	1	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'p',)	0.1323	0	0	0	0	0.06615	0	0	0	0	1	0	0	0	0	1	1	0.21168	0.0	0	0.0441	0	0	0	1	0	0	0.7938	1	0	1	0	0	0.0	0	0	0	0
(u'r',)	0.0882	0.0378	0	0	0	0.011025	0.1029	0.441	0	0.7056	0	0	0	0.0	0.0	0.7056	0	0.1176	0.0	0.3528	0	0.14112	0.7938	0	0	0	0.0	0	0.72324	0	0.2205	0	0	0	0	0	0.56448	0.0
(u's',)	0.0245	0	0	0	0	0.00445454545455	0.343	0	0	0.392	0.196	0.0653333333333	0	0.0	0	0.392	0.49	0.0653333333333	0.0	0.130666666667	0	0	0.147	0	0.0588	0	0.0	0	0	0	0.00644736842105	0	0	0	0	1	0.784	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.00790322580645	0	0.0	0	0	0.0136111111111	0.245	0	0	0.653333333333	1	0.98	0.0	0.0	0.0	1	0.49	0.098	0.0	0.98	0	0.245	1	0	0	0	0.0	0	0.6278125	0	0.245	0	0	0.0	0	0	1	0
(u'th',)	0	0.0882	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uw',)	0	0	0.0	0.0245	0	0	0	0	0	0.196	0.588	0	0	0.0	0	0.0784	0.0816666666667	0.196	0	0.130666666667	0.049	0.130666666667	0.0339230769231	0	0	0	0.0	0	0.2009	0.0	0.0816666666667	0.049	0	0	0.0	0.2058	1	0.0
(u'v',)	0	0	0	0	0	0.0098	0	0	0	0	0	0	0	0	0.0	0	0	0.0392	0	0.0784	0	0.0261333333333	0	0	0	0	0	0	0.2009	0	0.0163333333333	0	0	0	0	0	0.3136	0
(u'w',)	0.0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0
(u'z',)	0	0	0	0	0	0.0882	0.2058	0.441	0	0.7056	0.1764	0	0	0	0	0	0.882	0	0	0	0	0.7056	0	0	0	0	0	0.0882	1	0.0	0.441	0	0	0	0	0	0.4704	0
