aa ஹ
ner ഫ
neym ബ
niy ഭ
niydz മ
niyz യ
now ര
nowz റ
nuw ല
ow ള
owld ഴ
paa വ
paart ശ
pae ഷ
paen സ
paents ഹ
paet ഺ
pah ഻
pahp ഼
paol ഽ
paolz ാ
paxl ി
paxn ീ
paxnd ു
paxng ൂ
paxnz ൃ
paxt ൄ
per ൅
perz െ
pey േ
peyjh ൈ
pihg ൉
pihk ൊ
pihngk ോ
piy ൌ
piych ്
piys ൎ
piyz ൏
pley ൐
pleyn ൑
pleyz ൒
pliyz ൓
powlz ൔ
powzd ൕ
prih ൖ
priy ൗ
puhl ൘
puhr ൙
puhsh ൚
puht ൛
rahn ൜
rawnd ൝
rax ൞
raxnjh ൟ
rayt ൠ
reh ൡ
rehd ൢ
rehst ൣ
rer ൤
rih ൥
rihng ൦
rihngz ൧
riy ൨
riych ൩
riyd ൪
riyl ൫
row ൬
rowz ൭
saa ൮
saaft ൯
sae ൰
saen ൱
sahm ൲
saongz ൳
saort ൴
sawnd ൵
sax ൶
saxl ൷
saxm ൸
saxn ൹
saxv ൺ
saxz ൻ
saydz ർ
seh ൽ
sehk ൾ
sehlf ൿ
sehz ඀
ser ඁ
sey ං
shael ඃ
shaht ඄
shaxn අ
shaxng ආ
shiy ඇ
shiyz ඈ
shuhd ඉ
shuhr ඊ
shuw උ
shuwz ඌ
sih ඍ
sihk ඎ
sihks ඏ
sihn ඐ
siht එ
siy ඒ
siyn ඓ
skay ඔ
skihpt ඕ
skrae ඖ
skraech ඗
skuw ඘
skuwl ඙
skwiyk ක
slayd ඛ
sliy ග
sliyp ඝ
smaol ඞ
smeh ඟ
smehl ච
snow ඡ
sow ජ
spehk ඣ
spuwn ඤ
staart ඥ
staek ඦ
staen ට
staend ඨ
stao ඩ
stax ඪ
ster ණ
steyk ඬ
stihks ත
stihl ථ
stiym ද
straep ධ
streyt න
suwn ඲
taa ඳ
taap ප
tahm ඵ
tahng බ
taok භ
taoks ම
taw ඹ
tax ය
taxd ර
taxl ඼
taxlz ල
taxn ඾
taxng ඿
taxnz ව
tay ශ
taym ෂ
teh ස
tehnd හ
ter ළ
tern ෆ
ternd ෇
terz ෈
tey ෉
teyk ්
teyl ෋
teyp ෌
teyst ෍
teysts ෎
thaengk ා
thahm ැ
thaot ෑ
thaxng ි
thihng ී
thihngk ු
thihngz ෕
thriy ූ
throw ෗
thruw ෘ
tihk ෙ
tiy ේ
tiyth ෛ
tiyz ො
towld ෝ
toyz ෞ
trahks ෟ
tray ෠
trih ෡
tuhk ෢
tuw ෣
uw ෤
uwp ෥
uwps ෦
vaxn ෧
veh ෨
ver ෩
verd ෪
vey ෫
viy ෬
vliy ෭
waa ෮
waach ෯
waan ෰
waant ෱
waaz ෲ
waaznt ෳ
wahn ෴
wahnz ෵
waht ෶
wahts ෷
wao ෸
waok ෹
wax ෺
waxdh ෻
way ෼
wehl ෽
wehn ෾
wehnt ෿
wehr ฀
wehrz ก
wer ข
wey ฃ
weyt ค
wihch ฅ
wihdh ฆ
wihl ง
wihsh จ
wiy ฉ
wiyl ช
wow ซ
wownt ฌ
wuhd ญ
wuw ฎ
wuwps ฏ
yaa ฐ
yaarn ฑ
yae ฒ
yahp ณ
yaor ด
yeh ต
yehs ถ
yeht ท
yiyz ธ
yuw น
yuwd บ
yuwv ป
yuwz ผ
zaxz ฝ
zerz พ
zih ฟ
zihp ภ
ziy ม
ziyz ย
