	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'dh',)	0	0.0138179487179	0	0.0317	0.0	0.000587037037037	0	0.2853	0	0	0.14265	0.00372941176471	0.00243846153846	0.0	0	0	0.0528333333333	0	0.01585	0	0	0	0.0317	0	0	0.0317	0	0.0634	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0.14265	1	0	0	0.0	0.0407571428571	1	0.51354	0	0.8202375	0.8559	0.5706	0	0	0.0	0.0951	0.2853	1	0.2853	0	0.42795	0	0.5706	1	0	0.0317	0	0.071325	0.0	0.122271428571	1	0.0356625	0.0	0	0	0	1	0	0.0	0
(u'ey',)	0.0739666666667	1	0	0	0	0.055475	0	0.499275	0	1	0.99855	0	0	0	0.0	0.2219	0	0.55475	0	0.2219	0.6657	0	0.0317	1	0	0	0	0.4438	0	0.166425	1	0.2219	0	0	0	0.055475	1	0	0.0	0
(u'f',)	0	0.0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0
(u'g',)	0.01585	0	0	0	0	0	0	0	0	0	0	0.01585	0.0317	0	0	0	0	0.317	0.0634	0	0	0.1902	0	0	0	0.0105666666667	0	0	0.0	0	0	0	0	0.0	0	0	0	0.5072	0.0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'iy',)	0.4121	1	0.0	0.4121	0	0.0588714285714	1	0.37089	0.0	0.430831818182	0.74178	0	0.4121	0	0.0	0.137366666667	0.121205882353	0	0	0.61815	0.4121	0.0883071428571	0.4121	0.212293939394	0	0	0	0.0588714285714	0	0.1545375	1	0.0457888888889	0.0	0	0	0.4121	0.382664285714	1	0.0	0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0
(u'k',)	0.0271714285714	0.2020875	0.0	0.0172909090909	0	0.0951	1	0	0.0	1	0.213975	0.3804	0	0.0	0.0	0	0.317	0.1585	0.03804	0.2853	0	0	0	0	0	0.03804	0	0.3804	0	0.0271714285714	0.7608	0.0211333333333	0	0.0	0	0.1902	0.61815	1	0	0
(u'l',)	0.02853	1	0.0	0.2853	0.0	0.0951	0.3804	1	0	1	0.51354	0.5706	0.071325	0.0	0.0	0	1	0.109730769231	0.0259363636364	0.8559	0.8559	0	0.2853	0	0	0	0	0.14265	0.0	0.14265	1	0.14265	0.0	0.0	0	0	1	1	0.0	0
(u'm',)	0.3804	1	0.0	0.04755	0.0	0.0543428571429	1	0.8559	0	1	0	0.0951	0.3804	0.0	0.0	0.3804	0	0.3804	0.1268	0	0	0	0.7608	0	0	0.3804	0	0.2536	0	0.5706	0	0.1902	0.0	0	0.0	0	1	1	0.0	0
(u'n',)	0.0452857142857	0.898166666667	0.0	0.317	0.0	0.0528333333333	1	0.71325	0.0	0.0959342105263	0.23775	0.1268	0	0.0	0.0	0.317	0.198125	0.39625	0.0288181818182	0	1	0.4755	0.317	0	0	0.00674468085106	0	0	0	0.0731538461538	1	0.00812820512821	0.0	0	0.0	0	1	1	0.0	0
(u'ng',)	0	1	0	0.1902	0	0	1	1	0	1	0.8559	0.3804	0	0	0.0	0.0951	0.4755	0.4755	0	0.5706	0.0393517241379	0.2853	0.3804	0	0	0	0	0	0	0.5706	0	0.1902	0	0	0	0	1	0	0.0	0
(u'ow',)	0	1	0	0	0	0.1585	1	0.951	0	1	0	0	0	0	0	0.317	0.7925	1	0	0	1	0.317	0.0704444444444	0.21556	0	0	0	0.317	0	0.951	1	0.1585	0	0	0	0	0.686833333333	1	0.0	0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'p',)	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0	0	0
(u'r',)	0	0.987983333333	0.0	0.116233333333	0.0	0.03487	0.6974	0.784575	0	1	0.784575	0.17435	0	0.0	0.0	0.3487	0.435875	0.124535714286	0.02179375	1	0	0	0.3487	1	0	0.3487	0	0.6974	0.0	1	1	0.116233333333	0.0	0	0.0	0	1	1	0.0	0
(u's',)	0.6974	1	0.0	0.3487	0.0	0.0536461538462	1	1	0	1	1	0.232466666667	0.17435	0.0	0.0	0.6974	1	0.6974	0.13948	0	0.83688	0.6974	0.13948	1	0	0.06974	0	0.232466666667	0.0	1	1	0.0199257142857	0.0	0	0	0	0.90662	0	0	0
(u'sh',)	0	0	0	0	0	0.0317	0	0.71325	0	0	0	0	0	0	0	0	0.7925	0.39625	0.00121923076923	0	0	0.4755	0	0	0	0.07925	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(u't',)	0.1585	1	0.0	0.7925	0	0.0152403846154	0.975384615385	1	0	1	0.419558823529	0.39625	0.113214285714	0.0	0.0	0	0.24765625	0.660416666667	0.1585	0	1	0.7925	0.528333333333	1	0	0.39625	0.0	0.528333333333	0.0	0.0699264705882	1	0.1585	0.0	0.0	0.0	0	0.64390625	1	0	0
(u'th',)	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.0951	0.404175	0	0.0317	0	0.01902	0	0.42795	0	0.43746	0.1069875	0	0	0	0	0	0.1585	0.23775	0	0	0.2853	0.14265	0.1902	0.26945	0	0.04755	0	0	0	0.023775	1	0	0.0	0	0	0	0.4121	0.169066666667	0.0	0.0
(u'v',)	0	1	0	0	0	0.00704444444444	0	0.2853	0	1	0.0815142857143	0.0422666666667	0.00905714285714	0	0.0	0	0.105666666667	0.317	0	0	0.3804	0	0	0	0	0.0634	0	0	0.0	0.1902	0	0.0317	0.0	0	0	0	0.274733333333	0	0.0	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'z',)	0.4438	1	0.0	0.8876	0.0	0.0493111111111	1	1	0	1	0.726218181818	0.4438	0	0	0.0	0.8876	0.493111111111	0.55475	0.295866666667	1	0.8876	0.4438	0.591733333333	1	0	0	0	0	0.0	0.8876	1	0.8876	0.0	0	0	0.4438	1	1	0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
