aan ஹ
ihf ౷
ihk ౸
ihn ౹
iht ౺
ihts ౻
ihz ౼
ihznt ౽
iy ౾
iyt ౿
jhahst ಀ
jhaxz ಁ
jher ಂ
jhoyz ಃ
kaan ಄
kaaz ಅ
kae ಆ
kaen ಇ
kaent ಈ
kaets ಉ
kah ಊ
kahm ಋ
kahmz ಌ
kahp ಍
kahps ಎ
kaol ಏ
kaold ಐ
kaolz ಑
kaord ಒ
kaoz ಓ
kaxg ಔ
kaxl ಕ
kaxm ಖ
kaxn ಗ
kaxng ಘ
kaynd ಙ
kehr ಚ
kerd ಛ
kerz ಜ
key ಝ
kih ಞ
kihdz ಟ
kihn ಠ
kihng ಡ
kiyp ಢ
klowdhz ಣ
kuhd ತ
kyaard ಥ
kyax ದ
laat ಧ
laats ನ
lahnch ಩
lahvz ಪ
laong ಫ
lax ಬ
laxng ಭ
layk ಮ
layks ಯ
lehs ರ
leht ಱ
lehts ಲ
ler ಳ
ley ಴
lih ವ
liy ಶ
low ಷ
lowd ಸ
lowz ಹ
luh ಺
luhk ಻
luw ಼
maa ಽ
mahch ಾ
mahst ಿ
maor ೀ
mawth ು
max ೂ
maxng ೃ
may ೄ
mayt ೅
mehm ೆ
mehn ೇ
mey ೈ
meyk ೉
meyn ೊ
mih ೋ
miy ೌ
miyn ್
miynz ೎
miyt ೏
miyz ೐
mowst ೑
muwd ೒
muwn ೓
muwv ೔
naa ೕ
naat ೖ
nah ೗
nahm ೘
nahn ೙
naw ೚
nawnst ೛
nax ೜
naxng ೝ
naxt ೞ
nay ೟
nayt ೠ
nayz ೡ
neh ೢ
ner ೣ
neym ೤
neymz ೥
niy ೦
niyk ೧
niyt ೨
now ೩
nowz ೪
nuw ೫
ow ೬
owl ೭
owld ೮
own ೯
paa ೰
paar ೱ
paart ೲ
paarts ೳ
paats ೴
paenz ೵
paet ೶
pah ೷
pax ೸
paxl ೹
paxts ೺
pehndz ೻
pehr ೼
per ೽
pey ೾
pihk ೿
pihnz ഀ
piy ഁ
piyt ം
plaent ഃ
pley ഄ
poyn അ
praa ആ
prax ഇ
preh ഈ
prih ഉ
priy ഊ
prow ഋ
puh ഌ
puhl ഍
puht എ
raa ഏ
rae ഐ
rahg ഑
rahn ഒ
rahnz ഓ
rax ഔ
ray ക
raymz ഖ
rayt ഗ
reh ഘ
rehd ങ
rer ച
rih ഛ
rihng ജ
rihngz ഝ
riy ഞ
riych ട
riydz ഠ
riyl ഡ
ruwm ഢ
saen ണ
sahm ത
sao ഥ
saort ദ
sax ധ
saxm ന
saxnz ഩ
saxpt പ
saxpts ഫ
saxz ബ
say ഭ
sayd മ
saydz യ
sehd ര
sehlf റ
sehpt ല
seht ള
sehz ഴ
ser വ
sernd ശ
sey ഷ
shaht സ
shaort ഹ
shaxn ഺ
shaxnd ഻
shaxnz ഼
sher ഽ
shiy ാ
shiyl ി
shiyz ീ
shuhdnt ു
shuhr ൂ
shuwz ൃ
siht ൄ
siy ൅
siym െ
siymz േ
siyn ൈ
siyz ൉
sliyp ൊ
smao ോ
smayl ൌ
smaylz ്
smehl ൎ
sniy ൏
sow ൐
spaand ൑
staeks ൒
staend ൓
staendz ൔ
staorm ൕ
staxd ൖ
stihng ൗ
straxkt ൘
streyn ൙
tahch ൚
tahng ൛
tao ൜
taok ൝
tax ൞
taxd ൟ
taxl ൠ
taxng ൡ
taxst ൢ
tay ൣ
taym ൤
taymz ൥
tays ൦
tehl ൧
tehn ൨
term ൩
tern ൪
tey ൫
teyk ൬
thaot ൭
thaxng ൮
thihk ൯
thihng ൰
thihngk ൱
thihngks ൲
thihngz ൳
throw ൴
throwz ൵
tih ൶
tiy ൷
tiyz ൸
towld ൹
toy ൺ
toyz ൻ
traenst ർ
trax ൽ
tray ൾ
trayd ൿ
trih ඀
triygd ඁ
triyt ං
tuw ඃ
vaxl ඄
vaxn අ
vaxng ආ
veh ඇ
vehnt ඈ
ver ඉ
vow ඊ
voy උ
vriy ඌ
waa ඍ
waant ඎ
waants ඏ
waaz ඐ
waaznt එ
wahn ඒ
wahns ඓ
wahnz ඔ
waht ඕ
wahts ඖ
waordz ඗
waorn ඘
wax ඙
waxdh ක
way ඛ
wayl ග
wayz ඝ
weh ඞ
wehl ඟ
wehn ච
wehr ඡ
wehrz ජ
wer ඣ
werd ඤ
werdz ඥ
wey ඦ
wihdh ට
wihl ඨ
wiy ඩ
wiyl ඪ
wownt ණ
yaa ඬ
yae ත
yaor ථ
yehs ද
yihrz ධ
yuw න
yuws ඲
yuwz ඳ
yuwzd ප
zaxlz ඵ
zaxn බ
zaxz භ
zer ම
zih ඹ
