	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'g',)	0.0	0	0	0	0	0.0822	0	0	0	0.8631	0	0.0	0.0	0	0	0	0.18495	0.1233	0	0	0	0	0	1	0	0.0462375	0	0.06165	0.02055	0	0	0	0	0.0	0	0	0	0	0.0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'iy',)	0.0	0	0.0565125	0	0	0.1507	0	0.42384375	0.0	0.182578846154	1	0	0	0	0.0	0.0	0.127153125	1	0	0.339075	0.0565125	0.0260826923077	0.042384375	0.339075	0	0	0	0.037675	0.113025	0.0892302631579	1	0.0968785714286	0.0	0	0	0.0	0.221135869565	0.9607125	0.0	0
(u'jh',)	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0	0.108794117647	0.02466	0.0770625	0.0	0.0704571428571	0.400725	0	0.0	0	0.18495	0.0	0.0	0.0	0.0	0	0.2466	0.14796	0	0	0	0.030825	0.1233	0	0	0	0	0.1233	0.02055	0.0293571428571	1	0.0274	0.0	0.0	0	0	0	0	0	0
(u'l',)	0.0	1	0.0822	1	0.0	0.9864	0.152657142857	0.6165	0	1	0.7398	0.0	0	0.0	0.0	0.0	0.29592	0.29592	0.0	0	0.2466	0	0	0	0	0.2466	0	0.1233	0.2466	1	1	0.4932	0	0.0	0	0	1	1	0.0	0
(u'm',)	0.0	1	0.18495	0.55485	0.0	0.44388	1	0.396321428571	0	1	1	0.0	0.0	0.0	0.0	0	0	1	0.0	0	1	0	0	0	0	0.55485	0	0.1387125	0	0	1	0.3699	0.0	0	0.0	0	1	0	0.0	0
(u'n',)	0.0	0.462375	0.0822	1	0.0	0.09864	1	0.6165	0	0.0556838709677	0.29592	0.0	0	0.0	0.0	0.0	0.3699	0.3699	0.0	0	0	0.1233	0	0	0	0.0154125	0	0.1233	0.1233	0.2466	1	0.00685	0	0	0.0	0	1	1	0.0	0
(u'ng',)	0.0	1	0	0.770625	0	0.30825	1	0.770625	0	1	0.2311875	0.0	0	0	0.0	0	0	0.92475	0	0	0.030825	0.0770625	0.154125	0	0	0	0	0	0.0770625	0.770625	0	0.0440357142857	0	0	0	0	0	1	0.0	0
(u'ow',)	0	0	0	0	0.0	1	1	1	0	1	1	0	0	0	0	0	0	0.55485	0	0.462375	0.462375	0.154125	0.0770625	0.486710526316	0	0	0	0.2311875	0	0.770625	1	0.18495	0	0	0	0.0	1	1	0.0	0
(u'oy',)	0	0.462375	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0.0	0	0.030825	0	0	0.04932	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0.092475	0	0	0	0.00560454545455	0	0	0	0	0.0	0	0.00685	0.06165	0	0.030825	0.0	0.0	0	0	0	0	0	0
(u'r',)	0.0	1	0.0770625	0	0	0.1233	0.667875	1	0	1	1	0.0	0	0.0	0.0	0.0	1	0.2311875	0.0	0	0.92475	0	0.462375	0	0	1	0	0	0.2311875	0.57796875	0	0.2311875	0.0	0	0.0	0.0	1	1	0.0	0
(u's',)	0	1	0.06165	0	0.0	0.101541176471	1	0.43155	0.0	0	0.51786	0.0	0.0	0.0	0.0	0	1	0.3699	0.0	0	0.43155	0.215775	0.43155	1	0	0.16183125	0	0.08631	0.43155	1	1	0.02466	0	0	0	0.0	0	0	0	0
(u'sh',)	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0	1	0.101282142857	0.443109375	0.0	0.0423268656716	0.658333928571	0.88621875	0	1	0.3699	0.0	0.0	0.0	0.0	0.0	0.28359	0.47265	0.0	0.3544875	0.3544875	0.0708975	0.17724375	1	0	0	0.0	0.17724375	0.0708975	0.154125	1	0.236325	0.0	0	0.0	0	0.818048076923	1	0	0
(u'th',)	0	0	0	0	0	0.02466	0	0	0	0	0	0	0	0	0	0	0	0.00770625	0	0	0	0	0	0	0	0	0	0	0.030825	0	0	0.06165	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.0	0.92475	0	0	0	0	1	0	0	0.8631	0.14796	0.0	0	0	0.0	0.0	0.7398	0	0	0	0.2466	0.1233	0.06165	1	0	0	0	0.06165	0.1233	0.2055	0	0.2466	0.0	0	0	0.0	0.2311875	0.6987	0.0	0.0
(u'v',)	0	0	0	0	0	0.0770625	0	0.256875	0	1	0.30825	0.0	0.0	0	0	0	0.462375	0.92475	0.0	0	0.30825	0	0	1	0	0.462375	0	0.154125	0.03853125	0.770625	0	0.154125	0.0	0	0	0	0	0	0	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'z',)	0.0	1	0.6165	0.6165	0	0.274	1	0.770625	0	1	0.352285714286	0.0	0	0	0.0	0.0	0.7398	0.92475	0.0	0	0.411	0.30825	0.30825	0.685	0	0.92475	0	0.154125	0.10275	0.6165	1	0.176142857143	0	0	0	0.0	0.770625	1	0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
