aa ஹ
mayn ೶
mayt ೷
meh ೸
mehm ೹
mer ೺
mey ೻
meyd ೼
meyk ೽
meyks ೾
mih ೿
miy ഀ
miyn ഁ
miyz ം
mowst ഃ
naat ഄ
nah അ
nahm ആ
naw ഇ
nax ഈ
naxng ഉ
naxs ഊ
nayf ഋ
naynth ഌ
neh ഍
nehk എ
ner ഏ
neym ഐ
neymd ഑
neymz ഒ
niy ഓ
niyt ഔ
niyz ക
now ഖ
nowz ഗ
noyz ഘ
nuw ങ
ow ച
owl ഛ
owld ജ
own ഝ
paaps ഞ
paar ട
paart ഠ
paen ഡ
paents ഢ
pah ണ
pahmp ത
pax ഥ
paxl ദ
paxn ധ
paxng ന
paxt ഩ
payk പ
peh ഫ
pehndz ബ
pihk ഭ
pihks മ
pihkt യ
pihng ര
piy റ
piyt ല
pley ള
pleyd ഴ
pleyz വ
pliy ശ
pliyz ഷ
poyn സ
poynt ഹ
poynts ഺ
praa ഻
prih ഼
priy ഽ
puh ാ
puht ി
raa ീ
rae ു
raep ൂ
raez ൃ
rahnz ൄ
rax ൅
raxng െ
raxnts േ
ray ൈ
rayt ൉
reh ൊ
rih ോ
rihngz ൌ
riy ്
riyd ൎ
riyl ൏
riyz ൐
row ൑
ruw ൒
saaft ൓
sahch ൔ
sahm ൕ
saort ൖ
sax ൗ
saxlz ൘
saxm ൙
saxnt ൚
saxp ൛
saxs ൜
saxz ൝
say ൞
saydz ൟ
seh ൠ
sehd ൡ
sehlf ൢ
sehz ൣ
ser ൤
sey ൥
seym ൦
shaxn ൧
shaxng ൨
shihz ൩
shiy ൪
shiyl ൫
shiyz ൬
show ൭
shuhd ൮
shuhr ൯
shuwz ൰
sih ൱
sihn ൲
siht ൳
sihts ൴
siy ൵
siymz ൶
siyn ൷
smaol ൸
smayl ൹
sow ൺ
spax ൻ
spih ർ
spowzd ൽ
spuwn ൾ
staar ൿ
staarts ඀
staeks ඁ
staendz ං
stahf ඃ
stao ඄
staxd අ
stehd ආ
stihl ඇ
stihngk ඈ
stihr ඉ
striyt ඊ
tahnz උ
tao ඌ
taokt ඍ
tax ඎ
taxd ඏ
taxl ඐ
taxn එ
taxng ඒ
taxnz ඓ
taxst ඔ
taym ඕ
taymz ඖ
tayp ඗
teh ඘
tehl ඙
tehm ක
tehn ඛ
tehnd ග
ter ඝ
tey ඞ
teyk ඟ
thaot ච
thaxng ඡ
thihng ජ
thihngk ඣ
thihngz ඤ
throwz ඥ
thruw ඦ
tiy ට
tiyn ඨ
tiyz ඩ
towst ඪ
toy ණ
toyz ඬ
trahk ත
trahks ථ
trax ද
tray ධ
trayd න
trayz ඲
truw ඳ
tuw ප
twiyn ඵ
vaxn බ
vaxng භ
veh ම
vehnt ඹ
ver ය
vow ර
vraxl ඼
waa ල
waan ඾
waant ඿
waants ව
waaz ශ
waaznt ෂ
wah ස
wahn හ
wahns ළ
wahnz ෆ
waht ෇
waok ෈
waoks ෉
waolt ්
waorn ෋
wax ෌
waxdh ෍
waxz ෎
way ා
weh ැ
wehl ෑ
wehn ි
wehnz ී
wehr ු
wer ෕
werd ූ
werdz ෗
wey ෘ
weyz ෙ
wihdh ේ
wihl ෛ
wihrd ො
wiy ෝ
wiyks ෞ
wuh ෟ
wuhd ෠
yaa ෡
yae ෢
yahng ෣
yaor ෤
yehs ෥
yuw ෦
yuwzd ෧
zaxt ෨
zaxz ෩
zay ෪
zhax ෫
zih ෬
zihp ෭
zihps ෮
ziy ෯
