aa ஹ
pihk ഩ
pihngk പ
piy ഫ
piyz ബ
plae ഭ
pley മ
pleyz യ
pliyzd ര
pow റ
powzd ല
poyn ള
poynt ഴ
praa വ
praek ശ
prih ഷ
priy സ
puh ഹ
puht ഺ
puw ഻
rawnd ഼
rax ഽ
raxk ാ
raxnjh ി
rayt ീ
rehd ു
rer ൂ
rerz ൃ
rih ൄ
riy ൅
riyz െ
row േ
rowz ൈ
ruw ൉
ruwm ൊ
saaft ോ
sahch ൌ
sahm ്
sao ൎ
saort ൏
sawndz ൐
sax ൑
saxlz ൒
saxm ൓
saxn ൔ
saxng ൕ
saxnz ൖ
saxz ൗ
sayd ൘
saydz ൙
sehd ൚
sehk ൛
sehlf ൜
sehns ൝
sehpt ൞
sehz ൟ
ser ൠ
sey ൡ
shaark ൢ
shaarks ൣ
shae ൤
shaxn ൥
shaxnz ൦
shihp ൧
shiy ൨
shiyl ൩
shiyz ൪
shliy ൫
show ൬
shuhd ൭
shuhr ൮
shuwz ൯
sih ൰
sihm ൱
sihn ൲
sihns ൳
siht ൴
siy ൵
siym ൶
siymd ൷
siymz ൸
siyn ൹
skah ൺ
skaxng ൻ
skuw ർ
skwehr ൽ
skyuw ൾ
sliy ൿ
smaart ඀
snow ඁ
snowd ං
sow ඃ
spaxn ඄
speh අ
spehk ආ
spih ඇ
staapt ඈ
staar ඉ
staart ඊ
staarts උ
stae ඌ
staek ඍ
staend ඎ
stahf ඏ
staxk ඐ
stehd එ
strao ඒ
streynjh ඓ
suw ඔ
suws ඕ
tahch ඖ
tahn ඗
taok ඘
taoks ඙
taokt ක
tax ඛ
taxd ග
taxk ඝ
taxl ඞ
taxn ඟ
taxng ච
taxst ඡ
taxv ජ
tay ඣ
taym ඤ
taymz ඥ
teh ඦ
tehl ට
tehn ඨ
ter ඩ
terz ඪ
tey ණ
teyk ඬ
teyp ත
thaot ථ
thaxng ද
thihng ධ
thihngk න
thihngz ඲
thriy ඳ
throw ප
thruw ඵ
tih බ
tihrz භ
tiy ම
tiyn ඹ
tiyth ය
towld ර
towz ඼
trahks ල
traxst ඾
tray ඿
trayz ව
tuw ශ
twiyn ෂ
uw ස
uwb හ
vax ළ
vaxn ෆ
vaxng ෇
veh ෈
ver ෉
viy ්
voys ෋
vriy ෌
waan ෍
waash ෎
waaz ා
waaznt ැ
waetd ෑ
wahn ි
wahnz ී
waht ු
waok ෕
waolt ූ
waw ෗
wax ෘ
waxdh ෙ
way ේ
wayl ෛ
wayt ො
wehl ෝ
wehn ෞ
wehnt ෟ
wehr ෠
wer ෡
werd ෢
werdz ෣
werk ෤
werks ෥
werkt ෦
weyz ෧
wih ෨
wihch ෩
wihdh ෪
wihl ෫
wihrd ෬
wiy ෭
wiyd ෮
wiyks ෯
wiyv ෰
wuhd ෱
wuw ෲ
yaa ෳ
yaarn ෴
yae ෵
yaor ෶
yaork ෷
yeh ෸
yehs ෹
yuw ෺
yuwzd ෻
zaekt ෼
zaxz ෽
zay ෾
zhax ෿
zih ฀
zihps ก
