aan ஹ
meyk ೉
mih ೊ
mihlk ೋ
mihs ೌ
miy ್
miyz ೎
muwn ೏
myuw ೐
naa ೑
naak ೒
naakt ೓
naat ೔
nah ೕ
nahm ೖ
naw ೗
nax ೘
naxs ೙
nay ೚
nays ೛
nayt ೜
neh ೝ
nehkst ೞ
ner ೟
niy ೠ
niyd ೡ
niyt ೢ
now ೣ
nowz ೤
nuw ೥
nyax ೦
ow ೧
own ೨
paet ೩
paol ೪
paxl ೫
paxn ೬
paxnd ೭
paxng ೮
payl ೯
peh ೰
per ೱ
peyjh ೲ
pihk ೳ
pihngk ೴
piy ೵
piyk ೶
pley ೷
pliyz ೸
prih ೹
puhl ೺
puhr ೻
puhsh ೼
puht ೽
rae ೾
raept ೿
raong ഀ
rax ഁ
raxng ം
raxnt ഃ
rayt ഄ
reh അ
rehst ആ
rer ഇ
rey ഈ
rih ഉ
rihd ഊ
rihng ഋ
rihst ഌ
riy ഍
saaft എ
saaks ഏ
sahm ഐ
sao ഑
saxm ഒ
saxn ഓ
saxz ഔ
seh ക
sehd ഖ
sehz ഗ
ser ഘ
sey ങ
shiy ച
show ഛ
shuwz ജ
sih ഝ
sihng ഞ
siy ട
skaat ഠ
skwer ഡ
sliyv ഢ
smeh ണ
smehl ത
sow ഥ
spiyk ദ
ster ധ
stihl ന
straong ഩ
stuhd പ
swiyt ഫ
tahch ബ
tao ഭ
taok മ
taw യ
tax ര
taxl റ
taxn ല
taxnz ള
taym ഴ
teh വ
tehl ശ
ter ഷ
terz സ
teyk ഹ
teyks ഺ
thaengk ഻
thaot ഼
thawt ഽ
thaxng ാ
thihng ി
thihngk ീ
thriy ു
thrown ൂ
thruw ൃ
tihk ൄ
tiy ൅
tiyz െ
towld േ
toyz ൈ
tuhk ൉
tuw ൊ
uw ോ
uwp ൌ
uwps ്
vaxn ൎ
vaxng ൏
vay ൐
veh ൑
ver ൒
viy ൓
vrayt ൔ
vriy ൕ
w ൖ
waa ൗ
waach ൘
waan ൙
waant ൚
waants ൛
waaz ൜
wah ൝
wahn ൞
wahnz ൟ
waht ൠ
wahts ൡ
waw ൢ
wax ൣ
waxdh ൤
way ൥
weh ൦
wehn ൧
wehnt ൨
wehr ൩
wehrz ൪
werd ൫
werk ൬
wey ൭
wihch ൮
wihdh ൯
wiy ൰
wow ൱
wuhd ൲
wuwf ൳
wuwp ൴
yaa ൵
yae ൶
yaor ൷
yeh ൸
yehs ൹
yuw ൺ
yuwd ൻ
zaet ർ
zaxk ൽ
zih ൾ
ziy ൿ
