	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'l',)	0.0	0.96375	0.0	0.6425	0.0	0.214166666667	0.298303571429	1	0	0.481875	0.803125	0.0	0.0	0.0	0.32125	0	1	0.224875	0.0	0	0.428333333333	0	1	1	0	0.6425	0	0.32125	0.0	1	1	0.6425	0	0.0	0.0	0	1	1	0.032125	0
(u'm',)	0.0	0.19275	0.0	0.0160625	0.0	0.00713888888889	0.2088125	0.07228125	0	0.289125	0.32125	0.0	0.0	0.0	0	0	0	0.0749583333333	0.0	0	0.1285	0	0	0.353375	0	0.0428333333333	0	0.0160625	0.0	0.224875	1	0.032125	0.00803125	0	0	0	0.214166666667	0.514	0.00535416666667	0
(u'n',)	0.0	0.771	0.0	0.6425	0.0	0.0428333333333	1	1	0	0.0525681818182	0.169078947368	0.0	0.0	0.0	0.96375	0.0	0.32125	1	0.0	0.6425	0.32125	0.160625	1	0	0	0.0475925925926	0	0	0.0	0.32125	1	0.0139673913043	0.0803125	0	0.0	0	1	1	0.0356944444444	0
(u'ng',)	0	1	0.0	0.6425	0.0	0.32125	0	1	0.0	1	0.6425	0	0	0	0	0.0	0	1	0	0	0.160625	0.6425	0	0	0	1	0	0.32125	0.0	1	1	0.160625	0	0	0	0.32125	1	0	0.0356944444444	0
(u'ow',)	0	1	0	0	0	0.1285	0.417625	0.57825	0	0.57825	1	0	0	0	0.3855	0	0.299833333333	0.44975	0	0	0.171333333333	0.0514	0.0856666666667	0.0831470588235	0	0	0	0.1285	0	0.149916666667	1	0.257	0	0	0	0.06425	0.514	1	0.0160625	0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289125	0	0.674625	0	0	0	0	0	0	0.26503125	0	0	0	0	0.0	0	0	0	0	0	0	0.096375	0	0	0.02409375	0
(u'p',)	0.0	0.1285	0.0	0	0	0.0142777777778	0.83525	0.57825	0	0.57825	0.214166666667	0.0	0	0	0.096375	0	0	0.08995	0.0	0	0.257	0.0214166666667	0	0	0	0	0.0	0	0.0	0.1124375	0	0.1285	0.06425	0.0	0.0	0.06425	1	0	0	0
(u'r',)	0.0	0.867375	0.0	0.289125	0	0.057825	0.221095588235	0.520425	0	0.371732142857	0.413035714286	0.0	0.0	0.0	0.867375	0.0	0.50596875	0.0879945652174	0.0	0.57825	0.57825	0	1	1	0	0.57825	0	0	0.0	1	1	0.057825	0.289125	0	0.0	0	0.826071428571	0	0.289125	0
(u's',)	0.0	1	0.0	0.3855	0	0.0608684210526	1	0.743464285714	0.0	1	0.7228125	0.0	0.0	0.0	1	0.0	1	0.674625	0.0	1	0	0	1	1	0	0.289125	0	0.096375	0	1	1	0.0257	0	0	0	0	1	1	0.57825	0
(u'sh',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0
(u't',)	0.0	1	0.0	0.224875	0.0	0.0198419117647	0.8770125	1	0.0	0.674625	0.5621875	0.0	0.0	0.0	1	0.0	0.39353125	0.248546052632	0.0	0.674625	0.44975	0.224875	1	0.7420875	0	1	0.0	0.674625	0.0	0.162840517241	1	0.134925	0.3373125	0	0.0	0	0.8995	1	0.3373125	0
(u'th',)	0	0	0	0.0214166666667	0	0.06425	0	0	0	0.1445625	0	0	0	0	0	0	0	0.0118355263158	0	0	0	0	0	0	0	0	0	0	0	0.224875	0	0	0	0	0	0	0	0.514	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.0	1	0	0.257	0	0.1285	0	0.3855	0	0.3855	0.6425	0	0	0	0.3855	0	0.299833333333	0.44975	0	0.1285	0.1028	0.1285	0.257	0.2827	0	0.514	0	0.1285	0	0.8995	1	0.06425	0	0	0	0	1	1	0.0214166666667	0.0
(u'v',)	0	0	0	0	0	0.0214166666667	0	0.867375	0.0	0.867375	0.0876136363636	0.0	0.0	0	0.1445625	0.0	0.674625	0.674625	0	0	0.3855	0	0	1	0	0.19275	0	0	0	0.3373125	0	0	0.096375	0	0	0	0.6425	1	0.02409375	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'z',)	0.0	1	0.0	0.96375	0	0.19275	1	1	0	1	1	0.0	0.0	0	0.57825	0.0	0.96375	0.396838235294	0.0	0.96375	0.550714285714	0.6425	1	0.588958333333	0	1	0	0.137678571429	0.0	1	1	0.19275	0.481875	0	0	0.481875	1	1	0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
