aab ஹ
paents ೷
paest ೸
paet ೹
pah ೺
paol ೻
paor ೼
pax ೽
paxl ೾
paxn ೿
paxng ഀ
paxs ഁ
paxts ം
peh ഃ
pehn ഄ
perz അ
pih ആ
pihk ഇ
pley ഈ
pleyz ഉ
powzd ഊ
poynt ഋ
praa ഌ
prih ഍
puh എ
puhl ഏ
puhsh ഐ
puht ഑
raxk ഒ
raxnt ഓ
rayt ഔ
rey ക
rih ഖ
rihng ഗ
rihngz ഘ
riy ങ
riyd ച
riyl ഛ
ruwm ജ
sah ഝ
sahch ഞ
sahm ട
sahn ഠ
saort ഡ
saorts ഢ
sax ണ
saxk ത
saxm ഥ
saxng ദ
saxz ധ
saydz ന
seh ഩ
sehd പ
sehg ഫ
sehlf ബ
sehns ഭ
sehpt മ
sehz യ
sey ര
seym റ
sfaxl ല
shax ള
shaxn ഴ
shaxz വ
shiy ശ
shiyl ഷ
shiyz സ
shuwz ഹ
sih ഺ
sihks ഻
sihm ഼
sihns ഽ
sihsts ാ
siht ി
siy ീ
siydz ു
siymd ൂ
siyn ൃ
siyz ൄ
skah ൅
skuwl െ
sliy േ
smaol ൈ
smeh ൉
sniy ൊ
sniyks ോ
sow ൌ
spehndz ്
staap ൎ
staar ൏
staend ൐
staendz ൑
stahf ൒
staor ൓
stax ൔ
staxk ൕ
staxnt ൖ
stehd ൗ
ster ൘
stih ൙
stihl ൚
stihng ൛
strehst ൜
suw ൝
suwt ൞
suwts ൟ
sweh ൠ
taaps ൡ
tah ൢ
tahch ൣ
tahng ൤
tao ൥
taok ൦
taoks ൧
taokt ൨
taw ൩
tax ൪
taxd ൫
taxl ൬
taxnd ൭
taxng ൮
taxnt ൯
taxv ൰
tay ൱
taym ൲
taymz ൳
tehl ൴
ter ൵
term ൶
termz ൷
teyk ൸
teyp ൹
thaot ൺ
thaxng ൻ
thihng ർ
thihngk ൽ
thihngz ൾ
tih ൿ
tihv ඀
tiy ඁ
tiyz ං
towld ඃ
toy ඄
toyz අ
tray ආ
trih ඇ
truwth ඈ
tuw ඉ
twiyn ඊ
vaalvz උ
vax ඌ
vaxng ඍ
veh ඎ
ver ඏ
viy ඐ
vow එ
vriy ඒ
vyer ඓ
waa ඔ
waan ඕ
waant ඖ
waants ඗
waaz ඘
wahn ඙
wahns ක
waht ඛ
wahts ග
wao ඝ
waok ඞ
waoks ඟ
wax ච
waxdh ඡ
way ජ
wayl ඣ
wehl ඤ
wehn ඥ
wehnt ඦ
wehr ට
wehrz ඨ
wer ඩ
werd ඪ
werdz ණ
werkt ඬ
wey ත
weyz ථ
wihdh ද
wihl ධ
wiy න
wiyk ඲
wiyks ඳ
wuhd ප
yaa ඵ
yaard බ
yae භ
yahp ම
yaor ඹ
yeh ය
yehs ර
yuhrz ඼
yuw ල
yuwz ඾
yuwzd ඿
zaekt ව
zaxng ශ
zaxnz ෂ
zhax ස
ziy හ
zuw ළ
