aan ஹ
luwnz ೆ
maa ೇ
mah ೈ
mahnth ೉
mahsnt ೊ
maor ೋ
mawth ೌ
max ್
maxl ೎
may ೏
mehm ೐
mer ೑
mey ೒
meyd ೓
meyk ೔
miy ೕ
miyt ೖ
miyz ೗
muwv ೘
naat ೙
nae ೚
naenz ೛
naep ೜
nah ೝ
nahf ೞ
naor ೟
naw ೠ
nax ೡ
nay ೢ
nays ೣ
nayt ೤
nihng ೥
nihr ೦
niy ೧
niyd ೨
niydz ೩
niyz ೪
now ೫
nowp ೬
nowz ೭
ow ೮
own ೯
paa ೰
paark ೱ
pae ೲ
paents ೳ
paest ೴
paet ೵
pah ೶
paol ೷
pax ೸
paxl ೹
paxn ೺
paxng ೻
paxnz ೼
paxt ೽
peh ೾
per ೿
perz ഀ
pihk ഁ
piy ം
piys ഃ
pley ഄ
pleyn അ
praa ആ
prax ഇ
puh ഈ
puhl ഉ
puhsh ഊ
puht ഋ
puwl ഌ
puwps ഍
raeng എ
rahg ഏ
rax ഐ
raxnjh ഑
rayd ഒ
rayt ഓ
reh ഔ
rehd ക
rih ഖ
rihng ഗ
rihngz ഘ
riy ങ
riych ച
riyd ഛ
saaft ജ
sah ഝ
sahm ഞ
saort ട
sax ഠ
saxm ഡ
saxn ഢ
saxz ണ
sayd ത
sayz ഥ
sehz ദ
ser ധ
sey ന
shae ഩ
shael പ
shaht ഫ
shaxn ബ
shaxng ഭ
shiy മ
shiyn യ
shiyz ര
shuhd റ
shuhdnt ല
shuw ള
shuwz ഴ
sih വ
sihks ശ
siht ഷ
siy സ
siyt ഹ
sliy ഺ
smehl ഻
smehlz ഼
sniy ഽ
sow ാ
sown ി
staor ീ
stehd ു
ster ൂ
stey ൃ
steyz ൄ
stihk ൅
straeps െ
strow േ
suw ൈ
suwz ൉
swihng ൊ
swihngz ോ
taa ൌ
taap ്
taecht ൎ
tah ൏
tahch ൐
tahng ൑
taok ൒
tax ൓
taxd ൔ
taxl ൕ
taxn ൖ
taxng ൗ
taxnz ൘
tay ൙
taym ൚
taymz ൛
tayz ൜
teh ൝
tehk ൞
tern ൟ
tey ൠ
teyk ൡ
teyp ൢ
thaengk ൣ
thaxng ൤
thihng ൥
thihngk ൦
thihngz ൧
threhd ൨
thriy ൩
throw ൪
thruw ൫
tihk ൬
tihs ൭
tiy ൮
tiyz ൯
toy ൰
toyz ൱
tray ൲
tuw ൳
vaxng ൴
veh ൵
ver ൶
verz ൷
waa ൸
waach ൹
waan ൺ
waant ൻ
waants ർ
waaz ൽ
wah ൾ
wahn ൿ
wahnz ඀
waht ඁ
wahts ං
wao ඃ
waok ඄
waol අ
wax ආ
way ඇ
wayl ඈ
wehl ඉ
wehn ඊ
wehr උ
wehrz ඌ
werk ඍ
werks ඎ
wey ඏ
wihdh ඐ
wihl එ
wiy ඒ
wiyl ඓ
wow ඔ
wuhd ඕ
wuhdnt ඖ
wuw ඗
wuwps ඘
yaa ඙
yaarn ක
yae ඛ
yah ග
yahm ඝ
yahng ඞ
yahp ඟ
yaor ච
yeh ඡ
yehs ජ
yeht ඣ
yuhrz ඤ
yuw ඥ
yuwd ඦ
yuwl ට
yuwz ඨ
zaxp ඩ
zaxz ඪ
zerz ණ
zhax ඬ
zih ත
zihp ථ
zihpt ද
ziy ධ
