	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'dh',)	0	0.0380017241379	0	0.17775	0	0.00122586206897	0	0	0	0	0.053325	0.0	0.0	0.0	0	0	0.0622125	0	0.0	0	0	0.17775	0	0	0	0.0474	0	0.017775	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0
(u'er',)	0	1	0	1	0.0	0.17775	1	1	0	0.711	0.53325	0	0	0.0	0.10665	0.0	0.41475	1	0.0	0.0	0.17775	0.33328125	0	0.3555	0	0	0	0.10665	0.0	0.31995	1	0.0484772727273	0.0	0	0	0.0	1	0	0.0	0
(u'ey',)	0.0622125	1	0.0	0	0	0.24885	0	0.59724	0.0	0	0.4977	0.0	0	0	0.24885	0.0	0.870975	1	0	0.0	0.08295	0.41475	0.08295	0.24885	0	0	0	0.08295	0	0.4977	1	0.02765	0	0	0	0.0	1	0	0.0	0.0
(u'f',)	0	1	0.0	0.0410192307692	0.0	0.0711	0.4977	0	0	0	0	0.0	0.0	0.0	0	0	0	0.1866375	0.0	0	0	0.266625	0.53325	0	0	0.4266	0	0	0.0	0	1	0.10665	0	0	0.0	0	1	0.74655	0	0
(u'g',)	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'iy',)	0.302175	1	0.0	1	0	0.08058	1	0.906525	0.0	0.290088	0.4532625	0.0	0	0.0	0.302175	0.0	0.192293181818	1	0	0.0	0.0503625	0.37771875	0.60435	0.0575571428571	0	0	0	0.060435	0.0	0.4029	1	0.0464884615385	0.0	0	0	0.0	1	0	0.0	0
(u'jh',)	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0266625	0.8265375	0.0	0.05925	0.0	0.0101571428571	0.74655	0	0.0	0	0.31995	0.0	0.0	0.0	0.10665	0	0.24885	0.09331875	0	0	0	0.0761785714286	0	0.2133	0	0	0	0	0.0	0.06399	0.49325625	0.00761785714286	0	0	0	0	0.3466125	0.4977	0	0
(u'l',)	0.065175	1	0.0	0.4888125	0	0.0558642857143	0.34216875	1	0	0.93852	0.586575	0.0	0.0	0.0	0.07821	0	0.91245	0.273735	0.0	0	0.13035	1	1	0	0	0	0	0.13035	0.0	0.46926	1	0.065175	0	0.0	0.0	0	1	1	0.0	0
(u'm',)	0	1	0.0	0.39105	0	0.0340043478261	0.54747	0.670371428571	0.0	0.93852	1	0.0	0	0.0	0.13035	0.0	1	0.91245	0.0	0	0.39105	0	0	0	0	0.7821	0	0.195525	0	1	1	0.195525	0.0	0	0.0	0	1	1	0.0	0
(u'n',)	0.0457071428571	0.901677272727	0.0	1	0.0	0.031995	0.4977	1	0	0.0317305785124	0.174518181818	0	0.0	0.0	0.10665	0	0.74655	0.44793	0.0	0.0	0.053325	0.3999375	0	0.31995	0	0.0581727272727	0	0.0799875	0.0	0.159975	1	0.00516048387097	0.0	0	0	0.0	1	1	0.0	0
(u'ng',)	0	1	0	0	0	0.1185	0	1	0.0	0	0.711	0	0.0	0	0.17775	0.0	1	1	0	0	0.03555	1	1	0	0	0	0	0	0	0	0	0.0507857142857	0.0	0	0	0	1	1	0.0	0
(u'ow',)	0	1	0.0	0	0	0.1185	0.8295	0	0	1	0.3555	0	0	0	0.17775	0	0	1	0	0	0.17775	0.17775	0.11109375	0.03555	0	0	0	0.17775	0.0	0.266625	1	0.0444375	0.0	0	0	0	1	0.8295	0.0	0
(u'oy',)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474	0	0	0	0	0	0.4266	0	0.0711	0	0	0	0	0	0	0.0	0
(u'p',)	0.053325	1	0.0	0	0	0.0164076923077	0	0	0	0	0	0.0	0.0	0	0.10665	0	0.74655	0.1866375	0.0	0	0.10665	0.0380892857143	0	0	0	0.4266	0.0	0	0.0	0	0	0.02133	0	0.0	0.0	0	1	0	0	0
(u'r',)	0.0948	1	0.0	1	0.0	0.0218769230769	0.5688	1	0	0.8532	0.4266	0.0	0	0.0	0.2844	0.0	0.39816	0.1106	0.0	0	0.1422	1	1	0.11376	0	0	0	0	0	0.4266	1	0.0474	0.0	0	0.0	0.0	1	1	0.0	0
(u's',)	0.159975	1	0.0	0.3999375	0.0	0.0376411764706	0.89586	0.6399	0	0	0.31995	0.0	0.0	0.0	0.31995	0.0	0.44793	0.203604545455	0.0	0	0.019996875	0.53325	0.53325	0.6399	0	0.0711	0	0.0799875	0	0.6399	1	0.00711	0	0	0	0	1	1	0	0
(u'sh',)	0.03555	0	0	0	0	0.01185	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.3081	1	0.0	0.420136363636	0.0	0.0198774193548	0.9243	1	0.0	1	0.55458	0.0	0.0	0.0	0.3081	0.0	0.258804	0.340531578947	0.0	0	0.1155375	1	0.9243	0.6162	0	1	0.0	0.46215	0.0	0.163111764706	1	0.132042857143	0.0	0	0.0	0.0	1	1	0.0	0
(u'th',)	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.05925	1	0	0.88875	0	0.17775	0	0	0	1	0.3555	0.0	0.0	0.0	0.17775	0	0.41475	1	0	0	0.088875	0.2221875	0.444375	0	0	0	0	0.05925	0	0.3555	0	0.05925	0.0	0	0	0.0	0	1	0.0	0
(u'v',)	0.2844	1	0	0	0	0.0948	1	0.5688	0	0.68256	0.2844	0.0	0.0	0	0.2844	0.0	0.4977	0.9954	0.0	0	0.0711	0	1	0.2844	0	0	0.0	0.1422	0.0	1	0	0.0948	0	0	0	0	1	0	0.0	0
(u'w',)	0.0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'z',)	0.95985	1	0.0	0.799875	0	0.174518181818	1	1	0	1	0.479925	0.0	0.0	0	0.31995	0.0	0.5599125	0.83986875	0.0	0.0	0.479925	1	1	0.174518181818	0	1	0	0.479925	0	0.57591	1	0.11998125	0.0	0	0.0	0.0	1	1	0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
