	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'm',)	0.0	0.47475	0.0	0.237375	0.0	0	0	0.395625	0	0	0	0.01978125	0	0	0	0	0	0.290125	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	1	0.712125	0.0
(u'n',)	0.0	0.332325	0.0	0	0.0	0.066465	0.0	0	0	0.07200375	0.26586	0.110775	0	0	0.110775	0	0.7385	1	0.0	0.22155	0	0	0	0	0	0.406175	0.775425	0.22155	0.4431	0	0.0430791666667	0	0	0.0	0	1	0.332325	0.0
(u'ng',)	0.0	0	0	0	0	0.1899	0	0	0	0.41145	0.3798	0.03165	0	0	0	0	0.633	0	0	0	0.09495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'ow',)	0	0	0	0	0	0.1899	0.0	0.47475	0	0	1	0	0	0	0	0	0.9495	0.522225	0	0	0.0633	0.047475	0.28485	0.0406928571429	0	1	0	0	0	0	0.66465	0	0	0	0	1	1	0.0
(u'p',)	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0
(u'r',)	0.0	0.174075	0.0	0.522225	0	0.34815	0.0	1	0	0.452595	1	0.0193416666667	0.0	0.0	0	0.522225	1	0.47870625	0.0	0	0	0	0.2611125	0.2611125	0	0.638275	1	0.34815	0.6963	0	1	0	0	0	0	1	1	0.0
(u's',)	0.0	0	0.0	0.15192	0.0	0.2532	0.0	1	0	0.65832	0.5064	0.1266	0	0.0	0.5064	0.7596	1	0.34815	0.0	0	0.217028571429	0	0.2532	0.1899	0	1	1	0.0723428571429	1	0	0.196933333333	0	0	0	0	1	1	0
(u'sh',)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u't',)	0.0	0	0.0	0.9495	0	0.180857142857	0.0	1	0	1	1	0.15825	0.0	0.0	0.3165	1	1	0.409588235294	0.0	0	0.7596	0.3165	0.9495	0	0	0	0	0.140666666667	0.061756097561	0	0.492333333333	0	0	0.0	0	1	1	0
(u'th',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.0	0	0	0	0	0.28485	0	0.9495	0	0.205725	0	0	0	0	0.1899	0	0	0.522225	0	0	0.5697	0.09495	0	0.142425	0	0	1	0	0.1899	0	0.66465	0	0	0.0	0.0	1	1	0.0
(u'v',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'w',)	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.0	0.617175	0.0	0	0.0	0.123435	0	1	0	1	0.3798	0	0.0	0	0.0587785714286	0.3085875	1	0.452595	0.0	0	0	0.205725	0	0.15429375	0	0	1	0	0.41145	0	0.7200375	0	0	0	0	1	1	0
