corpus speaker algo token_f-score token_precision token_recall boundary_f-score boundary_precision boundary_recall
Bernstein alice2 dmcmc 0.7702 0.7098 0.842 0.8927 0.8063 1
Bernstein alice2 puddle 0.5417 0.6291 0.4755 0.6928 0.8521 0.5837
Bernstein alice3 AGc3sf_1 0.864 0.8333 0.897 0.9269 0.8838 0.9744
Bernstein alice3 AGc3sf_2 0.861 0.8292 0.8952 0.9259 0.8813 0.9752
Bernstein alice3 AGc3sf_3 0.8548 0.8275 0.8841 0.9222 0.8834 0.9645
Bernstein alice3 AGc3sf_4 0.8588 0.8262 0.894 0.9252 0.8794 0.976
Bernstein alice3 AGc3sf_5 0.8474 0.8173 0.8798 0.919 0.8763 0.9661
Bernstein alice3 AGu_1 0.7852 0.7708 0.8002 0.8888 0.8671 0.9116
Bernstein alice3 AGu_2 0.789 0.7729 0.8058 0.8903 0.8663 0.9157
Bernstein alice3 AGu_3 0.7758 0.7607 0.7916 0.885 0.8621 0.9091
Bernstein alice3 AGu_4 0.7988 0.7855 0.8126 0.895 0.8752 0.9157
Bernstein alice3 AGu_5 0.7894 0.772 0.8076 0.889 0.863 0.9165
Bernstein alice3 TPs 0.2465 0.3647 0.1862 0.4822 0.9423 0.324
Bernstein alice3 dibs 0.3001 0.3568 0.2589 0.4901 0.6327 0.4
Bernstein alice3 dmcmc 0.8088 0.7567 0.8687 0.9098 0.8346 1
Bernstein alice3 puddle 0.5643 0.6684 0.4883 0.6858 0.8797 0.562
Bernstein amelia1 AGc3sf_1 0.9178 0.895 0.9417 0.9557 0.9227 0.9911
Bernstein amelia1 AGc3sf_2 0.9266 0.9069 0.9472 0.9597 0.9312 0.9901
Bernstein amelia1 AGc3sf_3 0.9171 0.8944 0.941 0.9557 0.9227 0.9911
Bernstein amelia1 AGc3sf_4 0.9201 0.8976 0.9437 0.9571 0.9244 0.9921
Bernstein amelia1 AGc3sf_5 0.9171 0.8944 0.941 0.9557 0.9227 0.9911
Bernstein amelia1 AGu_1 0.7726 0.7772 0.7681 0.8718 0.8793 0.8645
Bernstein amelia1 AGu_2 0.7787 0.7674 0.7903 0.8794 0.8615 0.8981
Bernstein amelia1 AGu_3 0.7814 0.7822 0.7806 0.8816 0.8829 0.8803
Bernstein amelia1 AGu_4 0.7929 0.7832 0.8028 0.8853 0.8701 0.9011
Bernstein amelia1 AGu_5 0.7921 0.7765 0.8083 0.8842 0.8598 0.91
Bernstein amelia1 TPs 0.2625 0.3745 0.2021 0.4783 0.9339 0.3215
Bernstein amelia1 dibs 0.2841 0.3418 0.2431 0.462 0.6235 0.367
Bernstein amelia1 dmcmc 0.8397 0.7952 0.8896 0.922 0.8553 1
Bernstein amelia1 puddle 0.5353 0.6433 0.4583 0.6803 0.9162 0.541
Bernstein amelia2 AGc3sf_1 0.834 0.7967 0.8749 0.9105 0.8552 0.9735
Bernstein amelia2 AGc3sf_2 0.8838 0.8634 0.9052 0.9414 0.9113 0.9735
Bernstein amelia2 AGc3sf_3 0.865 0.8398 0.8917 0.9328 0.8955 0.9735
Bernstein amelia2 AGc3sf_4 0.8441 0.8085 0.883 0.9142 0.8617 0.9735
Bernstein amelia2 AGc3sf_5 0.8885 0.8694 0.9085 0.9436 0.9154 0.9735
Bernstein amelia2 AGu_1 0.7821 0.7749 0.7895 0.8832 0.8718 0.8949
Bernstein amelia2 AGu_2 0.764 0.7473 0.7814 0.8771 0.8505 0.9053
Bernstein amelia2 AGu_3 0.7377 0.7215 0.7545 0.8587 0.8327 0.8864
Bernstein amelia2 AGu_4 0.7691 0.7516 0.7875 0.8731 0.8456 0.9025
Bernstein amelia2 AGu_5 0.7617 0.753 0.7707 0.8607 0.8469 0.875
Bernstein amelia2 TPs 0.2982 0.4048 0.236 0.5322 0.9106 0.3759
Bernstein amelia2 dibs 0.3174 0.3764 0.2744 0.5032 0.6585 0.4072
Bernstein amelia2 dmcmc 0.7743 0.7133 0.8467 0.8838 0.7918 1
Bernstein amelia2 puddle 0.4986 0.6291 0.4129 0.6446 0.9468 0.4886
Bernstein amelia3 AGc3sf_1 0.8924 0.8722 0.9136 0.9413 0.9117 0.9729
Bernstein amelia3 AGc3sf_2 0.8736 0.8475 0.9013 0.9275 0.8893 0.9691
Bernstein amelia3 AGc3sf_3 0.8895 0.87 0.9099 0.9386 0.9101 0.9691
Bernstein amelia3 AGc3sf_4 0.8732 0.8467 0.9013 0.9282 0.8894 0.9706
Bernstein amelia3 AGc3sf_5 0.894 0.8757 0.9131 0.9436 0.9168 0.9721
Bernstein amelia3 AGu_1 0.776 0.7636 0.7888 0.8806 0.861 0.9012
Bernstein amelia3 AGu_2 0.7908 0.7844 0.7973 0.8938 0.8836 0.9042
Bernstein amelia3 AGu_3 0.8082 0.7955 0.8213 0.9031 0.8832 0.9238
Bernstein amelia3 AGu_4 0.7328 0.72 0.7461 0.8522 0.8314 0.8741
Bernstein amelia3 AGu_5 0.7942 0.7829 0.8059 0.891 0.8733 0.9095
Bernstein amelia3 TPs 0.305 0.4233 0.2384 0.5041 0.9112 0.3484
Bernstein amelia3 dibs 0.2744 0.3064 0.2485 0.4543 0.537 0.3937
Bernstein amelia3 dmcmc 0.817 0.7653 0.8763 0.907 0.8299 1
Bernstein amelia3 puddle 0.5862 0.6771 0.5168 0.7192 0.9002 0.5988
Bernstein anne1 AGc3sf_1 0.8659 0.8506 0.8818 0.9286 0.9062 0.9521
Bernstein anne1 AGc3sf_2 0.8623 0.8399 0.8858 0.9281 0.8957 0.9631
Bernstein anne1 AGc3sf_3 0.8497 0.8303 0.8699 0.9219 0.8935 0.9521
Bernstein anne1 AGc3sf_4 0.8567 0.8384 0.8759 0.9263 0.8995 0.9549
Bernstein anne1 AGc3sf_5 0.8631 0.8499 0.8769 0.9277 0.9083 0.948
Bernstein anne1 AGu_1 0.6946 0.7075 0.6822 0.8219 0.8432 0.8016
Bernstein anne1 AGu_2 0.6597 0.661 0.6584 0.8134 0.8157 0.8112
Bernstein anne1 AGu_3 0.685 0.679 0.6912 0.8311 0.8211 0.8413
Bernstein anne1 AGu_4 0.6643 0.6714 0.6574 0.8203 0.8324 0.8085
Bernstein anne1 AGu_5 0.669 0.6717 0.6663 0.8129 0.8174 0.8085
Bernstein anne1 TPs 0.2739 0.3919 0.2105 0.5161 0.9698 0.3516
Bernstein anne1 dibs 0.2831 0.3748 0.2274 0.4578 0.7284 0.3338
Bernstein anne1 dmcmc 0.7824 0.7276 0.8461 0.8993 0.817 1
Bernstein anne1 puddle 0.3378 0.5153 0.2512 0.4292 0.9442 0.2777
Bernstein anne2 AGc3sf_1 0.8417 0.8096 0.8764 0.9222 0.8768 0.9727
Bernstein anne2 AGc3sf_2 0.8458 0.8136 0.8807 0.9222 0.8768 0.9727
Bernstein anne2 AGc3sf_3 0.8549 0.8212 0.8915 0.9299 0.8824 0.9827
Bernstein anne2 AGc3sf_4 0.8514 0.8174 0.8883 0.9279 0.88 0.9813
Bernstein anne2 AGc3sf_5 0.8522 0.819 0.8883 0.9278 0.881 0.9799
Bernstein anne2 AGu_1 0.7099 0.6852 0.7364 0.8348 0.7971 0.8763
Bernstein anne2 AGu_2 0.6911 0.6588 0.7267 0.8283 0.7785 0.8849
Bernstein anne2 AGu_3 0.6897 0.6572 0.7256 0.8277 0.7775 0.8849
Bernstein anne2 AGu_4 0.7047 0.6703 0.743 0.8362 0.7836 0.8964
Bernstein anne2 AGu_5 0.7082 0.6793 0.7397 0.8342 0.7902 0.8835
Bernstein anne2 TPs 0.2395 0.3578 0.18 0.4893 0.962 0.3281
Bernstein anne2 dibs 0.2301 0.3333 0.1757 0.3857 0.7104 0.2647
Bernstein anne2 dmcmc 0.7885 0.7343 0.8514 0.9045 0.8256 1
Bernstein anne2 puddle 0.2072 0.3994 0.1399 0.225 0.9271 0.1281
Bernstein anne3a AGc3sf_1 0.7753 0.7374 0.8173 0.8919 0.8395 0.9513
Bernstein anne3a AGc3sf_2 0.7875 0.7529 0.8254 0.8982 0.8507 0.9513
Bernstein anne3a AGc3sf_3 0.7574 0.717 0.8027 0.8833 0.8267 0.9483
Bernstein anne3a AGc3sf_4 0.7848 0.7493 0.8238 0.8965 0.8477 0.9513
Bernstein anne3a AGc3sf_5 0.7724 0.7354 0.8133 0.8885 0.8373 0.9463
Bernstein anne3a AGu_1 0.6916 0.6558 0.7316 0.8427 0.7903 0.9026
Bernstein anne3a AGu_2 0.6848 0.6443 0.7308 0.8421 0.7824 0.9115
Bernstein anne3a AGu_3 0.6806 0.6432 0.7227 0.8397 0.7843 0.9036
Bernstein anne3a AGu_4 0.6958 0.6512 0.747 0.8514 0.7862 0.9284
Bernstein anne3a AGu_5 0.6743 0.6383 0.7146 0.8352 0.7816 0.8966
Bernstein anne3a TPs 0.1938 0.2967 0.1439 0.5091 0.9485 0.3479
Bernstein anne3a dibs 0.2468 0.3732 0.1843 0.4271 0.7789 0.2942
Bernstein anne3a dmcmc 0.7769 0.7203 0.8432 0.9051 0.8266 1
Bernstein anne3a puddle 0.2673 0.4649 0.1876 0.3689 0.8769 0.2336
Bernstein cindy1 AGc3sf_1 0.8209 0.7851 0.8601 0.9144 0.8627 0.9725
Bernstein cindy1 AGc3sf_2 0.8213 0.7849 0.8613 0.9133 0.8608 0.9725
Bernstein cindy1 AGc3sf_3 0.8203 0.7845 0.8595 0.9128 0.8613 0.9709
Bernstein cindy1 AGc3sf_4 0.8174 0.7802 0.8582 0.9119 0.8583 0.9725
Bernstein cindy1 AGc3sf_5 0.8137 0.7761 0.8551 0.91 0.8557 0.9717
Bernstein cindy1 AGu_1 0.7855 0.7537 0.8201 0.8919 0.8451 0.9443
Bernstein cindy1 AGu_2 0.77 0.7442 0.7976 0.8837 0.8451 0.926
Bernstein cindy1 AGu_3 0.7526 0.7254 0.782 0.8739 0.8327 0.9193
Bernstein cindy1 AGu_4 0.7822 0.7594 0.8064 0.8893 0.8555 0.926
Bernstein cindy1 AGu_5 0.7743 0.7518 0.7983 0.8861 0.8524 0.9226
Bernstein cindy1 TPs 0.2397 0.3472 0.183 0.5222 0.9663 0.3577
Bernstein cindy1 dibs 0.3228 0.3861 0.2773 0.5151 0.6698 0.4185
Bernstein cindy1 dmcmc 0.7892 0.7356 0.8513 0.9051 0.8267 1
Bernstein cindy1 puddle 0.5059 0.6201 0.4272 0.6485 0.8778 0.5141
Bernstein cindy3 AGc3sf_1 0.8243 0.8022 0.8477 0.9132 0.8817 0.947
Bernstein cindy3 AGc3sf_2 0.8196 0.7938 0.8471 0.913 0.8762 0.9531
Bernstein cindy3 AGc3sf_3 0.8281 0.8053 0.8523 0.9158 0.8833 0.9508
Bernstein cindy3 AGc3sf_4 0.8195 0.7941 0.8466 0.9108 0.8747 0.9501
Bernstein cindy3 AGc3sf_5 0.8225 0.8009 0.8454 0.9124 0.8815 0.9455
Bernstein cindy3 AGu_1 0.7687 0.7503 0.7881 0.8847 0.8573 0.9138
Bernstein cindy3 AGu_2 0.7387 0.7318 0.7458 0.8689 0.8583 0.8797
Bernstein cindy3 AGu_3 0.7463 0.7286 0.7649 0.8725 0.8459 0.9009
Bernstein cindy3 AGu_4 0.7425 0.723 0.7632 0.8672 0.8378 0.8986
Bernstein cindy3 AGu_5 0.7427 0.7234 0.7632 0.8682 0.8391 0.8994
Bernstein cindy3 TPs 0.2648 0.3817 0.2027 0.5234 0.9375 0.3631
Bernstein cindy3 dibs 0.2966 0.363 0.2507 0.5137 0.6878 0.41
Bernstein cindy3 dmcmc 0.7899 0.736 0.8523 0.9064 0.8288 1
Bernstein cindy3 puddle 0.4459 0.5732 0.3648 0.6161 0.8948 0.4697
Bernstein dale1 AGc3sf_1 0.8338 0.8118 0.857 0.9024 0.8688 0.9387
Bernstein dale1 AGc3sf_2 0.8222 0.8005 0.845 0.8969 0.8635 0.933
Bernstein dale1 AGc3sf_3 0.8312 0.8093 0.8543 0.9006 0.867 0.9368
Bernstein dale1 AGc3sf_4 0.8279 0.8091 0.8477 0.8981 0.8692 0.9291
Bernstein dale1 AGc3sf_5 0.8266 0.8053 0.849 0.8977 0.865 0.933
Bernstein dale1 AGu_1 0.6723 0.6641 0.6808 0.8034 0.7893 0.818
Bernstein dale1 AGu_2 0.7017 0.6962 0.7073 0.8258 0.8165 0.8352
Bernstein dale1 AGu_3 0.6745 0.6684 0.6808 0.7996 0.7892 0.8103
Bernstein dale1 AGu_4 0.6645 0.6653 0.6636 0.7869 0.7885 0.7854
Bernstein dale1 AGu_5 0.6905 0.6782 0.7033 0.8022 0.7818 0.8238
Bernstein dale1 TPs 0.3121 0.4256 0.2464 0.5152 0.9167 0.3582
Bernstein dale1 dibs 0.2672 0.3738 0.2079 0.3836 0.7273 0.2605
Bernstein dale1 dmcmc 0.7404 0.6777 0.8159 0.8717 0.7725 1
Bernstein dale1 puddle 0.3678 0.5426 0.2781 0.4467 0.9805 0.2893
Bernstein dale2 AGc3sf_1 0.8905 0.8681 0.914 0.94 0.907 0.9754
Bernstein dale2 AGc3sf_2 0.8804 0.8578 0.9042 0.9341 0.9007 0.9702
Bernstein dale2 AGc3sf_3 0.8641 0.8358 0.8943 0.924 0.882 0.9702
Bernstein dale2 AGc3sf_4 0.8886 0.8668 0.9115 0.9391 0.9069 0.9737
Bernstein dale2 AGc3sf_5 0.8848 0.865 0.9054 0.9355 0.9062 0.9667
Bernstein dale2 AGu_1 0.7474 0.7372 0.758 0.8616 0.8449 0.8789
Bernstein dale2 AGu_2 0.7399 0.7239 0.7568 0.8598 0.8336 0.8877
Bernstein dale2 AGu_3 0.7493 0.7305 0.769 0.8673 0.8369 0.9
Bernstein dale2 AGu_4 0.7339 0.7343 0.7334 0.8481 0.8489 0.8474
Bernstein dale2 AGu_5 0.723 0.7151 0.731 0.8463 0.8333 0.8596
Bernstein dale2 TPs 0.3027 0.4263 0.2346 0.4987 0.9461 0.3386
Bernstein dale2 dibs 0.2739 0.3737 0.2162 0.3965 0.696 0.2772
Bernstein dale2 dmcmc 0.7841 0.7294 0.8477 0.8964 0.8122 1
Bernstein dale2 puddle 0.3951 0.5936 0.2961 0.4262 0.963 0.2737
Bernstein gail2 AGc3sf_1 0.8381 0.8094 0.8689 0.9134 0.8737 0.9569
Bernstein gail2 AGc3sf_2 0.8273 0.7984 0.8584 0.9059 0.8657 0.9501
Bernstein gail2 AGc3sf_3 0.8304 0.8026 0.8601 0.9079 0.8693 0.9501
Bernstein gail2 AGc3sf_4 0.8212 0.7932 0.8514 0.9048 0.8654 0.9478
Bernstein gail2 AGc3sf_5 0.8257 0.8 0.8531 0.9065 0.8706 0.9456
Bernstein gail2 AGu_1 0.5995 0.5908 0.6084 0.7675 0.7533 0.7823
Bernstein gail2 AGu_2 0.6499 0.6459 0.6538 0.8031 0.7969 0.8095
Bernstein gail2 AGu_3 0.6565 0.6391 0.6748 0.8118 0.7844 0.8413
Bernstein gail2 AGu_4 0.692 0.6688 0.7168 0.8321 0.7967 0.8707
Bernstein gail2 AGu_5 0.6288 0.6283 0.6294 0.7769 0.776 0.7778
Bernstein gail2 TPs 0.2079 0.3134 0.1556 0.4815 0.9346 0.3243
Bernstein gail2 dibs 0.1834 0.2957 0.1329 0.328 0.7381 0.2109
Bernstein gail2 dmcmc 0.7823 0.726 0.8479 0.902 0.8216 1
Bernstein gail2 puddle 0.1782 0.3722 0.1171 0.1878 0.9388 0.1043
Bernstein gail3 AGc3sf_1 0.7747 0.7435 0.8087 0.8844 0.8387 0.9353
Bernstein gail3 AGc3sf_2 0.7825 0.7574 0.8093 0.8908 0.854 0.9309
Bernstein gail3 AGc3sf_3 0.7763 0.7478 0.807 0.8869 0.8451 0.9331
Bernstein gail3 AGc3sf_4 0.7732 0.7426 0.8065 0.8846 0.8397 0.9346
Bernstein gail3 AGc3sf_5 0.7688 0.7345 0.8065 0.8809 0.8307 0.9375
Bernstein gail3 AGu_1 0.7341 0.7308 0.7374 0.8537 0.8486 0.8587
Bernstein gail3 AGu_2 0.7294 0.7304 0.7284 0.8462 0.8478 0.8446
Bernstein gail3 AGu_3 0.7349 0.7404 0.7295 0.8483 0.8567 0.8401
Bernstein gail3 AGu_4 0.7477 0.7517 0.7436 0.8589 0.865 0.8528
Bernstein gail3 AGu_5 0.7056 0.7066 0.7046 0.8395 0.841 0.8379
Bernstein gail3 TPs 0.2275 0.3315 0.1732 0.5103 0.9401 0.3502
Bernstein gail3 dibs 0.2249 0.2908 0.1834 0.43 0.6329 0.3257
Bernstein gail3 dmcmc 0.7921 0.7378 0.8551 0.9055 0.8273 1
Bernstein gail3 puddle 0.4638 0.5848 0.3843 0.6372 0.8985 0.4937
Bernstein kay1 AGc3sf_1 0.7728 0.7262 0.8258 0.8701 0.7966 0.9584
Bernstein kay1 AGc3sf_2 0.7754 0.7288 0.8283 0.8738 0.8004 0.962
Bernstein kay1 AGc3sf_3 0.7762 0.7304 0.8283 0.873 0.8008 0.9596
Bernstein kay1 AGc3sf_4 0.7742 0.7268 0.8283 0.8719 0.7972 0.962
Bernstein kay1 AGc3sf_5 0.7761 0.7307 0.8274 0.874 0.8024 0.9596
Bernstein kay1 AGu_1 0.7541 0.7362 0.7729 0.8568 0.8274 0.8884
Bernstein kay1 AGu_2 0.7565 0.7372 0.7769 0.8612 0.8295 0.8955
Bernstein kay1 AGu_3 0.7339 0.7211 0.7472 0.8433 0.8219 0.8658
Bernstein kay1 AGu_4 0.7429 0.7347 0.7512 0.8423 0.8287 0.8563
Bernstein kay1 AGu_5 0.7668 0.7481 0.7865 0.865 0.8344 0.8979
Bernstein kay1 TPs 0.3286 0.4463 0.26 0.5052 0.913 0.3492
Bernstein kay1 dibs 0.3142 0.3515 0.2841 0.4747 0.5688 0.4074
Bernstein kay1 dmcmc 0.776 0.7162 0.8467 0.8815 0.788 1
Bernstein kay1 puddle 0.5463 0.6411 0.4759 0.6632 0.8676 0.5368
Bernstein kay2 AGc3sf_1 0.9086 0.8914 0.9264 0.9523 0.928 0.9779
Bernstein kay2 AGc3sf_2 0.9011 0.8809 0.9222 0.9493 0.9206 0.9798
Bernstein kay2 AGc3sf_3 0.9033 0.8877 0.9194 0.9498 0.9277 0.9731
Bernstein kay2 AGc3sf_4 0.9049 0.8869 0.9236 0.951 0.9255 0.9779
Bernstein kay2 AGc3sf_5 0.9076 0.8902 0.9257 0.9528 0.9281 0.9789
Bernstein kay2 AGu_1 0.8003 0.7867 0.8143 0.8977 0.8772 0.9193
Bernstein kay2 AGu_2 0.8102 0.8008 0.8199 0.8998 0.8856 0.9145
Bernstein kay2 AGu_3 0.7997 0.7831 0.8171 0.8946 0.8694 0.9212
Bernstein kay2 AGu_4 0.7801 0.7687 0.7919 0.8894 0.8718 0.9078
Bernstein kay2 AGu_5 0.8025 0.791 0.8143 0.8917 0.8744 0.9097
Bernstein kay2 TPs 0.2672 0.3798 0.206 0.5024 0.9253 0.3449
Bernstein kay2 dibs 0.3265 0.401 0.2754 0.4954 0.6818 0.389
Bernstein kay2 dmcmc 0.8103 0.7586 0.8697 0.9088 0.8328 1
Bernstein kay2 puddle 0.469 0.6164 0.3784 0.597 0.9327 0.439
Bernstein kay3 AGc3sf_1 0.7778 0.7264 0.8371 0.8806 0.8012 0.9774
Bernstein kay3 AGc3sf_2 0.7745 0.7225 0.8345 0.8791 0.7988 0.9774
Bernstein kay3 AGc3sf_3 0.7786 0.7271 0.838 0.8806 0.8012 0.9774
Bernstein kay3 AGc3sf_4 0.8069 0.7608 0.8589 0.8943 0.8242 0.9774
Bernstein kay3 AGc3sf_5 0.808 0.7622 0.8598 0.8948 0.825 0.9774
Bernstein kay3 AGu_1 0.7409 0.7231 0.7596 0.8448 0.8162 0.8756
Bernstein kay3 AGu_2 0.7047 0.6744 0.7378 0.8235 0.7743 0.8794
Bernstein kay3 AGu_3 0.7212 0.6961 0.7483 0.8391 0.7982 0.8844
Bernstein kay3 AGu_4 0.7051 0.6782 0.7343 0.8322 0.7879 0.8819
Bernstein kay3 AGu_5 0.7362 0.712 0.7622 0.8452 0.8062 0.8882
Bernstein kay3 TPs 0.292 0.4107 0.2265 0.494 0.9466 0.3342
Bernstein kay3 dibs 0.3012 0.3712 0.2535 0.4609 0.6551 0.3555
Bernstein kay3 dmcmc 0.7715 0.7135 0.8397 0.8873 0.7974 1
Bernstein kay3 puddle 0.4918 0.6218 0.4068 0.6092 0.9123 0.4573
Bernstein lena1 AGc3sf_1 0.8486 0.827 0.8714 0.908 0.8736 0.9453
Bernstein lena1 AGc3sf_2 0.8512 0.827 0.877 0.9101 0.8717 0.9521
Bernstein lena1 AGc3sf_3 0.8534 0.8291 0.8792 0.9101 0.8717 0.9521
Bernstein lena1 AGc3sf_4 0.8472 0.8214 0.8747 0.9072 0.8663 0.9521
Bernstein lena1 AGc3sf_5 0.8411 0.8138 0.8702 0.9042 0.8609 0.9521
Bernstein lena1 AGu_1 0.6588 0.6339 0.6857 0.7868 0.7432 0.8359
Bernstein lena1 AGu_2 0.6549 0.6286 0.6834 0.7804 0.7345 0.8325
Bernstein lena1 AGu_3 0.6347 0.6123 0.6588 0.7706 0.7305 0.8154
Bernstein lena1 AGu_4 0.6881 0.6605 0.7181 0.8045 0.7572 0.8581
Bernstein lena1 AGu_5 0.676 0.6534 0.7002 0.8088 0.7689 0.853
Bernstein lena1 TPs 0.3562 0.4681 0.2875 0.5285 0.9083 0.3726
Bernstein lena1 dibs 0.2653 0.3257 0.2237 0.4225 0.6164 0.3214
Bernstein lena1 dmcmc 0.6779 0.6071 0.7673 0.8324 0.7129 1
Bernstein lena1 puddle 0.4214 0.5344 0.3479 0.5548 0.8718 0.4068
Bernstein lena2 AGc3sf_1 0.8347 0.8159 0.8544 0.9003 0.8718 0.9307
Bernstein lena2 AGc3sf_2 0.7704 0.7327 0.8123 0.8721 0.8136 0.9398
Bernstein lena2 AGc3sf_3 0.8189 0.7961 0.8429 0.9002 0.8653 0.938
Bernstein lena2 AGc3sf_4 0.8437 0.8296 0.8582 0.9029 0.8817 0.9252
Bernstein lena2 AGc3sf_5 0.8121 0.7868 0.8391 0.8902 0.8517 0.9325
Bernstein lena2 AGu_1 0.7331 0.7331 0.7331 0.8285 0.8285 0.8285
Bernstein lena2 AGu_2 0.6203 0.6199 0.6207 0.7511 0.7505 0.7518
Bernstein lena2 AGu_3 0.7337 0.7219 0.7458 0.8324 0.8136 0.8522
Bernstein lena2 AGu_4 0.7391 0.7312 0.7471 0.8266 0.8142 0.8394
Bernstein lena2 AGu_5 0.7197 0.7116 0.728 0.8205 0.8074 0.8339
Bernstein lena2 TPs 0.2641 0.3777 0.2031 0.4741 0.9355 0.3175
Bernstein lena2 dibs 0.2347 0.3243 0.1839 0.391 0.7081 0.2701
Bernstein lena2 dmcmc 0.7764 0.7215 0.8404 0.8947 0.8095 1
Bernstein lena2 puddle 0.2498 0.3892 0.1839 0.3397 0.8593 0.2117
Bernstein lena3 AGc3sf_1 0.8729 0.861 0.8851 0.9316 0.9144 0.9495
Bernstein lena3 AGc3sf_2 0.8773 0.8629 0.8922 0.9345 0.9136 0.9563
Bernstein lena3 AGc3sf_3 0.8798 0.8687 0.8911 0.9367 0.9207 0.9533
Bernstein lena3 AGc3sf_4 0.8735 0.8612 0.8862 0.9331 0.9152 0.9518
Bernstein lena3 AGc3sf_5 0.8772 0.8633 0.8916 0.9344 0.9142 0.9555
Bernstein lena3 AGu_1 0.7607 0.7542 0.7674 0.8652 0.855 0.8757
Bernstein lena3 AGu_2 0.6997 0.6858 0.7143 0.8198 0.7976 0.8433
Bernstein lena3 AGu_3 0.7395 0.7363 0.7427 0.8457 0.8407 0.8508
Bernstein lena3 AGu_4 0.7032 0.6874 0.7198 0.8277 0.8025 0.8546
Bernstein lena3 AGu_5 0.7716 0.7578 0.786 0.8619 0.8409 0.8839
Bernstein lena3 TPs 0.2678 0.3708 0.2096 0.514 0.8968 0.3602
Bernstein lena3 dibs 0.2847 0.3481 0.2408 0.4505 0.6165 0.3549
Bernstein lena3 dmcmc 0.765 0.7053 0.8358 0.887 0.797 1
Bernstein lena3 puddle 0.4031 0.5364 0.3229 0.5677 0.9117 0.4122
Brown sarah004 AGc3sf_1 0.8197 0.8062 0.8337 0.911 0.8909 0.9321
Brown sarah004 AGc3sf_2 0.7949 0.7717 0.8196 0.897 0.8622 0.9348
Brown sarah004 AGc3sf_3 0.814 0.7917 0.8377 0.902 0.869 0.9375
Brown sarah004 AGc3sf_4 0.7961 0.7793 0.8136 0.8865 0.8615 0.913
Brown sarah004 AGc3sf_5 0.8087 0.7961 0.8216 0.8989 0.8802 0.9185
Brown sarah004 AGu_1 0.5421 0.4992 0.5932 0.7422 0.6667 0.837
Brown sarah004 AGu_2 0.5424 0.4887 0.6092 0.7474 0.6538 0.8723
Brown sarah004 AGu_3 0.5946 0.5557 0.6393 0.7645 0.6998 0.8424
Brown sarah004 AGu_4 0.5095 0.4624 0.5671 0.7256 0.6403 0.837
Brown sarah004 AGu_5 0.5212 0.4738 0.5792 0.7226 0.6388 0.8315
Brown sarah004 TPs 0.285 0.4029 0.2204 0.5294 0.9507 0.3668
Brown sarah004 dibs 0.2869 0.4417 0.2124 0.3983 0.8716 0.2582
Brown sarah004 dmcmc 0.718 0.6556 0.7936 0.8751 0.778 1
Brown sarah004 puddle 0.19 0.3841 0.1263 0.1496 0.9091 0.08152
