aa ஹ
naxng ബ
nayn ഭ
nays മ
nayt യ
nayz ര
neh റ
nehkst ല
ner ള
neym ഴ
niy വ
niyd ശ
niyk ഷ
niyz സ
now ഹ
nowz ഺ
nuw ഻
nyaxn ഼
ow ഽ
own ാ
paart ി
paen ീ
paet ു
paets ൂ
pah ൃ
paol ൄ
paxl ൅
paxn െ
paxng േ
paxnz ൈ
payk ൉
pehr ൊ
per ോ
peynt ൌ
peyst ്
pih ൎ
pihk ൏
pihngk ൐
piy ൑
piyz ൒
pley ൓
pleyd ൔ
pleyn ൕ
prih ൖ
puhl ൗ
puht ൘
puhts ൙
raa ൚
raak ൛
rae ൜
rahn ൝
rax ൞
raxnjh ൟ
raxt ൠ
raxts ൡ
rayt ൢ
reh ൣ
rehd ൤
rer ൥
rey ൦
rih ൧
rihng ൨
riy ൩
riyl ൪
row ൫
rowz ൬
saa ൭
sahm ൮
sao ൯
saort ൰
sax ൱
saxlz ൲
saxm ൳
saxz ൴
sayd ൵
seh ൶
sehlf ൷
sehz ൸
sey ൹
seym ൺ
shiy ൻ
shiyz ർ
shmeh ൽ
shuhd ൾ
shuhr ൿ
shuw ඀
shuwz ඁ
sih ං
sihks ඃ
sihn ඄
siht අ
siy ආ
skrae ඇ
skuw ඈ
sliy ඉ
sliyp ඊ
smaart උ
smeh ඌ
smehl ඍ
smehlz ඎ
snaep ඏ
snowz ඐ
sow එ
spuwn ඒ
staart ඓ
staarts ඔ
stae ඕ
staek ඖ
ster ඗
stiym ඘
strao ඙
strow ක
suwp ඛ
taa ග
taang ඝ
taap ඞ
tahng ඟ
taok ච
taokt ඡ
taw ජ
tax ඣ
taxl ඤ
taxm ඥ
taxn ඦ
taxng ට
taxz ඨ
taym ඩ
taymz ඪ
tayn ණ
teh ඬ
tehl ත
tehn ථ
ter ද
tey ධ
teyk න
thaengk ඲
thaxng ඳ
thihng ප
thihngk ඵ
thihngz බ
thriy භ
throw ම
thruw ඹ
tihk ය
tihks ර
tihng ඼
tiy ල
tiyz ඾
towst ඿
toy ව
toyz ශ
trahk ෂ
trahks ස
tray හ
trayk ළ
treyn ෆ
treynz ෇
trih ෈
tuw ෉
uw ්
uwps ෋
vae ෌
vaxn ෍
vaxng ෎
veh ා
ver ැ
vih ෑ
viy ි
voys ී
waa ු
waan ෕
waant ූ
waaz ෗
wae ෘ
waetd ෙ
wah ේ
wahn ෛ
wahnz ො
waht ෝ
wahts ෞ
wao ෟ
waw ෠
waxdh ෡
way ෢
wayt ෣
wehl ෤
wehn ෥
wehnt ෦
wehr ෧
wer ෨
werd ෩
werk ෪
wey ෫
weyt ෬
wihch ෭
wihdh ෮
wihn ෯
wiy ෰
wiyl ෱
wiyv ෲ
wuhd ෳ
wuwps ෴
yaa ෵
yaarn ෶
yae ෷
yah ෸
yahm ෹
yaon ෺
yaor ෻
yax ෼
yeh ෽
yehs ෾
yer ෿
yowk ฀
yuhrz ก
yuw ข
yuwd ฃ
yuwl ค
yuwv ฅ
zaxnz ฆ
zaxz ง
zay จ
zerz ฉ
zih ช
zihp ซ
ziy ฌ
ziyz ญ
