agey	、。
adjustment	㄄㈔㈕
adjustments	㄄㈖㈗
adorable	㄄㈘㈙ㄉ
adoption	㄄㈠ㄑ
adore	㄄㈡
adult	㄄㈢
adults	㄄㈣
advanced	㆙㈤
advantage	㆙㈥㈦
adventure	㆙〘〙
advice	㆙㈧
advises	㆙㈨㈩
afford	㄄㈰
afraid	㄄㈱
africa	゘㈲を
african	゘㈲㈳
after	㈴㆒
afternoon	㈴㆒㈵
afterwards	㈴㆒㈶
again	㄄㈷
against	㄄㈸
age	㈹
aggie	゘て
aggravated	゘㉀㆑ㅄ
aggravating	゘㉀㆑ㅃ
aggressive	㄄㉁〉
agnes	㉂㉃
ago	㄄㉄
agree	㄄㉅
agreed	㄄㉆
ah	゗
ahab	、㉇
ahead	㄄㉈
ahhah	゗㉉
ahoy	゘㉐
aid	㉑
aidan	、㉒
aids	㉓
aim	㉔
aimed	㉕
ainsley	㉖と
ain't	㉗
air	㉘
airing	、㉙
airline	㉘㉠
airplane	㉘㉡
airplanes	㉢㉣
airplane's	㉢㉣
aisle	㉤
aisles	㉥
al	㉦
aladin	㉧㉨㉩
aladin's	㄄㉧㉰
alarm	㄄㉱
alcohol	㉦を㉲
alex	゘㉳
alex's	゘㉴㉵
alexandre	゘㉴㉶】
alexander	゘㉷㉸】
alexander's	゘㉷㉸㉹
alfredo	㉦㊀㈘
algae	㉦。
ali	゗と
alibi	゘ゃ㊁
alice	゘㊂
alice's	゘とㄩ
alicia's	㄄と㊃
alike	㄄㊄
alive	㄄㊅
all	㊆
alan	゘〵
allan	゘〵
alldone	㊆㊇
allen	゘㊈
alligator	゘〠㊉㆒
alligator's	゘〠㊉ぅ
allison	゘〠ㄖ
alison	゘〠ㄖ
allison's	゘〠㊐
allow	㄄㊑
allowed	㄄㊒
ally	゘㊓
almond	゘㊔
almost	㊆㊕
alone	㄄㊖
along	㄄㊗
alot	㄄㊘
aloud	㄄㊒
alpha	㉦㊙
alphabet	㉦㊙㌀
alphabets	㉦㊙㌁
already	㊆む㄂
alright	㊆㌂
alrightie	㊆㌃い
also	㊆㌄
alternative	㊆㆒ど㆓
although	㊆㌅
altogether	㊆ゆ㌆㌇
always	぀㌈
am	㌉
amazed	㄄㌐
amazement	㄄㌑㌒
amazing	㄄ゐ㌓
amazingly	㄄ゐ㌓と
ambitious	㌉ㄇ㌔
ambivalence	㌉ㄇ㌕㌖
amelia	㄄ㄶと㄄
amen	、〡
america	㄄㌗㌘を
american	㄄㌗㌘㈳
americans	㄄㌗㌘㌙
among	㄄㌠
amount	㄄㌡
amused	㄄㌢
amusing	㄄ㆁ㌓
amy	、ㄶ
amie	、ㄶ
amir	㄄㌣
an	㌤
ancient	㌥㌦
and	㌧
andrea's	㌤㌨㌩
andrew	㌤㌰
andrew's	㌤㌱
andy	㌤㄂
andy's	㌤㌲
angel	㌥㌳
angelica	㌤〸〠を
angels	㌥㌴
angle	㌵㌶
angry	㌵㉅
anika	㄄べを
animal	゘㌷㌸
animals	゘㌷㌹
animosity	゘㌷㍀〄い
ankle	㌵㍁
ankles	㌵㍂
ann	㌤
anna	゘ど
anne	㌤
annette	゘々
annie	゘べ
annie's	゘㍃
anniversary	゘㌷㍄ㄗぷ
annoying	㄄㍅㍆
anorexic	゘ど㍇㍈
another	㄄〤㌇
anotherthe	㄄〤㌇㍉
answer	㌤㍐
answered	㌤㍑
answering	㌤ㄗ㉙
answers	㌤㍒
ant	㍓
anteater	㌤い㆒
antenna	㌤㍔ど
antennaes	㌤㍔㍕
antibiotic	㌤㆐㊁゗㍖
antibiotics	㌤㆐㊁゗㍗
antisocial	㌤い㌄㍘
ants	㍙
any	ㅸべ
anybody	ㅸべ㍠㄂
anyhow	ㅸべ㍡
anymore	ㅸべ㍢
anyone	ㅸべ㍣
anything	ㅸべ㍤
anytime	ㅸべ㍥
anyway	ㅸべ㍦
anyways	ㅸべ㍧
anywhere	ㅸべ㍨
apart	㄄㍩
apartment	㄄㍰㈕
aplenty	㄄㍱い
apology	㄄㍲ゃ。
apparent	㄄㍳㍴
apparently	㄄㍳㍴と
appeal	㄄㍵
appeals	㄄㍶
appearance	㄄㍷㍸
appeared	㄄㍹
appetite	゘㎀㎁
appiesauce	゘㍷㎂
apple	゘㎃
apples	゘㎄
applesauce	゘㎃㎂
appleses	゘㎃㎅
applied	㄄㎆
applies	㄄㎇
apply	㄄㎈
applying	㄄㎈㎉
appointment	㄄㎐㌒
appreciate	㄄㎑㎒㎓
appreciates	㄄㎑㎒㎔
approached	㄄㎕
appropriate	㄄㎖ぷ㎓
apricot	゘㎗㎘
apricots	゘㎗㎙
april	、㐀
apron	、㐁
apronstring	、㐁㐂
aquarium	㄄㐃ぷ㐄
arc	㐅
arches	㐆㐇
are	㐆
area	、ぷ㄄
areas	ㅸぷゖ
areil	ㅸ㐈㆘
aren't	㐉
arfarf	㐆㐐
argue	㐆㐑
arguing	㐒㐓㍆
argument	㐆㐔㌒
arise	㄄㐕
ark	㐅
arm	㐖
armadillo	㐆〩ㅹ〹
armhole	㐗㐘
arms	㐙
army	㐆ㄶ
aroonie	㄄㐠べ
around	㄄㐡
arrange	㄄㐢
arranged	㄄㐣
arrangements	㄄㐢㈗
arranging	㄄㐤㐥
array	㄄㐈
arrived	㄄㐦
arriving	㄄㌃ㅱ
art	㐧
arthur	㐆㐨
arthur's	㐆㐩
article	㐆㆐㍁
articles	㐆㆐㍂
artillery	㐆㆐ゃぷ
arts	㐰
as	㐱
ash	㐲
ashamed	㄄㐳
ashes	゘㐴
ashland	㐲㐵
ashley	㐲と
ashley's	㐲㐶
ashy	゘㎒
ask	㐷
asked	㐸
asking	゘㐹
asks	㑀
asleep	㄄㑁
asparagus	㑂㑃㈙㑄
aspect	゘㑅
aspirate	゘㑆㑇
aspirated	゘㑈㐈ㅄ
aspirates	゘㑆㑉
aspirating	゘㑆㐈ㅃ
ass	㑐
assemble	㄄㑑ㄉ
asserting	㄄㍐ㅃ
assistance	㄄㑒㑓
associate	㄄㌄㄁㎓
associated	㄄㌄㄁、ㅄ
associates	㄄㌄㄁㎔
association	㄄㌄㄁、ㄑ
assortment	㄄㑔㌒
assume	㄄㑕
assumed	㄄㑖
at	㑗
ate	㎓
athe	㑘
athena	㄄㑙ど
attach	㄄㑠
attached	㄄㑡
attaches	゘ゆ㑢
attack	㄄㑣
attacked	㄄㑤
attacking	㄄㑥㑦
attention	㄄㑧ㆉ
attic	゘㍖
attitude	゘㆐㑨
attitude	゘㆐㑨
attractive	㄄㑩㆓
augmentin	㑰〡㑱
august	぀㑲
aunt	㍓
auntie	㌤い
aunts	㍙
author	぀㐨
autograph	぀ゆ㑳
automatic	぀ゆ〴㍖
automatically	぀ゆ〴㆐ㄴ
automobile	぀ゆ〩㑴
ava	、㌕
ava's	、㑵
available	㄄㆑ゃㄉ
avenue	゘㌕㑶
average	゘㑷
averaging	㑸㌘㐥
avocado	゘㌕ㅓ㈘
avocados	゘㌕ㅓ㑹
aw	぀
awake	㄄㒀
awakening	㄄㍦を㒁
aware	㄄㒂
away	㄄㍦
awesome	぀㒃
awful	぀㒄
awfully	぀㊙と
awfuls	぀㒅
awkward	぀㒆
ax	㒇
aye	㒈
b	㄀
b@l	㄀
ba	こ
baa	こ
baa@o	こ
baba	こ㒉
babac	こ㒐
babaji	ここ。
babar	こ㒑
babars	こ㒒
babas	こ㒓
babble	〃ㄉ
babbling	〃㒔
babe	㒕
babes	㒖
babies	㒗㒘
baboo	㒉ㄥ
baboon	〃㒙
baby	㒗㄀
baby's	㒗㒘
babycake	㒗㄀㔀
babycakes	㒗㄀㔁
babydoll	㒗㄀㔂
babydolls	㒗㄀㔃
babysat	㒗㄀㔄
babysitter	㒗㄀〄㆒
babysitters	㒗㄀〄ぅ
back	㔅
backdoor	㔅㔆
backed	㔇
backflips	㔅㔈
background	㔅㔉
backie	〃㔐
backing	〃㑦
backordered	〃ㅑ㔑
backpack	㔅㔒
backs	㔓
backtwist	㔅㔔
backward	〃㒆
backwards	〃㔕
backwash	〃㔖
backyard	〃㔗
bacon	㒗㈳
bacteria	㔅㆐ぷ㄄
bad	㔘
badido	㒉㄂㈘
badly	㔘と
baebae	㒗㒗
bag	㔙
baggie	〃て
baggies	〃㔠
baggy	〃て
bags	㔡
bah	こ
bailey	㒗と
bake	㔢
baked	㔣
baker	㒗〈
baker's	㒗ㆆ
bakers	㒗ㆆ
bakes	㔤
baking	㒗㑦
balance	〃㌖
balcony	㔥をべ
bald	㔦
ball	㔧
ball's	㔨
ballerina	〃ゃぷど
ballerinas	〃ゃぷ㍕
ballet	〃〰
ballgame	㔧㔩
ballie	ㄅと
balling	ㄅ㔰
balloon	㒉㔱
balloons	㒉㔲
balls	㔨
balmex	㔧㔳
balogna	㒉〹べ
baloney	㒉〹べ
balooga	㒉㔴㔵
baltimore	㔧㆐㔶
bam	㔷
bambi	㔷㄀
bambi's	㔷㒘
bambis	㔷㒘
bamboo	㔷ㄥ
banana	㒉㔸ど
bananas	㒉㔸㍕
band	㔹
bandana	㕀㉨㕁
bands	㕂
bang	㕃
banged	㕄
banging	㕃㍆
banillon	㒉㌷〵
banjo	㕅㕆
bank	㕇
banner	〃㕁
bantam	㕅㕈
baps	㕉
bar	㒑
barbecue	㒑㒉ㆀ
barbells	㒑㕐
barber	㒑㕑
barbie	㒑㄀
barbies	㒑㒘
barbwire	㕒㕓
barefoot	㕔㕕
barefooted	㕔㕖ㅄ
barely	㕔と
baring	㒗㉙
bark	㕗
barked	㕘
barking	㒑㑦
barkley	㒑ㄴ
barks	㕙
barley	㒑と
barn	㕠
barney	㒑べ
barney's	㒑㍃
barrel	〃㕡
barrels	〃㕢
barrette	㒉㕣
barrettes	㒉㕤
barron	ぶ゙
barroon	㒉㕥
barroons	㒉㕦
bars	㒒
bart	㕧
base	㕨
baseball	㕨㔧
baseballs	㕨㔨
based	㕩
basement	㕨㌒
bashful	㕰㒄
basic	㒗㍈
basically	㒗〄ㄴ
basics	㒗㕱
basil	〃㕲
basil's	㒗㕳
basis	㒗㑒
basket	㕴㕵
basket's	〃㕶
basketball	〃㕷㔧
basketballs	〃㕷㔨
basketful	〃㕷㒄
baskets	〃㕶
baster	㒗じ
basty	㒗㕸
bat	㕹
bath	㖀
bathie	〃㑙
bathing	㒗㖁
bathingsuit	㒗㖁㖂
bathingsuits	㒗㖁㖃
bathroom	〃㖄
bathrooms	〃㖅
baths	㖆
bathtime	㖀㍥
bathtub	㖀㖇
batman	㕹〲
bats	㖈
batter	〃㆒
batteries	〃ゆ㖉
battery	〃ゆぷ
battery's	〃㆒㖐
battle	〃㖑
batty	〃い
bay	㒗
be	㄀
beach	㖒
bead	㖓
beads	㖔
beady	㄀㄂
beak	㖕
bean	㖖
beanbag	㖖㔙
beanie	㄀べ
beans	㖗
beanstalk	㖖㖘
bear	㕔
bear's	㖙
bearbrown	㘀㘁
beard	㘂
bears	㘃
beast	㘄
beastly	㘅㘆
beat	㘇
beaten	㄀づ
beaters	㄀ぅ
beating	㄀ㅃ
beatrix	㄀㘈
beautician	ㄨ㆐ㆉ
beautiful	ㄨ㆐㒄
beautifully	ㄨ㆐㊙と
beauty	ㄨい
beavers	㄀㘉
bebe	㒗㒗
became	㒉㘐
because	㒉㘑
become	ㄇ㘒
becomes	ㄇ㘓
becoming	ㄇㅦ㘔
bed	㘕
bed's	㘖
beddybye	ぶ㄂㊁
bedroom	ぶ㘗
beds	㘖
bedspread	㘕㘘
bedtime	㘕㍥
bee	㄀
bee's	㒘
beef	㘙
been	㘠
beep	㘡
beeper	㄀㘢
beeps	㘣
beer	㘤
bees	㒘
beet	㘇
beetie	㄀い
beetle	㄀㖑
beetles	㄀㘥
beets	㘦
before	㒉㘧
beg	㘨
began	㒉㘩
beggar	ぶ㘰
begging	ぶ㘱
begin	㒉㘲
beginner	ㄇ〦㕁
beginning	㒉〦㒁
begins	㒉㘳
begun	㒉㘴
behaved	㒉㘵
behavior	ㄇ㘶㘷
behind	㒉㘸
being	㄀㍆
beings	㄀㘹
bella	ぶゃ
bella's	ぶ㙀
belch	㙁
belches	㙂㐇
belief	ㄇ㙃
beliefs	ㄇ㙄
believe	㒉㙅
believed	㒉㙆
believes	ㄇ㙇
bell	㙂
bellies	ぶ㐶
belligerent	㒉〠㙈㍴
bellowed	ぶ㙉
bells	㕐
belly	ぶと
bellybutton	ぶと㍠づ
belong	㒉㊗
belongs	㒉㙐
below	㒉〹
belt	㙑
belts	㙒
ben	㙓
ben's	㙔
bench	㙕
bend	㙖
bended	㙓㈂
bending	㙓ㅡ
beneath	㒉㙗
benjamin	㙓㙘㙙
benny	ぶべ
bent	㙠
berries	ぶ㖉
berry	ぶぷ
bert	㙡
bert's	㙢
bertha's	㕑㙣
beside	㒉㙤
besides	㒉㙥
best	㙦
bestest	ぶ㙧
bet	㌀
beth	㙨
better	ぶ㆒
betty	ぶい
between	㒉㙩
beverage	ぶ㌕㙰
beyond	㄀㙱
bib	㙲
bibbie	ㄇ㄀
bible	㊁ㄉ
bibs	㙳
bicycle	㊁〄㍁
bid	㙴
big	㙵
bigger	ㄇ㘰
biggest	ㄇ㑲
bike	㙶
bike's	㙷
bikes	㙷
bill	㙸
bills	㙹
billy	ㄇと
bin	㘠
bind	㚀
binder	㚁】
bing@o	㚂
bingo	㚂㉄
binkie	㚂㔐
binkies	㚂㚃
binoculars	㊁ㅳ㚄ぇ
binya	㘠㚅
bird	㚆
bird's	㚇
birdfeeder	㚆ら】
birdie	㕑㄂
birdie's	㕑㌲
birdies	㕑㌲
birds	㚇
birth	㚈
birthday	㚈〒
biscuit	ㄇ㕷
biscuits	ㄇ㕶
bit	㚉
bite	㚐
bites	㚑
biting	㊁ㅃ
bits	㚒
bitsy	㚉㄁
bitter	ㄇ㆒
bitty	ㄇい
black	㚓
blacks	㚔
blackberries	㚓ぶ㖉
blackberry	㚓ぶぷ
blackbird	㚓㚆
blackbirds	㚓㚇
blade	㚕
blades	㚖
blah	㚗
blame	㚘
blank	㚙
blanket	㜀㕵
blanketie	㜀㜁い
blankets	㜀㜂
blankie	㜀㔐
blankies	㜀㚃
blast	㜃
bleach	㜄
bleached	㜅
bleaching	㜆㜇
bleed	㜈
blend	㜉
blends	㜐
bless	㜑
blessed	㜒㜓
blessing	㜒㄰
blessings	㜒㜔
blew	㜕
blind	㜖
blinds	㜗
blink	㜘
blinking	㒔㑦
block	㜙
block's	㜠
blockbuster	㜙㍠じ
blocked	㜡
blockhead	㜙㉈
blockie	㚗㔐
blockies	㚗㚃
blocking	㚗㑦
blocks	㜠
blond	㜢
blonde	㜢
blood	㜣
bloom	㜤
blooming	㜕㘔
blossomed	㚗㜥
blouse	㜦
blow	㜧
blowing	㜧㍆
blows	㜨
blowup	㜧㜩
blue	㜕
blue's	㜰
blueberries	㜕ぶ㖉
blueberry	㜕ぶぷ
blush	㜱
blustery	㜲びぷ
bo	㜳
board	㜴
boarded	㜵㈂
boat	㜶
boats	㜷
bob	㜸
bobbing	こ㚂
bobbling	こ㒉㔰
bobby	こ㄀
bobo	㜳㜳
boboneen	㜳㜳㜹
boboni	㜳㜳べ
boboon	㜳㒙
boboonie	㜳ㄥべ
body	こ㄂
bog	㝀
bogus	㜳㑄
boil	㝁
boiled	㝂
boiling	㝃㔰
boing	㝄
bologna	㒉〹べ
bond	㝅
bone	㝆
boneen	㜳㜹
boneen's	㜳㝇
boneene	㜳㜹
boneeno	㜳べ㝈
bones	㝉
bong	㝐
bongo	㝐㉄
bongos	㝐㝑
bonk	㝒
bonked	㝓
bonkie	㝐㔐
bonking	㝐㑦
bonnet	こ㝔
bonny	こべ
bony	㜳べ
boo	ㄥ
boobie	ㄥ㄀
booboo	ㄥㄥ
boobooing@n	ㄥㄥ㍆
booboon	ㄥ㒙
booboon's	ㄥ㝕
booboonee	ㄥㄥべ
boobooneen	ㄥㄥ㜹
boobooneen's	ㄥㄥ㝇
boobooneeno	ㄥㄥべ㝈
booboonino	ㄥㄥべ㝈
booboos	ㄥ㝖
boobooshas	ㄥㄥ㊃
booger	㝗㘰
boogers	㝗㝘
boogie	㝗て
boogies	㝗㔠
boogyman	㝗て〲
book	㝙
bookbag	㝙㔙
bookcase	㝙㝠
bookie	㝗㔐
bookies	㝗㚃
books	㝡
boom	㝢
boom@o	㝢
boomdie	㝢㄂
boomerang	ㄥ〩㝣
booms	㝤
boomsie	㝢〥
booneenie	ㄥべべ
boonie	ㄥべ
boop	㝥
boops@o	㝦
boopsieboo	㝥㄁ㄥ
boosh	㝧
booshaboosh	ㄥ㈆㝧
boost	㝨
booster	㝩㆒
boot	㝰
bootiebooshas	ㄥいㄥ㊃
booties	ㄥ〕
boots	㝱
booty	ㄥい
bop	㝲
bop's	㝳
boppety	こ㝴い
bored	㜴
boring	㜳㉙
born	㝵
borrowed	こ㝶
borrowing	こ㝷㍆
bossing	ㄅ㄰
boston	ㄅ㝸
both	㝹
bother	こ㌇
bothered	こ㞀
bothering	こ㍉㉙
bothers	こ㞁
bottle	こ㖑
bottles	こ㘥
bottom	こ㕈
bottoms	こ㞂
bough	㞃
bought	㞄
bounce	㞅
bounced	㞆
bouncer	㞇㍐
bounces	㞇ㄩ
bouncie	㞈㄁
bouncing	㞇㄰
bouncy	㞇㄁
bounder	㞇】
bounds	㞉
bout	ㄒ
bow	㞃
bowed	㞐
bowel	㞑
bowels	㞒
bowing	㞃㍆
bowl	㞓
bowling	㜳㔰
bowls	㞔
bows	㞕
bowwow	㞃㞖
bowwow@o	㞃㞖
box	㞗
boxes	㒐ㄩ
boy	㝃
boy's	㞘
boys	㞘
boyser	㝃㞙
boyz	㞘
bra	㠀
bracelet	㠁㠂
bradley	㠃と
brady	㠄㄂
braid	㠅
braiding	㠄ㅡ
brailey	㠄と
brailey's	㠄㐶
brain	㠆
bran	㠇
branch	㠈
branches	㠇㐇
brand	ぉ
brandon	㠇㉒
brandnew	ぉ㑶
brass	㠉
brat	㠐
brave	㠑
bray	㠄
bread	㠒
break	㠓
breakable	㠄をㄉ
breakfast	㠔㠕
breaking	㠄㑦
breaks	㠖
breast	㠗
breath	㠘
breathe	㠙
breather	㠠㌇
breathing	㠠㖁
breeze	㠡
brenda	㠢㈑
brenda's	㠢㠣
brendan	㠢㉩
brent	㠤
brian	㠥ㅒ
bryan	㠦
brick	㠧
bricks	㠨
bridge	㠩
bridges	㠰㠱
briefcase	㠲㝠
bright	㠳
brighter	㠥㆒
brightness	㠳㉃
brigitte	㠰㠴
brigitte's	㠰㠵
brilliant	㠰㠶
bring	㠷
bringing	㠷㍆
brings	㠸
brisco	㠰㠹
brisco's	㠰㡀
bristle	㠰㡁
bristles	㠰㡂
britches	㠰㐇
brittany	㠰㆐べ
brittney	㡃べ
brittney's	㡃㍃
broad	㡄
broader	㡅】
broccoli	㠀をと
brocovich	㠀を㡆
broke	㡇
broken	㡈㈳
brokenhearted	㡈㈳㡉㡐
brook	㡑
brooklyn	㡒㡓
broom	㡔
brooms	㡕
broth	㡖
brother	㡗㌇
brothers	㡗㞁
brought	㡘
brown	㘁
brownies	㡙㍃
browns	㡠
brows	㡡
brr	㕑
bruce	㡢
bruce's	㡣ㄩ
bruise	㡤
bruised	㡥
brunch	㡦
brush	㡧
brusha	㡗㈆
brushed	㡨
brushes	㡗㐴
brushing	㡗ㅙ
bryson	㠥ㄖ
bub	㡩
bubbilicious	㍠ㄇ〠㡰
bubble	㍠ㄉ
bubbler	㍠㒉㡱
bubbles	㍠㡲
bubblicious	㍠㡳㡰
bubbly	㍠㜆
buck	㡴
buckaroo	㍠を㐠
bucket	㍠㕵
buckets	㍠㜂
buckle	㍠㍁
buckled	㍠㡵
buckles	㍠㍂
buckling	㍠㡶
bucks	㡷
bucky	㍠㔐
bud	㡸
buddies	㍠㌲
buddy	㍠㄂
buds	㡹
bug	㢀
bug's	㢁
bugged	㢂
buggie	㍠て
bugging	㍠㘱
bugs	㢁
buh	㍠
build	㢃
builded	㙸㢄
building	㙸ㅡ
buildings	㙸㢅
builds	㢆
built	㢇
bull	㢈
bullfrog	㢈㢉
bully	㝗と
bullying	㝗と㍆
bullys	㝗㐶
bum	㢐
bumblebee	㢐ㄉ㄀
bumblebees	㢐ㄉ㒘
bumbling	㢐㒔
bummed	㢑
bummer	㍠㢒
bummie	㍠ㄶ
bummie's	㍠㢓
bumming	㍠㘔
bump	㢔
bumped	㢕
bumper	㢐㘢
bumping	㢐㢖
bumpity	㢐㎀い
bumps	㢗
bumpy	㢐㍷
bums	㢘
bun	㢙
bunch	㤀
bundle	㢙㤁
bungalow	㤂㔵〹
bunnies	㍠㍃
bunnies's	㍠べ㎅
bunny	㍠べ
bunny's	㍠㍃
bunnyegg	㍠べ㤃
bunnyrabbit	㍠べ㤄㚉
bunnyrabbits	㍠べ㤄㚒
bunnys	㍠㍃
buns	㤅
bunting	㢙ㅃ
buried	ぶ㤆
burke	㤇
burn	㤈
burned	㤉
burning	㕑㒁
burnt	㤐
burp	㤑
burped	㤒
burper	㕑㘢
burpie	㕑㍷
burping	㕑㢖
burps	㤓
burrow	㕑㝷
burt	㙡
bury	ぶぷ
bus	㤔
buses	㍠ㄩ
bush	㤕
bushed	㤖
bushel	㝗㍘
bushes	㝗㐴
business	㤗㉃
businesses	㤗ど㉵
bust	㤘
busted	㍠㤙
buster	㤔㆒
busting	㍠㤠
busts	㤡
busy	ㄇ〥
but	㤢
but's	㤣
buts	㤣
butt	㤢
butter	㍠㆒
butterball	㍠㆒㔧
butterflies	㍠㆒㤤
butterfly	㍠㤥㊓
butternut	㍠㑥㤦
butternutie@n	㍠㆒〤い
button	㍠づ
buttoned	㍠㤧
buttonhole	㍠づ㤨
buttoning	㍠㆐㒁
buttons	㍠㤩
butts	㤣
buttsie	㤢㄁
buy	㊁
buying	㊁㍆
buys	㤰
buzz	㤱
buzzing	㍠㌓
by	㊁
bye	㊁
byebye	㊁㊁
byebyes	㊁㤰
c	㄁
c@l	㄁
cabbage	ㄱ㤲
cabinet	ㄱㄇ㝔
cabinets	ㄱㄇ㤳
cable	㤴ㄉ
caboose	を㝩
cactus	㤵㤶
cafeteria	ㄱ㤷㤸ぷ㄄
cage	㤹
cages	㤴㠱
cake	㔀
cake's	㔁
cakes	㔁
cakie	㤴㔐
caking@n	㤴㑦
calcium	㥀㥁
calculator	㥀㚄〰㆒
calendar	ㄱ㊈】
calf	㥂
california	ㄱゃ㥃㚅
call	㥄
called	㥅
calling	㥆㔰
calls	㥇
calm	㥈
calories	ㄱゃ㖉
calvary	㥀㌕ぷ
came	㘐
camel	ㄱ㌸
camels	ㄱ㌹
camelia	を㥉㚅
camelias	を㥉㥐
camelia's	を㥉㥐
camera	ㄱ〩㈙
cameras	ㄱ〩㥑
camp	㥒
campain	㥓㥔
campbell	㥓ㄉ
camped	㥕
camping	㥓㢖
camps	㥖
campus	㥓㥗
can	㥘
can't	㥙
cancel	㥘㡁
candidate	㥘ㅹㅔ
candies	㥘㌲
candle	㥘㤁
candles	㥘㥠
candy	㥘㄂
cane	㥡
cannot	ㄱ㥢
cans	㥣
cantaloupe	㥘ゆ㥤
canton	㥘づ
cap	㥥
capable	㤴㝴ㄉ
cape	㥦
capris	を㥧
captain	㥥㑱
car	㥨
car's	㥩
carbonation	㥨㒉㥰ㄑ
card	㥱
cardboard	㥱㜴
cardinal	㥨ㅹ㈇
cardinals	㥨ㅹ㥲
cards	㥳
care	㥴
careening	をぷ㒁
career	を㥵
careful	㥴㒄
carefully	㥴㊙と
cares	㥶
carl	㥷
carly	㥨と
carlos	㥨㥸
carmen	㥨〷
carol	ㄱ㕡
carpet	㥨㥹
carriage	ㄱ㙰
carrie	ㄱぷ
carried	ㄱ㤆
carries	㦀㖉
carrot	ㄱㆂ
carrots	ㄱ㦁
carry	ㄱぷ
carrying	ㄱぷ㍆
cars	㥩
carseat	㥨㦂
carson	㥨ㄖ
cart	㦃
carton	㥨づ
cartoon	㥨㦄
cartoons	㥨㦅
carts	㦆
case	㝠
