agey	e/Ji
aladin's	x/l@/dinz
alarm	x/larm
alcohol	@l/kx/hcl
alex	@/lIks
alex's	@/lek/sxz
alexandre	@/lek/s@n/dR
alexander	@/lIg/z@n/dR
alexander's	@/lIg/z@n/dRz
alfredo	@l/fre/do
algae	@l/Ji
ali	a/li
alibi	@/lx/bY
alice	@/lIs
alice's	@/li/sIz
alicia's	x/li/Sxz
alike	x/lYk
alive	x/lYv
all	cl
alan	@/lxn
allan	@/lxn
alldone	cl/d^n
allen	@/lIn
alligator	@/lI/ge/tR
alligator's	@/lI/ge/tRz
allison	@/lI/sxn
alison	@/lI/sxn
allison's	@/lI/sxnz
allow	x/lW
allowed	x/lWd
ally	@/lY
almond	@/mxnd
almost	cl/most
alone	x/lon
along	x/lcG
alot	x/lat
aloud	x/lWd
alpha	@l/fx
alphabet	@l/fx/bEt
alphabets	@l/fx/bEts
already	cl/rE/di
alright	cl/rYt
alrightie	cl/rY/ti
also	cl/so
alternative	cl/tR/nx/tIv
although	cl/Do
altogether	cl/tx/gE/DR
always	c/lwez
am	@m
amazed	x/mezd
amazement	x/mez/mInt
amazing	x/me/zIG
amazingly	x/me/zIG/li
ambitious	@m/bI/SIs
ambivalence	@m/bI/vx/lxns
amelia	x/mi/li/x
amen	e/mEn
america	x/mE/rI/kx
american	x/mE/rI/kxn
americans	x/mE/rI/kxnz
among	x/m^G
amount	x/mWnt
amused	x/myuzd
amusing	x/myu/zIG
amy	e/mi
amie	e/mi
amir	x/mir
an	@n
ancient	en/CInt
and	@nd
andrea's	@n/dri/^z
andrew	@n/dru
andrew's	@n/druz
andy	@n/di
andy's	@n/diz
angel	en/Jxl
angelica	@n/JE/lI/kx
angels	en/Jxlz
angle	@G/gxl
angry	@G/gri
anika	x/ni/kx
animal	@/nI/mxl
animals	@/nI/mxlz
animosity	@/nI/ma/sI/ti
ankle	@G/kxl
ankles	@G/kxlz
ann	@n
anna	@/nx
anne	@n
annette	@/nEt
annie	@/ni
annie's	@/niz
anniversary	@/nI/vR/sx/ri
annoying	x/nO/IG
anorexic	@/nx/rEk/sIk
another	x/n^/DR
anotherthe	x/n^/DR/Dx
answer	@n/sR
answered	@n/sRd
answering	@n/sx/rIG
answers	@n/sRz
ant	@nt
anteater	@n/ti/tR
antenna	@n/tE/nx
antennaes	@n/tE/nxz
antibiotic	@n/tI/bY/a/tIk
antibiotics	@n/tI/bY/a/tIks
antisocial	@n/ti/so/Sxl
ants	@nts
any	E/ni
anybody	E/ni/b^/di
anyhow	E/ni/hW
anymore	E/ni/mor
anyone	E/ni/w^n
anything	E/ni/TIG
anytime	E/ni/tYm
anyway	E/ni/we
anyways	E/ni/wez
anywhere	E/ni/wer
apart	x/part
apartment	x/par/tmInt
aplenty	x/plEn/ti
apology	x/pa/lx/Ji
apparent	x/pe/rInt
apparently	x/pe/rInt/li
appeal	x/pil
appeals	x/pilz
appearance	x/pi/rIns
appeared	x/pird
appetite	@/pI/tYt
appiesauce	@/pi/scs
apple	@/pxl
apples	@/pxlz
applesauce	@/pxl/scs
appleses	@/pxl/zxz
applied	x/plYd
applies	x/plYz
apply	x/plY
applying	x/plY/yIG
appointment	x/pOnt/mInt
appreciate	x/pri/Si/et
appreciates	x/pri/Si/ets
approached	x/proCt
appropriate	x/prop/ri/et
apricot	@/prI/kat
apricots	@/prI/kats
april	e/prxl
apron	e/prxn
apronstring	e/prxn/strIG
aquarium	x/kwE/ri/xm
arc	ark
arches	ar/CIz
are	ar
area	e/ri/x
areas	E/ri/xz
areil	E/re/xl
aren't	arnt
arfarf	ar/farf
argue	ar/gyu
arguing	arg/yu/IG
argument	ar/gyx/mInt
arise	x/rYz
ark	ark
arm	arm
armadillo	ar/mx/dI/lo
armhole	^m/h@Ul
arms	armz
army	ar/mi
aroonie	x/ru/ni
around	x/rWnd
arrange	x/renJ
arranged	x/renJd
arrangements	x/renJ/mxnts
arranging	x/ren/JIG
array	x/re
arrived	x/rYvd
arriving	x/rY/vIG
art	art
arthur	ar/TR
arthur's	ar/TRz
article	ar/tI/kxl
articles	ar/tI/kxlz
artillery	ar/tI/lx/ri
arts	arts
as	@z
ash	@S
ashamed	x/Semd
ashes	@/SIz
ashland	@S/l@nd
ashley	@S/li
ashley's	@S/liz
ashy	@/Si
ask	@sk
asked	@skt
asking	@/skIG
asks	@sks
asleep	x/slip
asparagus	xs/p@/rx/gxs
aspect	@/spEkt
aspirate	@/spx/ret
aspirated	@/spI/re/tId
aspirates	@/spx/rets
aspirating	@/spx/re/tIG
ass	@s
assemble	x/sEm/bxl
asserting	x/sR/tIG
assistance	x/sIs/tIns
associate	x/so/si/et
associated	x/so/si/e/tId
associates	x/so/si/ets
association	x/so/si/e/Sxn
assortment	x/scrt/mInt
assume	x/sum
assumed	x/sumd
at	@t
ate	et
athe	eD
athena	x/Ti/nx
attach	x/t@C
attached	x/t@Ct
attaches	@/tx/Sez
attack	x/t@k
attacked	x/t@kt
attacking	x/t@/kIG
attention	x/tEn/SIn
attic	@/tIk
attitude	@/tI/tud
attitude	@/tI/tud
attractive	x/tr@k/tIv
augmentin	cg/mEn/tIn
august	c/gxst
aunt	@nt
auntie	@n/ti
aunts	@nts
author	c/TR
autograph	c/tx/gr@f
automatic	c/tx/m@/tIk
automatically	c/tx/m@/tI/kli
automobile	c/tx/mx/bil
ava	e/vx
ava's	e/vxz
available	x/ve/lx/bxl
avenue	@/vx/nu
average	@/vrxJ
averaging	@v/rI/JIG
avocado	@/vx/ka/do
avocados	@/vx/ka/doz
aw	c
awake	x/wek
awakening	x/we/kx/nIG
aware	x/wEr
away	x/we
awesome	c/sxm
awful	c/fxl
awfully	c/fx/li
awfuls	c/fxlz
awkward	c/kwRd
ax	@ks
aye	Y
b	bi
b@l	bi
ba	ba
baa	ba
baa@o	ba
baba	ba/bx
babac	ba/bak
babaji	ba/ba/Ji
babar	ba/bar
babars	ba/barz
babas	ba/baz
babble	b@/bxl
babbling	b@/blIG
babe	beb
babes	bebz
babies	be/biz
baboo	bx/bu
baboon	b@/bun
baby	be/bi
baby's	be/biz
babycake	be/bi/kek
babycakes	be/bi/keks
babydoll	be/bi/dcl
babydolls	be/bi/dclz
babysat	be/bi/sIt
babysitter	be/bi/sI/tR
babysitters	be/bi/sI/tRz
back	b@k
backdoor	b@k/dcr
backed	b@kt
backflips	b@k/flIps
background	b@k/grWnd
backie	b@/ki
backing	b@/kIG
backordered	b@/kcr/dRd
backpack	b@k/p@k
backs	b@ks
backtwist	b@k/twIst
backward	b@/kwRd
backwards	b@/kwRdz
backwash	b@/kwaS
backyard	b@/kyard
bacon	be/kxn
bacteria	b@k/tI/ri/x
bad	b@d
badido	bx/di/do
badly	b@d/li
baebae	be/be
bag	b@g
baggie	b@/gi
baggies	b@/giz
baggy	b@/gi
bags	b@gz
bah	ba
bailey	be/li
bake	bek
baked	bekt
baker	be/kR
baker's	be/kRz
bakers	be/kRz
bakes	beks
baking	be/kIG
balance	b@/lxns
balcony	b@l/kx/ni
bald	bcld
ball	bcl
ball's	bclz
ballerina	b@/lx/ri/nx
ballerinas	b@/lx/ri/nxz
ballet	b@/le
ballgame	bcl/gem
ballie	bc/li
balling	bc/lIG
balloon	bx/lun
balloons	bx/lunz
balls	bclz
balmex	bcl/mEks
balogna	bx/lo/ni
baloney	bx/lo/ni
balooga	bx/lu/gx
baltimore	bcl/tI/mcr
bam	b@m
bambi	b@m/bi
bambi's	b@m/biz
bambis	b@m/biz
bamboo	b@m/bu
banana	bx/n@/nx
bananas	bx/n@/nxz
band	b@nd
bandana	d^//nR
bands	b@ndz
bang	b@G
banged	b@Gd
banging	b@G/IG
banillon	bx/nI/lxn
banjo	b@n/Jo
bank	b@Gk
banner	b@/nR
bantam	b@n/txm
baps	b@ps
bar	bar
barbecue	bar/bx/kyu
barbells	bar/bElz
barber	bar/bR
barbie	bar/bi
barbies	bar/biz
barbwire	barb/wYr
barefoot	ber/fUt
barefooted	ber/fU/tId
barely	ber/li
baring	be/rIG
bark	bark
barked	barkt
barking	bar/kIG
barkley	bar/kli
barks	barks
barley	bar/li
barn	barn
barney	bar/ni
barney's	bar/niz
barrel	b@/rxl
barrels	b@/rxlz
barrette	bx/rEt
barrettes	bx/rEts
barron	bE/rxn
barroon	bx/run
barroons	bx/runz
bars	barz
bart	bart
base	bes
baseball	bes/bcl
baseballs	bes/bclz
based	bezd
basement	bes/mInt
bashful	b@S/fxl
basic	be/sIk
basically	be/sI/kli
basics	be/sIks
basil	b@/zxl
basil's	be/zIlz
basis	be/sIs
basket	b@s/kIt
basket's	b@/skIts
basketball	b@/skIt/bcl
basketballs	b@/skIt/bclz
basketful	b@/skIt/fxl
baskets	b@/skIts
baster	be/stR
basty	be/sti
bat	b@t
bath	b@T
bathie	b@/Ti
bathing	be/DIG
bathingsuit	be/DIG/sut
bathingsuits	be/DIG/suts
bathroom	b@/Trum
bathrooms	b@/Trumz
baths	b@Ts
bathtime	b@T/tYm
bathtub	b@T/t^b
batman	b@t/m@n
bats	b@ts
batter	b@/tR
batteries	b@/tx/riz
battery	b@/tx/ri
battery's	b@/tR/iz
battle	b@/txl
batty	b@/ti
bay	be
be	bi
beach	biC
bead	bid
beads	bidz
beady	bi/di
beak	bik
bean	bin
beanbag	bin/b@g
beanie	bi/ni
beans	binz
beanstalk	bin/stak
bear	ber
bear's	bErz
bearbrown	bErr/brWn
beard	bird
bears	berz
beast	bist
beastly	bis/tli
beat	bit
beaten	bi/txn
beaters	bi/tRz
beating	bi/tIG
beatrix	bi/trIks
beautician	byu/tI/SIn
beautiful	byu/tI/fxl
beautifully	byu/tI/fx/li
beauty	byu/ti
beavers	bi/vRz
bebe	be/be
became	bx/kem
because	bx/kcz
become	bI/k^m
becomes	bI/k^mz
becoming	bI/k^/mIG
bed	bEd
bed's	bEdz
beddybye	bE/di/bY
bedroom	bE/drum
beds	bEdz
bedspread	bEd/sprEd
bedtime	bEd/tYm
bee	bi
bee's	biz
beef	bif
been	bIn
beep	bip
beeper	bi/pR
beeps	bips
beer	bir
bees	biz
beet	bit
beetie	bi/ti
beetle	bi/txl
beetles	bi/txlz
beets	bits
before	bx/for
beg	bEg
began	bx/g@n
beggar	bE/gR
begging	bE/gIG
begin	bx/gIn
beginner	bI/gI/nR
beginning	bx/gI/nIG
begins	bx/gInz
begun	bx/g^n
behaved	bx/hevd
behavior	bI/he/vyR
behind	bx/hYnd
being	bi/IG
beings	bi/IGz
bella	bE/lx
bella's	bE/lxz
belch	bElC
belches	bEl/CIz
belief	bI/lif
beliefs	bI/lifs
believe	bx/liv
believed	bx/livd
believes	bI/livz
bell	bEl
bellies	bE/liz
belligerent	bx/lI/JI/rInt
bellowed	bE/lod
bells	bElz
belly	bE/li
bellybutton	bE/li/b^/txn
belong	bx/lcG
belongs	bx/lcGz
below	bx/lo
belt	bElt
belts	bElts
ben	bEn
ben's	bEnz
bench	bEnC
bend	bEnd
bended	bEn/dId
bending	bEn/dIG
beneath	bx/niT
benjamin	bEn/Jx/mIn
benny	bE/ni
bent	bEnt
berries	bE/riz
berry	bE/ri
bert	bRt
bert's	bRts
bertha's	bR/Txz
beside	bx/sYd
besides	bx/sYdz
best	bEst
bestest	bE/stEst
bet	bEt
beth	bET
better	bE/tR
betty	bE/ti
between	bx/twin
beverage	bE/vx/rIJ
beyond	bi/and
bib	bIb
bibbie	bI/bi
bible	bY/bxl
bibs	bIbz
bicycle	bY/sI/kxl
bid	bId
big	bIg
bigger	bI/gR
biggest	bI/gxst
bike	bYk
bike's	bYks
bikes	bYks
bill	bIl
bills	bIlz
billy	bI/li
bin	bIn
bind	bYnd
binder	bYn/dR
bing@o	bIG
bingo	bIG/go
binkie	bIG/ki
binkies	bIG/kiz
binoculars	bY/na/kyx/lRz
binya	bIn/yx
bird	bRd
bird's	bRdz
birdfeeder	bRd/fi/dR
birdie	bR/di
birdie's	bR/diz
birdies	bR/diz
birds	bRdz
birth	bRT
birthday	bRT/de
biscuit	bI/skIt
biscuits	bI/skIts
bit	bIt
bite	bYt
bites	bYts
biting	bY/tIG
bits	bIts
bitsy	bIt/si
bitter	bI/tR
bitty	bI/ti
black	bl@k
blacks	bl@ks
blackberries	bl@k/bE/riz
blackberry	bl@k/bE/ri
blackbird	bl@k/bRd
blackbirds	bl@k/bRdz
blade	bled
blades	bledz
blah	bla
blame	blem
blank	bl@Gk
blanket	bl@G/kIt
blanketie	bl@G/kI/ti
blankets	bl@G/kIts
blankie	bl@G/ki
blankies	bl@G/kiz
blast	bl@st
bleach	bliC
bleached	bliCt
bleaching	bli/CIG
bleed	blid
blend	blEnd
blends	blEndz
bless	blEs
blessed	blE/sId
blessing	blE/sIG
blessings	blE/sIGz
blew	blu
blind	blYnd
blinds	blYndz
blink	blIGk
blinking	blIG/kIG
block	blak
block's	blaks
blockbuster	blak/b^/stR
blocked	blakt
blockhead	blak/hEd
blockie	bla/ki
blockies	bla/kiz
blocking	bla/kIG
blocks	blaks
blond	bland
blonde	bland
blood	bl^d
bloom	blum
blooming	blu/mIG
blossomed	bla/sxmd
blouse	blWs
blow	blo
blowing	blo/IG
blows	bloz
blowup	blo/^p
blue	blu
blue's	bluz
blueberries	blu/bE/riz
blueberry	blu/bE/ri
blush	bl^S
blustery	bl^/stx/ri
bo	bo
board	bord
boarded	bor/dId
boat	bot
boats	bots
bob	bab
bobbing	ba/bIG
bobbling	ba/bx/lIG
bobby	ba/bi
bobo	bo/bo
boboneen	bo/bo/nin
boboni	bo/bo/ni
boboon	bo/bun
boboonie	bo/bu/ni
body	ba/di
bog	bcg
bogus	bo/gxs
boil	bOl
boiled	bOld
boiling	bO/lIG
boing	bOG
bologna	bx/lo/ni
bond	band
bone	bon
boneen	bo/nin
boneen's	bo/ninz
boneene	bo/nin
boneeno	bo/ni/no
bones	bonz
bong	baG
bongo	baG/go
bongos	baG/goz
bonk	baGk
bonked	baGkt
bonkie	baG/ki
bonking	baG/kIG
bonnet	ba/nIt
bonny	ba/ni
bony	bo/ni
boo	bu
boobie	bu/bi
booboo	bu/bu
boobooing@n	bu/bu/IG
booboon	bu/bun
booboon's	bu/bunz
booboonee	bu/bu/ni
boobooneen	bu/bu/nin
boobooneen's	bu/bu/ninz
boobooneeno	bu/bu/ni/no
booboonino	bu/bu/ni/no
booboos	bu/buz
boobooshas	bu/bu/Sxz
booger	bU/gR
boogers	bU/gRz
boogie	bU/gi
boogies	bU/giz
boogyman	bU/gi/m@n
book	bUk
bookbag	bUk/b@g
bookcase	bUk/kes
bookie	bU/ki
bookies	bU/kiz
books	bUks
boom	bum
boom@o	bum
boomdie	bum/di
boomerang	bu/mx/r@G
booms	bumz
boomsie	bum/zi
booneenie	bu/ni/ni
boonie	bu/ni
boop	bup
boops@o	bups
boopsieboo	bup/si/bu
boosh	buS
booshaboosh	bu/Sx/buS
boost	bust
booster	bus/tR
boot	but
bootiebooshas	bu/ti/bu/Sxz
booties	bu/tiz
boots	buts
booty	bu/ti
bop	bap
bop's	baps
boppety	ba/px/ti
bored	bord
boring	bo/rIG
born	bcrn
borrowed	ba/rod
borrowing	ba/ro/IG
bossing	bc/sIG
boston	bc/stIn
both	boT
bother	ba/DR
bothered	ba/DRd
bothering	ba/Dx/rIG
bothers	ba/DRz
bottle	ba/txl
bottles	ba/txlz
bottom	ba/txm
bottoms	ba/txmz
bough	bW
bought	bct
bounce	bWns
bounced	bWnst
bouncer	bWn/sR
bounces	bWn/sIz
bouncie	bWnt/si
bouncing	bWn/sIG
bouncy	bWn/si
bounder	bWn/dR
bounds	bWndz
bout	bWt
bow	bW
bowed	bWd
bowel	bWl
bowels	bWlz
bowing	bW/IG
bowl	bol
bowling	bo/lIG
bowls	bolz
bows	boz
bowwow	bW/wW
bowwow@o	bW/wW
box	baks
boxes	bak/sIz
boy	bO
boy's	bOz
boys	bOz
boyser	bO/zR
boyz	bOz
bra	bra
bracelet	bres/lIt
bradley	br@d/li
brady	bre/di
braid	bred
braiding	bre/dIG
brailey	bre/li
brailey's	bre/liz
brain	bren
bran	br@n
branch	br@nC
branches	br@n/CIz
brand	br@nd
brandon	br@n/dxn
brandnew	br@nd/nu
brass	br@s
brat	br@t
brave	brev
bray	bre
bread	brEd
break	brek
breakable	bre/kx/bxl
breakfast	brEk/fxst
breaking	bre/kIG
breaks	breks
breast	brEst
breath	brET
breathe	briD
breather	bri/DR
breathing	bri/DIG
breeze	briz
brenda	brEn/dx
brenda's	brEn/dxz
brendan	brEn/dIn
brent	brEnt
brian	brY/In
bryan	brYG
brick	brIk
bricks	brIks
bridge	brIJ
bridges	brI/JIz
briefcase	brif/kes
bright	brYt
brighter	brY/tR
brightness	brYt/nIs
brigitte	brI/JIt
brigitte's	brI/Jits
brilliant	brI/lyInt
bring	brIG
bringing	brIG/IG
brings	brIGz
brisco	brI/sko
brisco's	brI/skoz
bristle	brI/sxl
bristles	brI/sxlz
britches	brI/CIz
brittany	brI/tI/ni
brittney	brIt/ni
brittney's	brIt/niz
broad	brcd
broader	brc/dR
broccoli	bra/kx/li
brocovich	bra/kx/vIC
broke	brok
broken	bro/kxn
brokenhearted	bro/kxn/har/txd
brook	brUk
brooklyn	brU/klIn
broom	brum
brooms	brumz
broth	brcT
brother	br^/DR
brothers	br^/DRz
brought	brct
brown	brWn
brownies	brW/niz
browns	brWnz
brows	brWz
brr	bR
bruce	brus
bruce's	bru/sIz
bruise	bruz
bruised	bruzd
brunch	br^nC
brush	br^S
brusha	br^/Sx
brushed	br^St
brushes	br^/SIz
brushing	br^/SIG
bryson	brY/sxn
bub	b^b
bubbilicious	b^/bI/lI/Sxs
bubble	b^/bxl
bubbler	b^/bx/lR
bubbles	b^/bxlz
bubblicious	b^/blI/Sxs
bubbly	b^/bli
buck	b^k
buckaroo	b^/kx/ru
bucket	b^/kIt
buckets	b^/kIts
buckle	b^/kxl
buckled	b^/kxld
buckles	b^/kxlz
buckling	b^/klIG
bucks	b^ks
bucky	b^/ki
bud	b^d
buddies	b^/diz
buddy	b^/di
buds	b^dz
bug	b^g
bug's	b^gz
bugged	b^gd
buggie	b^/gi
bugging	b^/gIG
bugs	b^gz
buh	b^
build	bIld
builded	bIl/dxd
building	bIl/dIG
buildings	bIl/dIGz
builds	bIldz
built	bIlt
bull	bUl
bullfrog	bUl/frag
bully	bU/li
bullying	bU/li/IG
bullys	bU/liz
bum	b^m
bumblebee	b^m/bxl/bi
bumblebees	b^m/bxl/biz
bumbling	b^m/blIG
bummed	b^md
bummer	b^/mR
bummie	b^/mi
bummie's	b^/miz
bumming	b^/mIG
bump	b^mp
bumped	b^mpt
bumper	b^m/pR
bumping	b^m/pIG
bumpity	b^m/pI/ti
bumps	b^mps
bumpy	b^m/pi
bums	b^mz
bun	b^n
bunch	b^nC
bundle	b^n/dxl
bungalow	b^G/gx/lo
bunnies	b^/niz
bunnies's	b^/ni/zxz
bunny	b^/ni
bunny's	b^/niz
bunnyegg	b^/ni/Eg
bunnyrabbit	b^/ni/r@/bIt
bunnyrabbits	b^/ni/r@/bIts
bunnys	b^/niz
buns	b^nz
bunting	b^n/tIG
buried	bE/rid
burke	bRk
burn	bRn
burned	bRnd
burning	bR/nIG
burnt	bRnt
burp	bRp
burped	bRpt
burper	bR/pR
burpie	bR/pi
burping	bR/pIG
burps	bRps
burrow	bR/ro
burt	bRt
bury	bE/ri
bus	b^s
buses	b^/sIz
bush	bUS
bushed	bUSt
bushel	bU/Sxl
bushes	bU/SIz
business	bIz/nIs
businesses	bIz/nx/sxz
bust	b^st
busted	b^/stId
buster	b^s/tR
busting	b^/stIG
busts	b^sts
busy	bI/zi
but	b^t
but's	b^ts
buts	b^ts
butt	b^t
butter	b^/tR
butterball	b^/tR/bcl
butterflies	b^/tR/flYz
butterfly	b^/tRf/lY
butternut	b^/t@/n^t
butternutie@n	b^/tR/n^/ti
button	b^/txn
buttoned	b^/txnd
buttonhole	b^/txn/hol
buttoning	b^/tI/nIG
buttons	b^/txnz
butts	b^ts
buttsie	b^t/si
buy	bY
buying	bY/IG
buys	bYz
buzz	b^z
buzzing	b^/zIG
by	bY
bye	bY
byebye	bY/bY
byebyes	bY/bYz
c	si
c@l	si
cabbage	k@/bIJ
cabinet	k@/bI/nIt
cabinets	k@/bI/nIts
cable	ke/bxl
caboose	kx/bus
cactus	k@k/tIs
cafeteria	k@/fI/tIr/ri/x
cage	keJ
cages	ke/JIz
cake	kek
cake's	keks
cakes	keks
cakie	ke/ki
caking@n	ke/kIG
calcium	k@l/sixm
calculator	k@l/kyx/le/tR
calendar	k@/lIn/dR
calf	k@f
california	k@/lx/fcrn/yx
call	kcl
called	kcld
calling	kc/lIG
calls	kclz
calm	kclm
calories	k@/lx/riz
calvary	k@l/vx/ri
came	kem
camel	k@/mxl
camels	k@/mxlz
camelia	kx/mil/yx
camelias	kx/mil/yxz
camelia's	kx/mil/yxz
camera	k@/mx/rx
cameras	k@/mx/rxz
camp	k@mp
campain	k@m/pen
campbell	k@m/bxl
camped	k@mpt
camping	k@m/pIG
camps	k@mps
campus	k@m/pxs
can	k@n
can't	k@nt
cancel	k@n/sxl
candidate	k@n/dI/det
candies	k@n/diz
candle	k@n/dxl
candles	k@n/dxlz
candy	k@n/di
cane	ken
cannot	k@/nat
cans	k@nz
cantaloupe	k@n/tx/lop
canton	k@n/txn
cap	k@p
capable	ke/px/bxl
cape	kep
capris	kx/priz
captain	k@p/tIn
car	kar
car's	karz
carbonation	kar/bx/ne/Sxn
card	kard
cardboard	kard/bord
cardinal	kar/dI/nxl
cardinals	kar/dI/nxlz
cards	kardz
care	ker
careening	kx/ri/nIG
career	kx/rR
careful	ker/fxl
carefully	ker/fx/li
cares	kerz
carl	karl
carly	kar/li
carlos	kar/los
carmen	kar/mxn
carol	k@/rxl
carpet	kar/pIt
carriage	k@/rIJ
carrie	k@/ri
carried	k@/rid
carries	kE/riz
carrot	k@/rIt
carrots	k@/rIts
carry	k@/ri
carrying	k@/ri/IG
cars	karz
carseat	kar/sit
carson	kar/sxn
cart	kart
carton	kar/txn
cartoon	kar/tun
cartoons	kar/tunz
carts	karts
case	kes
cases	ke/sIz
cassy	k@/si
castle	k@/sxl
castles	k@/sxlz
casts	k@sts
cat	k@t
cat's	k@ts
catalogs	k@/tx/lcgz
catalogue	k@/tx/lcg
catastrophe	kx/t@s/trx/fi
catch	k@C
catcher	k@/CR
catches	k@/CIz
catching	k@/CIG
catdoor	k@t/dcr
categorical	k@/tI/gc/rI/kxl
categories	k@/tI/gc/riz
caterpillar	k@/tR/pI/lR
caterpillars	k@/tR/pI/lRz
catholic	k@/Tx/lIk
catnaping	k@t/n@/pIG
cats	k@ts
caught	kct
cauliflower	kc/lI/flW/R
'cause	kcz
cause	kcz
causing	kc/zIG
cavalry	k@/vx/lri
cave	kev
caves	kevz
caw	kc
cdefg@k	si/di/i/Ef/Ji
cecilia	sI/sil/yx
ceiling	si/lIG
ceilings	si/lIGz
celebrate	sE/lx/bret
celebrated	sE/lx/bre/txd
celebrates	sE/lx/brets
celebrating	sE/lx/bre/tIG
