aad ஹ
tax ഭ
taxl മ
taxng യ
taxnz ര
tay റ
taym ല
teh ള
tehl ഴ
ter വ
tern ശ
tey ഷ
teyk സ
thaengk ഹ
thaxng ഺ
thihngk ഻
thihngz ഼
thriy ഽ
throwt ാ
thruw ി
tihk ീ
tiy ു
tiyz ൂ
toy ൃ
toyz ൄ
trahk ൅
trahks െ
tray േ
tuw ൈ
uw ൉
uwps ൊ
veh ോ
ver ൌ
waa ്
waan ൎ
waant ൏
waants ൐
waaz ൑
wahn ൒
waht ൓
wahts ൔ
waok ൕ
way ൖ
wayl ൗ
wehn ൘
wehr ൙
wehrz ൚
wey ൛
weyk ൜
weyks ൝
weyt ൞
wih ൟ
wihdh ൠ
wihl ൡ
wiy ൢ
wiyl ൣ
wiylz ൤
wuhd ൥
wuhdnt ൦
wuwps ൧
yaa ൨
yae ൩
yaor ൪
yeh ൫
yehs ൬
yeht ൭
yuw ൮
yuwd ൯
yuwl ൰
yuwv ൱
zax ൲
zaxnz ൳
zaxp ൴
zih ൵
zihp ൶
