	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'dh',)	0	0.0195625	0	0.0626	0	0.00863448275862	0	0	0	0	0.0894285714286	0.0	0.0	0.0	0	0	0.104333333333	0.5634	0.0626	0	0.313	0	0	0	0	0.01878	0	0	0	0.6886	0	0	0	0	0	0	0.8764	1	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0	0	0	0	0.0	0.178857142857	0	0.3756	0	0.313	0.39125	0	0	0	0	0.1565	0.39125	1	0.313	0	0.1565	0.07825	0.0521666666667	0.939	0	0.4695	0	0.208666666667	0.0	0.286916666667	1	0.0223571428571	0	0	0	0	0.730333333333	0	0.0	0
(u'ey',)	0.0521666666667	0	0	0	0	0	0	0.4695	0	1	0.7825	0.0	0	0	0.1565	0.1565	0	1	0	0.208666666667	0.195625	0	0.07825	1	0	0	0	0.626	0	1	1	0.0260833333333	0	0	0	0.0	1	0	0.0	0
(u'f',)	0	0.4695	0.0	0.00208666666667	0	0.0626	0.1878	0.3756	0	0	0	0.0	0.0	0	0	0	0	0.0939	0.0626	0	0	0.01565	0	0	0	0.023475	0	0	0.0	0	1	0	0	0	0.0	0	0.2191	0.313	0	0
(u'g',)	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'iy',)	0.23475	1	0.0	0.23475	0	0.4695	1	1	0	0.3756	1	0.0	0	0.0	0.07825	0.117375	0.1565	1	0.4695	1	0.123552631579	0.0722307692308	0.07825	0.268285714286	0	0	0	0.4695	0.0	0.51645	1	0.02934375	0.1565	0	0	0.0	0.313	1	0.0	0
(u'jh',)	0	0	0.0	0	0	0.1252	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0208666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0223571428571	0.2934375	0.0	0.0111785714286	0	0.0736470588235	0.4695	0	0.0	0	0.195625	0.0	0.0	0.0	0	0	0.39125	0.128045454545	0.07825	0	0	0.07825	0	0	0	0.23475	0	0	0.0	0.0956388888889	0.6455625	0.0130416666667	0	0.0	0	0	0.730333333333	0.626	0	0
(u'l',)	0.0260833333333	0.39125	0	0.0313	0.0	0.2504	0.0988421052632	0	0.0	0.313	0.260833333333	0.0	0.0	0.0	0.07825	0	0.7825	0.4695	0.0130416666667	0.626	0.39125	0.313	0.1565	0	0	0.117375	0	0	0	0.86075	1	0.1565	0	0.0	0	0.0	0.730333333333	0	0.0	0
(u'm',)	0.313	1	0.0	0.0347777777778	0.0	0.417333333333	1	1	0	1	1	0.0	0	0.0	0	0.1565	0	0.70425	0.1252	0	0.7825	0	0.104333333333	0	0	0.939	0	0.417333333333	0	1	1	0.07825	0.0626	0	0	0	0.626	0	0.0	0
(u'n',)	0.0227636363636	0.939	0.0	0.1252	0.0	0.182109090909	0.5008	1	0.0	0.0527157894737	0.147294117647	0.0	0.0	0.0	0.0834666666667	0	0.417333333333	1	0.0357714285714	1	0.2504	0.5008	0.2504	0	0	0.0278222222222	0	0.333866666667	0.0	0.2504	0.82632	0.00582325581395	0	0	0.0	0.0	0.5008	1	0.0	0
(u'ng',)	0.3443	1	0	0.3443	0.0	0.3443	1	0	0	1	0.430375	0	0	0	0.0573833333333	0.114766666667	0.573833333333	1	0	0	0.132423076923	0.6886	0	1	0	0	0	0	0.0	1	0	0.06886	0.3443	0	0	0.0	1	0	0.0	0
(u'ow',)	0	1	0	0	0.0	1	0.429257142857	1	0	0	0.5008	0.0	0	0	0	0	0	0.45072	0	0	0.417333333333	0.1252	0.0278222222222	0.214628571429	0	0	0	0.5008	0.0	0.6886	1	0.1252	0	0	0	0	0	1	0.0	0
(u'oy',)	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'p',)	0.0939	0.117375	0.0	0.0313	0	0.107314285714	0	0	0	0	0	0.0	0.0	0	0	0	0.4695	0.16902	0	0	0.4695	0.04695	0	0	0	0.2817	0.0	0	0.0	1	0	0.0939	0	0.0	0	0	0	0	0	0
(u'r',)	0.114766666667	1	0.0	0	0	0.3443	0.459066666667	0	0	0.6886	0.430375	0.0	0	0.0	0	0.3443	0.430375	0.258225	0.0983714285714	0	1	0	0.114766666667	1	0	0	0	0	0.0	1	1	0.0382555555556	0	0	0.0	0	1	0	0.0	0
(u's',)	0.313	1	0.0	0.104333333333	0	0.108869565217	0.7512	0.939	0	0	0.521666666667	0.0	0	0.0	0.104333333333	0	1	0.256090909091	0.07825	0.626	0.39125	0.208666666667	0.1565	0.7512	0	0.07825	0	1	0.0	1	1	0.00680434782609	0	0	0.0	0	1	1	0	0
(u'sh',)	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0
(u't',)	0.45385	1	0.0	0.0648357142857	0.0	0.0994739726027	0.605133333333	1	0	1	0.5673125	0.0	0.0	0.0	0.302566666667	0.45385	0.324178571429	0.45385	0.36308	0	1	0.259342857143	0.226925	1	0	1	0.0	0.72616	0.0	0.237730952381	1	0.0504277777778	0.45385	0	0.0	0	0.668831578947	1	0	0
(u'th',)	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0	1	0.0	0	0	1	1	0	0	0.7512	0.208666666667	0	0	0	0	0.1252	0.208666666667	1	0	0.5008	0	0.2504	0.0313	0	0	0	0	0.2504	0	0.3443	0	0.0178857142857	0.1252	0	0	0	0.4382	1	0.0	0.0
(u'v',)	0.0626	0.939	0.0	0	0	0.0834666666667	0	0.2504	0	0.7512	0.1252	0.0	0.0	0	0.0313	0.0626	0.1565	0	0.0626	0	0.1565	0	0	0	0	0.1878	0	0	0.0	0.3443	0	0.0626	0.0313	0	0	0	0.4382	1	0.0	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'z',)	1	1	0.0	0.333866666667	0	0.572342857143	1	1	0	1	1	0.0	0	0	0.2504	0.5008	1	0.819490909091	0.667733333333	1	0.715428571429	0.667733333333	0.20032	1	0	0	0	1	0.0	1	1	0.166933333333	0	0	0.0	0.0	1	1	0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
