	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'dh',)	0	0.02518125	0	0	0	0.00347327586207	0	0.1343	0	0	0.1175125	0.0	0.0	0.0	0	0	0.0239821428571	0	0.0	0	0	0	0	0	0	0.235025	0	0	0	0	0	0	0	0	0	0	0.60435	0.772225	0.0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0	1	0	0	0.0	0.164822727273	0	1	0	0.31995	1	0.0	0	0	0.0	0	0.37771875	1	0.0	0	0	0.0863357142857	0	0.98206875	0	0.705075	0	0.302175	0.100725	0.20145	1	0.0	0.100725	0	0	0	1	1	0.0	0
(u'ey',)	0.033575	0	0	0	0	0.100725	0	0.153485714286	0	0	0.9401	0	0	0	0	0.0447666666667	0	0.167875	0	0	0.0	0	0.0	0.87295	0	0	0	0	0	0.179066666667	0.9401	0.0	0	0	0	0	0.8058	1	0.0	0.0
(u'f',)	0.033575	0.8058	0.033575	0.00959285714286	0	0.06715	0.2853875	0	0	0	0	0	0.0	0.0	0	0	0	0.0559583333333	0	0	0	0.0223833333333	0	0	0	0.1175125	0	0	0.006715	0	0.5875625	0	0	0	0.0	0	0.60435	0	0	0
(u'g',)	0.00279791666667	0.4029	0	0.033575	0	0	0	0.2686	0	0	0	0.0	0.0	0.0	0	0	0	0.167875	0	0	0	0	0	0.2182375	0	0.05875625	0	0	0.0167875	0	0	0	0	0.0	0	0	0.20145	0.772225	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'iy',)	0	1	0	0.4029	0	1	1	0.358133333333	0.0	0.302175	0.56406	0.0	0	0	0.0	0.06715	0.167875	0.4029	0.0	0	0.0	0.06715	0.0	0.145491666667	0	0	0	0.0503625	0.0503625	0.0948	1	0.0	0.0575571428571	0	0	0.0	0.518014285714	1	0.0	0
(u'jh',)	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'k',)	0.033575	0.10744	0.00959285714286	0.00895333333333	0.0	0.06715	1	0	0.0	0.60435	0.0427318181818	0.0	0.0	0.0	0	0	0.167875	0.033575	0.0	0	0.0	0.033575	0	0	0	0.1175125	0	0.06715	0	0.00994814814815	0.29378125	0.0	0	0.0	0	0	1	1	0	0
(u'l',)	0.013825	1	0	0.0783416666667	0	0.141015	0.166476041667	0.47005	0.0	1	0.329035	0.0	0.0	0.0	0.0	0.1175125	0.235025	0.195854166667	0.0	0	0.0	0	0.0	0	0	0.8225875	0	0	0.0783416666667	0.235025	1	0	0.235025	0.0	0.0	0	1	1	0.0	0
(u'm',)	0.167875	1	0.111916666667	0.33575	0.0	0.4029	1	0.6715	0	1	1	0.0	0	0.0	0.0	0	0	1	0.0	0	0.0	0.6715	0	0	0	0.5875625	0	0.167875	0	1	1	0.0	0.33575	0	0	0	1	1	0.0	0
(u'n',)	0.0503625	1	0	0.60435	0.0	0.36261	1	0.60435	0.0	0.0788282608696	0.264403125	0.0	0	0.0	0.0	0	0.2518125	0.2518125	0.0	0.0	0.0	0.302175	0	0	0	0.0556638157895	0	0.1510875	0.1510875	0.1343	1	0.0	0.302175	0	0.0	0	1	1	0.0	0
(u'ng',)	0	1	0	0	0.0	0	0	0.5372	0.0	1	0.626733333333	0.0	0	0	0	0.2686	0	1	0	0	0.0	0.5372	0	0	0	0	0	0	0.2686	0.5372	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ow',)	0	1	0	0	0	1	0.99885625	1	0	0	0.205646875	0	0	0	0.0	0.235025	1	1	0	0	0	0.47005	0.0	0.2182375	0	0	0	0.1175125	0	0.235025	1	0.0	0.235025	0	0	0.0	1	1	0.0	0
(u'oy',)	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0
(u'p',)	0.02518125	0.8058	0.033575	0	0	0.07554375	0	0	0	0	0	0	0.0	0	0	0	0	0.167875	0.0	0	0	0.02518125	0	0	0	0	0.0	0	0.0143892857143	0.20145	1	0.0	0	0.0	0.0	0	1	1	0	0
(u'r',)	0.0783416666667	1	0.029378125	0.156683333333	0	0.20145	0.443936111111	1	0	1	0.8225875	0.0	0	0.0	0.0	0	0	0.0618486842105	0.0	0.0	0.0	0.47005	0.0	1	0	0.8225875	0	0.235025	0	0.47005	1	0.0	0	0	0.0	0	1	1	0.0	0
(u's',)	0.33575	1	0.167875	0.223833333333	0.0	0.212052631579	1	1	0	1	0.6715	0.0	0.0	0.0	0.0	0.33575	1	0.373055555556	0.0	0	0.0	0.33575	0.0	1	0	0.5875625	0	0.1343	0.223833333333	1	1	0.0	0	0	0.0	0	1	1	0.0	0
(u'sh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.33575	1	0.103307692308	1	0.0	0.146509090909	1	1	0	1	0.47005	0.0	0.0	0.0	0.0	1	0.839375	0.395	0.0	0	0.0	0.33575	0.0	1	0	0	0	0.447666666667	0.1343	0.223833333333	1	0.0	0.2686	0.0	0.0	0.0	1	1	0	0
(u'th',)	0	0.4029	0	0.01343	0	0.20145	0	0	0	0	0	0	0	0	0	0	0	0.00729891304348	0	0	0.0	0	0	0	0	0	0	0	0.033575	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.033575	0	0	0	0	0.20145	1	0.179066666667	0.0	0.24174	0.235025	0.0	0	0.0	0	0.06715	0.111916666667	0.167875	0	0	0.0	0	0.0	0.290983333333	0	0	0	0.00959285714286	0	0.033575	0	0.0	0.033575	0	0	0	0.20145	0.171605555556	0.0	0.0
(u'v',)	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0
(u'w',)	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'z',)	0.15948125	1	0.3189625	0.637925	0.0	0.20145	1	0.567044444444	0	1	0.372122916667	0	0	0	0.0	0.212641666667	0.637925	0.398703125	0.0	0.0	0	0.15948125	0.0	0.592358928571	0	0	0	0.637925	0.3189625	0.212641666667	1	0.0	0	0	0	0	1	1	0.0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
