D^blaks : D^blaks ;aword 
lUk@tD^bOlUk@tD^gRl : lUk@tD^bOlUk@tD^gRl ;aword 
duyuTIGkSinozD^dIfrInswEnyusewRdzlYkD@t : duyuTIGkSinozD^dIfrInswEnyusewRdzlYkD@t ;aword 
noD@tpIkCRnonoSimYtrIletbEtRtubebi : noD@tpIkCRnonoSimYtrIletbEtRtubebi ;aword 
elat^vtYmzYkclTIGzbebicrwih@ve : elat^vtYmzYkclTIGzbebicrwih@ve ;aword 
wikclhImbebib^nimamib^nis^mtYmztub^tY : wikclhImbebib^nimamib^nis^mtYmztub^tY ;aword 
no@ndYdunatTIGkDizwUdprabxblibi : no@ndYdunatTIGkDizwUdprabxblibi ;aword 
b^tsInsDizwRsYdbYsYddIdnathRttu : b^tsInsDizwRsYdbYsYddIdnathRttu ;aword 
w^taryuduIG : w^taryuduIG ;aword 
SilYkstupUtTIGzD^p^tIGIn@ndtekIGWtwi : SilYkstupUtTIGzD^p^tIGIn@ndtekIGWtwi ;aword 
SilYkstupUtDEmxwe : SilYkstupUtDEmxwe ;aword 
hRbUksrYtnW : hRbUksrYtnW ;aword 
YdunatnowYSidIdnatrixlirIspandtu : YdunatnowYSidIdnatrixlirIspandtu ;aword 
crJ^stD^plenblakslYkD@tb^tItsk@rxktRzduIG : crJ^stD^plenblakslYkD@tb^tItsk@rxktRzduIG ;aword 
SiIzrixliIntubUks : SiIzrixliIntubUks ;aword 
SiwIlbrIGbUkswerEvRyuarInD^hWz : SiwIlbrIGbUkswerEvRyuarInD^hWz ;aword 
SiwIlgoIntuhRrum@ndbrIGbUksWt@ndSib@ks^ptu : SiwIlgoIntuhRrum@ndbrIGbUksWt@ndSib@ks^ptu ;aword 
YrixlYzD@tD^holfRsth@fYw^zrixlidIrEktIG : YrixlYzD@tD^holfRsth@fYw^zrixlidIrEktIG ;aword 
YTIGkD@tIzD@th@pxnzelat@thomtu : YTIGkD@tIzD@th@pxnzelat@thomtu ;aword 
YdIdnatTIGkSiw^zseIGvErim^Cb^t : YdIdnatTIGkSiw^zseIGvErim^Cb^t ;aword 
bxforwEnyuh@dYTIGkItw^zb^tRflYD^nEkst : bxforwEnyuh@dYTIGkItw^zb^tRflYD^nEkst ;aword 
IzD@tD^weSiD^weSih@ndxlzIt : IzD@tD^weSiD^weSih@ndxlzIt ;aword 
sofaryR : sofaryR ;aword 
yRItw^z@ntsYTIGkD^sEkxndtYm : yRItw^z@ntsYTIGkD^sEkxndtYm ;aword 
d^zSinoD@tDear : d^zSinoD@tDear ;aword 
h@zSiEvRsin : h@zSiEvRsin ;aword 
@n@nt : @n@nt ;aword 
eb^gw^tEvR : eb^gw^tEvR ;aword 
yRyRwih@vInD^yardwipOnt@tDEm@ndstamp : yR ;aword yR ;aword wih@vInD^yardwipOnt@tDEm@ndstamp ;aword 
Dear@nts : Dear@nts ;aword 
bIg@nts : bIg@nts ;aword 
nWk@nSinemDEmk@nSiseb^g : nWk@nSinemDEmk@nSiseb^g ;aword 
oyR : oyR ;aword 
@ndd^zSiduIt : @ndd^zSiduIt ;aword 
yR : yR ;aword 
yR : yR ;aword 
bxkczwivsinb^tRflYzWtInD^yardwikclD@t : bxkczwivsinb^tRflYzWtInD^yardwikclD@t ;aword 
DIstYmSinemdd^kxgEn : DIstYmSinemdd^kxgEn ;aword 
wElSiw^zseIGd^k@ndDEnSistartIdkxnsIstxntli : wElSiw^zseIGd^k@ndDEnSistartIdkxnsIstxntli ;aword 
YdIdxntker : YdIdxntker ;aword 
rYt : rYt ;aword 
@ndyuarnatg^nxovRTIGzlYkD@t : @ndyuarnatg^nxovRTIGzlYkD@t ;aword 
nobxkcznatnWnat@tDIspOnt : nobxkcznatnWnat@tDIspOnt ;aword 
YTIGkelItxlbItletRanYminIfIfIth@d : YTIGkelItxlbItletRanYminIfIfIth@d ;aword 
nWyudIdDIstYmkclxtEnSIntubOz@ndgRlz : nWyudIdDIstYmkclxtEnSIntubOz@ndgRlz ;aword 
duyuduD@twIDhRnWInD^rilwRld : duyuduD@twIDhRnWInD^rilwRld ;aword 
d^zSinoD^dIfrIns : d^zSinoD^dIfrIns ;aword 
YdontTIGkSinozD^dIfrIns : YdontTIGkSinozD^dIfrIns ;aword 
Sid^zxnttusebO@ndgRl : Sid^zxnttusebO@ndgRl ;aword 
wElSiw^zseIGbOSisEdbO@tw^npOntInDIs : wElSiw^zseIGbOSisEdbO@tw^npOntInDIs ;aword 
Sid^zxntsegRl : Sid^zxntsegRl ;aword 
yusegUdgRlb^tSid^zxnt : yusegUdgRlb^tSid^zxnt ;aword 
Sid^zxntrIspand : Sid^zxntrIspand ;aword 
nWDIstYmyuyuzdeb^nC^vparts^vD^badiwIDhR : nWDIstYmyuyuzdeb^nC^vparts^vD^badiwIDhR ;aword 
YTctItw^zIntxrEstIG : YTctItw^zIntxrEstIG ;aword 
SizdEfInItligatyuyuzdD^wRdh@ndwIDhRelat : SizdEfInItligatyuyuzdD^wRdh@ndwIDhRelat ;aword 
owElYnEvRivxnTct^vnemIGD@t : owElYnEvRivxnTct^vnemIGD@t ;aword 
SinozD@tsowElb^twistartIdwIDwElD^fes : SinozD@tsowElb^twistartIdwIDwElD^fes ;aword 
@ndSinoz : @ndSinoz ;aword 
oD^t^G@ndD^tiT@ndD^mWT@ndD^noz@nd : oD^t^G@ndD^tiT@ndD^mWT@ndD^noz@nd ;aword 
duyupleEnigemzwIDhRlYkstIkWtyUrt^G : duyupleEnigemzwIDhRlYkstIkWtyUrt^G ;aword 
@lIswerzyUrt^G : @lIswerzyUrt^G ;aword 
werzstIkItWt : werzstIkItWt ;aword 
stIkItrYtWt : stIkItrYtWt ;aword 
go : go ;aword 
nWSinozhWtuseSuz : nWSinozhWtuseSuz ;aword 
@ndsaks : @ndsaks ;aword 
d^zSinoSuzfr^m^DRTIGzlYksnikRz@nds@ndxlz : d^zSinoSuzfr^m^DRTIGzlYksnikRz@nds@ndxlz ;aword 
DearclSuz : DearclSuz ;aword 
DearclSuztuhR : DearclSuztuhR ;aword 
Sinozsaks : Sinozsaks ;aword 
InD^fudbUkSipOntIdtuSisEzJus : InD^fudbUkSipOntIdtuSisEzJus ;aword 
@ndDEnyuscrt^vpOntIdWtD^^DRTIGzD@twEntwID : @ndDEnyuscrt^vpOntIdWtD^^DRTIGzD@twEntwID ;aword 
TIGzlYkdrIGkIGWt^vD^k^p : TIGzlYkdrIGkIGWt^vD^k^p ;aword 
d^zSinoDozwRdzbxkczyunemdDEm@ndSidIdxnt : d^zSinoDozwRdzbxkczyunemdDEm@ndSidIdxnt ;aword 
Sid^zxntyusebIbsoSid^zxntnoD@twRd@tcl : Sid^zxntyusebIbsoSid^zxntnoD@twRd@tcl ;aword 
@ndwidontsek^pSid^zxntyusek^pSiyusIziDRe : @ndwidontsek^pSid^zxntyusek^pSiyusIziDRe ;aword 
@ndsup : @ndsup ;aword 
d^zSiitsupwIDespun : d^zSiitsupwIDespun ;aword 
sIrixl@ndsupyR : sIrixl@ndsup ;aword yR ;aword 
duyuplekIsIGgemzwIDhR : duyuplekIsIGgemzwIDhR ;aword 
wikIselat : wikIselat ;aword 
@ndwi@skhRfcrkIsIzelat@ndSikIsIzhRsIstRe : @ndwi@skhRfcrkIsIzelat@ndSikIsIzhRsIstRe ;aword 
@tw^npOnt : @tw^npOnt ;aword 
b^tsoD^smElIGD^bUklEtssiwih@dek^pxle : b^tsoD^smElIGD^bUklEtssiwih@dek^pxle ;aword 
nWbxkcz^vD^p^piSizIntubYtIGsoSizlRnde : nWbxkcz^vD^p^piSizIntubYtIGsoSizlRnde ;aword 
wElD^p^pibYtshR : wElD^p^pibYtshR ;aword 
YtElhRtutElmiwEnEvRD^p^pibYts@ndDEnwiw@k : YtElhRtutElmiwEnEvRD^p^pibYts@ndDEnwiw@k ;aword 
d^zSiplewIDD^blaksnW : d^zSiplewIDD^blaksnW ;aword 
oyRwigats^mklcTk^vRdblakslYkDIsD@twi : oyR ;aword wigats^mklcTk^vRdblakslYkDIsD@twi ;aword 
bIgnuwRdIz@pxlrYt : bIgnuwRdIz@pxlrYt ;aword 
yEsyR : yEsyR ;aword 
SiclwezrEkxgnYzIz@n@pxl : SiclwezrEkxgnYzIz@n@pxl ;aword 
@ndSilRndtuseD^wRdCeryuwRD@t : @ndSilRndtuseD^wRdCeryuwRD@t ;aword 
d^zSih@vhRonlItxlCer : d^zSih@vhRonlItxlCer ;aword 
wElSiklYmzanEvribadiElsIz : wElSiklYmzanEvribadiElsIz ;aword 
noSid^zxnt : noSid^zxnt ;aword 
wElyRSih@zs^m : wElyRSih@zs^m ;aword 
Sih@zesEt^vCerzb^tItsrixlilcrxnlcrxnzsEt : Sih@zesEt^vCerzb^tItsrixlilcrxnlcrxnzsEt ;aword 
IzD@tewRd : IzD@tewRd ;aword 
yRYw^zsRprYzd : yRYw^zsRprYzd ;aword 
xbWtewik@ndeh@fxgoSistartIdseIGCer@ndY : xbWtewik@ndeh@fxgoSistartIdseIGCer@ndY ;aword 
@ndSinozD^wRdfcrki : @ndSinoz ;aword D^wRdfcrki ;aword 
yR : yR ;aword 
@ndYdontnowerD@tkemfr^m : @ndYdontnowerD@tkemfr^m ;aword 
d^zSiplewIDyUrz : d^zSiplewIDyUrz ;aword 
wElxkeZxnxl : wElxkeZxnxl ;aword 
xbWtek^pxl^vwiksxgoSih@dmYkizwerzgrWCo : xbWtek^pxl^vwiksxgoSih@dmYkizwerzgrWCo ;aword 
Sik@nsegrWCo@ndCiko : Sik@nsegrWCo@ndCiko ;aword 
wivgatDiztuk@tsD@tlIvInWRhWz@ndSisEz : wivgatDiztuk@tsD@tlIvInWRhWz@ndSisEz ;aword 
wElelItxkeZxnxlSid^zSilriCfcr : wElelItxkeZxnxlSid^zSilriCfcr ;aword 
D@tswEnYnotIstD@tSikUdseIt : D@tswEnYnotIstD@tSikUdseIt ;aword 
@ndsoYgIvDEmtuhRIfSik@nseIt : @ndsoYgIvDEmtuhRIfSik@nseIt ;aword 
Sik@nh@vIt : Sik@nh@vIt ;aword 
Sih@dtr^bxlwIDD^wRdbcl : Sih@dtr^bxlwIDD^wRdbcl ;aword 
wElSiSisEzD@telat : wElSiSisEzD@telat ;aword 
IzItpRh@psbxkcz^DRwRdzarnWsWndIGlYkD@t : IzItpRh@psbxkcz^DRwRdzarnWsWndIGlYkD@t ;aword 
@ndyuk@ntfIgyRWtw^twRdSiminz : @ndyuk@ntfIgyRWtw^twRdSiminz ;aword 
yR : yR ;aword 
Siyuzdtusebcl : Siyuzdtusebcl ;aword 
wElSikclzbxlunzbclz : wElSikclzbxlunzbclz ;aword 
@ndwEnSiscD@tSisEdbclrYtxwe : @ndwEnSiscD@tSisEdbclrYtxwe ;aword 
b^tSisEdItvEriklIrliD^weSiyuzdtuseIt : b^tSisEdItvEriklIrliD^weSiyuzdtuseIt ;aword 
Sizgats^mlcGsEntxnsIznW : Sizgats^mlcGsEntxnsIznW ;aword 
Sih@zmamisi@nd^vkorsclgcnb^tD@tsnat : Sih@zmamisi@nd^vkorsclgcnb^tD@tsnat ;aword 
d@dibYIzd@digcn : d@dibYIzd@digcn ;aword 
crsIstR : crsIstR ;aword 
@ndSisEzs^mTIGElsD@tYTctIzerixlilcG : @ndSisEzs^mTIGElsD@tYTctIzerixlilcG ;aword 
Ith@zxbWtTriwRdzInIt : Ith@zxbWtTriwRdzInIt ;aword 
no : no ;aword 
Ydont : Ydont ;aword 
noyRwElItsIn : no ;aword yR ;aword wElItsIn ;aword 
yRYlYktuduD@tYdontYdontTIGkSinoz : yRYlYktuduD@t ;aword Ydont ;aword Ydont ;aword TIGkSinoz ;aword 
SinozbRdSinozerustRSinozekWe : SinozbRdSinozerustRSinozekWe ;aword 
SiznEvRsinb^tRflYziDRSilUks@tDEme : SiznEvRsinb^tRflYziDRSilUks@tDEme ;aword 
SiSirixlilYksbUks : SiSirixlilYksbUks ;aword 
Siw^tSid^zmostliIzlUk@tDEm : Siw^tSid^zmostliIzlUk@tDEm ;aword 
@ndiDRyuk@n@skhRtuSoyuw^tD^dIfrInt : @ndiDRyuk@n@skhRtuSoyuw^tD^dIfrInt ;aword 
prabxblimorcfxnIzsItDer@ndpOnttuD^pIkCR : prabxblimorcfxnIzsItDer@ndpOnttuD^pIkCR ;aword 
@ndh@vyutElhRw^tItIz : @ndh@vyutElhRw^tItIz ;aword 
yRmost^vD^tYm : yRmost^vD^tYm ;aword 
SiyuZuxliSiyuZuxlilUksfcrw^tSiw^nts : SiyuZuxliSiyuZuxlilUksfcrw^tSiw^nts ;aword 
YyusDEmboT : YyusDEmboT ;aword 
elat : elat ;aword 
s^mtYmzYkclDEmb^nir@bItsyunoYJ^stduyus : s^mtYmzYkclDEmb^nir@bItsyunoYJ^stduyus ;aword 
no : no ;aword 
YdontTIGkYEvririxliTctxbWtIt : Ydont ;aword TIGkYEvririxliTctxbWtIt ;aword 
yRYduYgEs : yR ;aword YduYgEs ;aword 
YdontYnEvRrixliTctxbWtItm^C : YdontYnEvRrixliTctxbWtItm^C ;aword 
YYtcktuDEmelatYTIGkprabxbli@ndYyuZuxli : YYtcktuDEm ;aword elat ;aword YTIGkprabxbli@ndYyuZuxli ;aword 
anhRsElfSinozSinozclD^fespartsSi : anhRsElfSinozSinozclD^fespartsSi ;aword 
yRJ^stpleIGb^tSid^z : yRJ^stpleIGb^tSid^z ;aword 
Sid^zzIpRz : Sid^zzIpRz ;aword 
SilYkszIpRz : SilYkszIpRz ;aword 
SizclwezbInkYndxf@sInetIdwIDzIpRzSid^zxntdu : SizclwezbInkYndxf@sInetIdwIDzIpRzSid^zxntdu ;aword 
Sid^zxntdusn@pscrb^txncrEniTIG : Sid^zxntdusn@pscrb^txncrEniTIG ;aword 
^p@nddWnwICwe : ^p@nddWnwICwe ;aword 
oYTIGkSinozwEnSiIzs^mwerIfYsetuhR : oYTIGkSinozwEnSiIzs^mwerIfYsetuhR ;aword 
duyuw^nttugEtdWn : duyuw^nttugEtdWn ;aword 
D@tItminzWt^vwerSiIz : D@tItminzWt^vwerSiIz ;aword 
dWnfr^mwerSiIzYgEsSid^znoD@t : dWnfr^mwerSiIzYgEsSid^z ;aword no ;aword D@t ;aword 
YTIGkSid^zYdontrixliTIGkSinozxslip@z : YTIGkSid^zYdontrixliTIGkSinozxslip@z ;aword 
@ndDerzek@tInhirD@tw^zxslip@nd : @ndDerzek@tInhirD@tw^zxslip@nd ;aword 
@ndSinozwEnyRwEnyUrYzaropxnItminz : @ndSinoz ;aword wEn ;aword yR ;aword wEnyUrYzaropxnItminz ;aword 
yRdIfrIntfr^mDizb^tSid^zh@vs^m : yRdIfrIntfr^mDizb^tSid^zh@vs^m ;aword 
Sist@ksDEms^mb^tmostliw^tSid^zIzpUtDEmIn : Sist@ksDEms^mb^tmostliw^tSid^zIzpUtDEmIn ;aword 
@ndnakDEmovR : @ndnakDEmovR ;aword 
wilYTIGkdr@gxnzareprItidIstIGktTIG : wilYTIGkdr@gxnzareprItidIstIGktTIG ;aword 
yunoYminItslYkseIGItsehcrscrekW : yunoYminItslYkseIGItsehcrscrekW ;aword 
D@tsw^tItw^z : D@tsw^tItw^z ;aword 
wElIfItsedr@gxnItsedr@gxnyuno : wElIfItsedr@gxnItsedr@gxnyuno ;aword 
YTIGkxd^ltsprabxblixsosietb@dTIGzwIDdr@gxnzb^t : YTIGkxd^ltsprabxblixsosietb@dTIGzwIDdr@gxnzb^t ;aword 
yR : yR ;aword 
yRYpOntWtelat^vTIGztuhRyunowiar : yRYpOntWtelat^vTIGztuhRyunowiar ;aword 
YvivxntrYdmekIGedIstIGkSxnbxtwinpIJInz@nd^DRkYndz : YvivxntrYdmekIGedIstIGkSxnbxtwinpIJInz@nd^DRkYndz ;aword 
yRyRSizprabxblinat@zspIsIfIkwEl : yR ;aword yR ;aword Sizprabxblinat@zspIsIfIkwEl ;aword 
yRSid^z : yR ;aword Sid^z ;aword 
yRwElSiJ^stSikYndxpIksIt^p@ndSi : yR ;aword wElSiJ^stSikYndxpIksIt^p@ndSi ;aword 
D^^DRdeYw^zanD^fon@ndSiw^zsItIGInD^ : D^^DRdeYw^zanD^fon@ndSiw^zsItIGInD^ ;aword 
lYkSiw^ztckIGtus^mb^dianD^fon : lYkSiw^ztckIGtus^mb^dianD^fon ;aword 
elat^vtYmzSipIks^pD^fon@ndDEnyElzfcrmi : elat^vtYmzSipIks^pD^fon@ndDEnyElzfcrmi ;aword 
yRyRSirixlilYkspleIGpikxbu : yR ;aword yR ;aword SirixlilYkspleIGpikxbu ;aword 
SilYksp^tIGTIGzovRhRfes@nddIsxpIrIG : SilYksp^tIGTIGzovRhRfes@nddIsxpIrIG ;aword 
aryubr^SIGmYher : aryubr^SIGmYher ;aword 
aryubr^SIGmYher : aryubr^SIGmYher ;aword 
no : no ;aword 
YYTIGkDeprabxbli^ndRst@ndmebiD^semxmWnt : YYTIGkDeprabxbli^ndRst@ndmebiD^semxmWnt ;aword 
yunoSikYndxsItsDerlYkSiztckIGtuyus^mtYmz : yunoSikYndxsItsDerlYkSiztckIGtuyus^mtYmz ;aword 
d^zxntrixliduD@t : d^zxntrixlidu ;aword D@t ;aword 
Sid^zw^nsInewYlb^tnatlYkxmilixd^z : Sid^z ;aword w^nsInewYlb^tnatlYkxmilixd^z ;aword 
noYvbInrEdIGtuDEmelItxlbItb^tDedontpe : no ;aword YvbInrEdIGtuDEmelItxlbItb^tDedontpe ;aword 
D@tsD@tsxbWtclSid^z : D@tsD@tsxbWtcl ;aword Sid^z ;aword 
SiSid^zD@t@ndSipOntscrSibrIGzmis^mwer : Si ;aword Sid^z ;aword D@t ;aword @ndSipOntscrSibrIGzmis^mwer ;aword 
^DRwYzSid^zxntYdontTIGkh@vEni : ^DRwYzSid^zxnt ;aword Ydont ;aword TIGkh@vEni ;aword 
yRD^semwe : yRD^semwe ;aword 
arDers^m^vDizbUksD@tarbEtRfcrhRsteJD@n : arDers^m^vDizbUks ;aword D@t ;aword arbEtRfcrhRsteJD@n ;aword 
arDerwRdzIns^m^vDizbUksD@tarmorfxmIlyRD@n : arDerwRdzIns^m^vDizbUks ;aword D@t ;aword armorfxmIlyRD@n ;aword 
wElSinozbebi@ndflWR : wEl ;aword Si ;aword nozbebi@ndflWR ;aword 
@ndd^ks : @ndd^ks ;aword 
@ndbRdz : @ndbRdz ;aword 
@ndSizizitupIkSik@npIkDozWtprItiizxli : @ndSizizitupIkSik@npIkDozWtprItiizxli ;aword 
Siw^zclsolUkIG@tD^tr^k@nddcg@nd@ndsnikRz : Si ;aword w^zclsolUkIG@tD^tr^k@nddcg@nd@ndsnikRz ;aword 
hWz@ndWld^zSi^ndRst@ndEni^vDizwRdz : hWz@ndWld^zSi^ndRst@ndEni^vDizwRdz ;aword 
yEsprabxbliEvriTIGb^tD^mWs@ndD^Wl : yEsprabxbliEvriTIGb^tD^mWs@ndD^Wl ;aword 
d^zSitEndtuseDozwRdz@thom : d^zSitEndtuseDozwRdz@thom ;aword 
SitrYztusebot : SitrYztusebot ;aword 
wih@vebot : wih@vebot ;aword 
soSizfxmIlyRwIDD@t : soSizfxmIlyRwID ;aword D@t ;aword 
SiSid^zsedcgYgEs : Si ;aword Si ;aword d^zsedcgYgEs ;aword 
yRSid^zsedcg : yR ;aword Sid^zsedcg ;aword 
wih@vedcgclsoso : wih@vedcgclsoso ;aword 
wUdyulYkek@t : wUdyulYkek@t ;aword 
duyunoEniw^nhuwUdlYkw^n : duyunoEniw^nhuwUdlYkw^n ;aword 
no : no ;aword 
mYm^DRztrYIGtugEtrId^vs^mk@ts : mYm^DRztrYIGtugEtrId^vs^mk@ts ;aword 
SizclwezseIGcrd@t : SizclwezseIGcrd@t ;aword 
IzD@tsxpozdtubi : IzD@tsxpozdtubi ;aword 
w^tsD@t : w^tsD@t ;aword 
Ydontno : Ydontno ;aword 
wElYTctmebiSiw^zSiw^zseIG : wEl ;aword YTctmebi ;aword Si ;aword w^zSiw^zseIG ;aword 
xn^DRw^n : xn^DRw^n ;aword 
bxkczYw^zseIGD@ttuhR : bxkczYw^zseIGD@ttuhR ;aword 
yuno@ndYTIGkD@tss^mTIGYprabxblisetuhRelat : yuno@ndYTIGkD@tss^mTIGYprabxblisetuhR ;aword elat ;aword 
@ndSiw^zduIGD@tpOntIGtuD^semTIG : @nd ;aword Si ;aword w^zduIGD@tpOntIGtuD^semTIG ;aword 
YTIGkSih@zxn^DREksprESInfcrD@tsWndz : YTIGkSih@zxn^DREksprESInfcrD@tsWndz ;aword 
w^tsD@t : w^tsD@t ;aword 
yRSizclwez@skIGw^tTIGzar : yR ;aword Sizclwez@skIGw^tTIGzar ;aword 
yunoInnubUkscrEniTIGSiclwezw^ntsSi : yunoInnubUkscrEniTIGSiclwezw^nts ;aword Si ;aword 
yuD@tSiw^zgoIGtulYkw^n^vDozbUksbxkcz : yuD@t ;aword Si ;aword w^zgoIGtulYkw^n^vDozbUksbxkcz ;aword 
wElDedonth@vEnibUkswIDpepRpeJIz@ndDelYk : wEl ;aword Dedonth@vEnibUkswIDpepRpeJIz@ndDelYk ;aword 
@ndTIGzDelYkturIp^pTIGzwIDpepRpeJIz : @nd ;aword TIGzDelYkturIp^pTIGzwIDpepRpeJIz ;aword 
h@zSigatxntuD^pOntwerSik@nmxnIpyxlet : h@zSigatxntuD^pOntwerSik@nmxnIpyxlet ;aword 
Sixpirdtubih@vIGs^mdIfIk^ltiwIDD^kloDIGanD^ : Sixpirdtubih@vIGs^mdIfIk^ltiwIDD^kloDIGanD^ ;aword 
Sik@ntekhRkloDzcf : Sik@ntekhRkloDzcf ;aword 
yunoSik@ntpUthREniTIGan : yunoSik@ntpUthREniTIGan ;aword 
b^tSiSid^ztrYtupUtTIGzan : b^tSi ;aword Si ;aword d^ztrYtupUtTIGzan ;aword 
Siw^zIntxrEstIdInD^snikRz : Si ;aword w^zIntxrEstIdInD^snikRz ;aword 
yR : yR ;aword 
Deh@vnusnikRz : Deh@vnusnikRz ;aword 
@ndSitrYdtuxntY : @nd ;aword SitrYdtuxntY ;aword 
yRSi^ntYzhRSuz@ndteksDEmcf : yR ;aword Si^ntYzhRSuz@ndteksDEmcf ;aword 
@ndDEnSik^mzr^nIGtuyu@ndw^ntsDEmb@kanxgEn : @ndDEnSik^mzr^nIGtuyu@ndw^ntsDEmb@kanxgEn ;aword 
noSiyuZuxlid^zxntw^ntDEmb@kanxgEn : no ;aword Si ;aword yuZuxlid^zxntw^ntDEmb@kanxgEn ;aword 
w^tduyuw^nt : w^tduyuw^nt ;aword 
DIs : DIs ;aword 
SirixligatIntuD^wRdflWR : SirixligatIntuD^wRdflWR ;aword 
yRSizbInseIGflWRfcrelcGtYm : yR ;aword SizbInseIGflWRfcrelcGtYm ;aword 
w^tduyuw^ntDIs : w^tduyuw^nt ;aword DIs ;aword 
ItsnatebebiItsebO : ItsnatebebiItsebO ;aword 
lUkslYkebebituyuYgEs : lUkslYkebebituyuYgEs ;aword 
xn^DRbebi : xn^DRbebi ;aword 
SizvEriIntxrEstIdInp^tIGD^dcgIn@ndWt^vD^hWz : SizvEriIntxrEstIdInp^tIGD^dcgIn@ndWt^vD^hWz ;aword 
IzSiIntup^tIGdclfRnICRIntuhWsIzcrEniTIGlYk : Iz ;aword Si ;aword Intup^tIGdclfRnICRIntuhWsIzcrEniTIGlYk ;aword 
no : no ;aword 
Sirixliw^ntIdtuopxn@ndS^tD@tdorsom^C : Sirixliw^ntIdtuopxn@ndS^tD@tdorsom^C ;aword 
d^zSiduD@tm^C@thom : d^zSiduD@tm^C@thom ;aword 
noSid^zxnt : noSid^zxnt ;aword 
d^zSi^ndRst@ndD^tRmzhWz@nddor : d^zSi^ndRst ;aword @nd ;aword D^tRmzhWz@nddor ;aword 
wElYdontno : wEl ;aword Ydontno ;aword 
Sinozw^thWz@nddorar@thomb^tYdontnoIf : Si ;aword nozw^thWz@nddorar@thomb^t ;aword Ydont ;aword noIf ;aword 
credor : credor ;aword 
Siw^zpOntIGtuD^wRdzanD^pepR : Si ;aword w^zpOntIGtuD^wRdzanD^pepR ;aword 
yRYyuZuxlipOntWt : yR ;aword YyuZuxlipOntWt ;aword 
wRdzn^mbRzD@tsprabxbliwYSiw^zpOntIGDEmWt : wRdzn^mbRzD@tsprabxbliwYSiw^zpOntIGDEmWt ;aword 
d^zSi^ndRst@ndD^wRd : d^zSi^ndRst ;aword @ndD^wRd ;aword 
wRdz : wRdz ;aword 
noSid^zxnt : noSid^zxnt ;aword 
b^tSid^zpextEnSIntuDEm : b^tSi ;aword d^zpextEnSIntuDEm ;aword 
YTIGkD@tSinozD@tDeardIfrIntD@npIkCRz : YTIGkD@t ;aword Si ;aword nozD@tDeardIfrIntD@npIkCRz ;aword 
