a	x
approached	xproCt
appropriate	xpropriIt
apricot	@prIkat
apricots	@prikats
apron	eprxn
apronstring	eprxnstrIG
aquarium	xkwErixm
arc	ark
arches	arCxz
are	ar
area	Erix
areas	Erixz
areil	Erexl
aren't	arnt
arfarf	arfarf
argue	argyu
arguing	argyuIG
argument	argyumxnt
arise	xrYz
ark	ark
arm	arm
armadillo	armxdIlo
armhole	armhol
arms	armz
army	armi
aroonie	xruni
around	xrWnd
arrange	xrenJ
arranged	xrenJd
arrangements	xrenJmxnts
arranging	xrenJIG
array	xre
arrived	xrYvd
arriving	xrYvIG
art	art
arthur	arTR
article	artIkxl
articles	artIkxlz
artillery	artIlRi
arts	arts
as	@z
ashamed	xSemd
ashes	@Sxz
ashley	@Sli
ashley's	@Sliz
ashy	@Si
ask	@sk
asked	@skt
asking	@skIG
asks	@sks
asleep	xslip
asparagus	xspErxg^s
aspirate	@spxret
aspirated	@spxretxd
aspirates	@spxrets
aspirating	@spxretIG
assemble	xsEmbxl
asserting	xsRtIG
assistance	xsIstxns
associate	xsosiet
associated	xsosietId
associates	xsosiets
association	xsosieSxn
assortment	xsartmxnt
assume	xsum
assumed	xsumd
at	@t
ate	et
athe	eD
attach	xt@C
attached	xt@Ct
attaches	xt@Cxz
attack	xt@k
attacked	xt@kt
attacking	xt@kIG
attention	xtEnSxn
attic	@tIk
attitude	@txtud
attitude	@txtudz
attractive	xtr@ktIv
augmentin	cgmEntIn
august	cgxst
aunt	@nt
auntie	@nti
aunts	@nts
autograph	ctxgr@f
automatic	ctxm@tIk
automatically	ctxm@tIkli
automobile	ctxmxbil
avenue	@vxnu
averaging	@vrxJIG
avocado	avxCado
avocados	avxCadoz
aw	c
awake	xwek
awakening	xwekxnIG
aware	xwEr
away	xwe
awesome	cs^m
awful	cfxl
awfully	cfli
awfuls	cfxlz
awkward	ckwRd
ax	@ks
aye	Y
b	bi
b@l	bi
baa	ba
baa@o	ba
baba	baba
babac	babak
babar	babar
babars	babarz
babas	babaz
babble	b@bxl
babbling	b@bxlIG
babe	beb
babes	bebz
babies	bebiz
baboo	bxbu
baboon	bxbun
baby	bebi
baby's	bebiz
babycake	bebikek
babycakes	bebikeks
babydoll	bebidcl
babydolls	bebidclz
babysat	bebisIt
babysitter	bebisItR
babysitters	bebisItRz
back	b@k
backdoor	b@kdcr
backed	b@kt
backflips	b@kflIps
background	b@krWnd
backie	b@ki
backing	b@kIG
backordered	b@kcrdRd
backs	b@ks
backtwist	b@ktwIst
backward	b@kwRd
backwards	b@kwRdz
backwash	b@kwaS
backyard	b@kyard
bacon	bekxn
bacteria	b@ktIrix
bad	b@d
badido	bxdido
badly	b@dli
baebae	bebe
bag	b@g
baggie	b@gi
baggies	b@giz
baggy	b@gi
bags	b@gz
bah	ba
bailey	beli
bake	bek
baked	bekt
baker	bekR
baker's	bekRz
bakers	bekRz
bakes	beks
baking	bekIG
balance	b@lxnts
balcony	b@lkxni
bald	bcld
ball	bcl
ball's	bclz
ballerina	b@lxrinx
ballerinas	b@lxrinxz
ballet	b@le
ballgame	bclgem
ballie	bcli
balling	bclIG
balloon	bxlun
balloons	bxlunz
balls	bclz
balmex	bclmEks
balogna	bxloni
baloney	bxloni
balooga	bxlugx
baltimore	baltImcr
bam	b@m
bambi	b@mbi
bambi's	b@mbiz
bambis	b@mbiz
bamboo	b@mbu
banana	bxn@nx
bananas	bxn@nxz
band	b@nd
bandana	b@nd@nx
bands	b@ndz
bang	b@G
banged	b@Gd
banging	b@GIG
banillon	bxnIlxn
banjo	b@nJo
bank	b@Gk
banner	b@nR
bantam	b@ntxm
baps	b@ps
bar	bar
barbecue	barbxkyu
barbells	barbElz
barber	barbR
barbie	barbi
barbies	barbiz
barbwire	barbwYr
barefoot	bErfUt
barefooted	bErfUtxd
barely	bErli
baring	bErIG
bark	bark
barked	barkt
barking	barkIG
barkley	barkli
barks	barks
barley	barli
barn	barn
barney	barni
barney's	barniz
barrel	bErxl
barrels	bErxlz
barrette	bxrEt
barrettes	bxrEts
barron	bErxn
barroon	bxrun
barroons	bxrunz
bars	barz
bart	bart
base	bes
baseball	besbcl
baseballs	besbclz
basement	besmxnt
bashful	b@Sfxl
basic	besIk
basically	besIkli
basics	besIks
basil	bezIl
basil's	bezIlz
basket	b@skIt
basket's	b@skIts
basketball	b@skItbcl
basketballs	b@skItbclz
basketful	b@skItfxl
baskets	b@skIts
baster	bestR
basty	besti
bat	b@t
bath	b@T
bathie	b@Ti
bathing	beDIG
bathingsuit	beDIGsut
bathingsuits	beDIGsuts
bathroom	b@Trum
bathrooms	b@Trumz
baths	b@Ts
bathtime	b@TtYm
bathtub	b@Tt^b
batman	b@tm@n
bats	b@ts
batter	b@tR
batteries	b@tRi
battery	b@tRiz
battery's	b@tRiz
battle	b@txl
batty	b@ti
bay	be
be	bi
beach	biC
bead	bid
beads	bidz
beady	bidi
beak	bik
bean	bin
beanbag	binb@g
beanie	bini
beans	binz
beanstalk	binstak
bear	bEr
bear's	bErz
bearbrown	bErrbrWn
beard	bIrd
bears	bErz
beast	bist
beastly	bistli
beat	bit
beaten	bitxn
beaters	bitRz
beating	bitIG
beatrix	biatrIks
beautician	byutISxn
beautiful	byutxfxl
beautifully	byutIfli
beauty	byuti
beavers	bivRz
bebe	bebe
became	bikem
because	bIk^z
become	bIk^m
becomes	bIk^mz
becoming	bik^mIG
bed	bEd
bed's	bEdz
beddybye	bEdibY
bedroom	bEdrum
beds	bEdz
bedspread	bEdsprEd
bedtime	bEdtYm
bee	bi
bee's	biz
beef	bif
been	bIn
beep	bip
beeper	bipR
beeps	bips
beer	bIr
bees	biz
beet	bit
beetie	biti
beetle	bitxl
beetles	bitxlz
beets	bits
before	bIfcr
beg	bEg
began	bIg@n
beggar	bEgR
begging	bEgIG
begin	bIgIn
beginner	bIgInR
beginning	bIgInIG
begins	bIgInz
begun	bIg^n
behaved	bihevd
behavior	bIhevyR
behind	bIhYnd
being	biIG
beings	biIGz
belch	bElC
belches	bElCxz
belief	bIlif
believe	bIliv
believed	bIlivd
believes	bIlivz
bell	bEl
bellies	bEliz
belligerent	bElIJRxnt
bellowed	bElod
bells	bElz
belly	bEli
bellybutton	bElib^txn
belong	bilcG
belongs	bIlcG
below	bIlo
belt	bElt
belts	bElts
ben	bEn
ben's	bEnz
bench	bEnC
bend	bEnd
bended	bEndxd
bending	bEndIG
beneath	bIniT
benjamin	bEnJxmIn
bent	bEnt
berries	bEriz
berry	bEri
bert	bRt
bert's	bRts
bertha's	bRTxz
beside	bIsYd
besides	bIsYdz
best	bEst
bestest	bEstEst
bet	bEt
beth	bET
better	bEtR
betty	bEti
between	bItwin
beverage	bEvRxJ
beyond	biand
bib	bIb
bibbie	bIbi
bible	bYbxl
bibs	bIbz
bicycle	bYsIkxl
bid	bId
big	bIg
bigger	bIgR
biggest	bIgIst
bike	bYk
bike's	bYks
bikes	bYks
bill	bIl
bills	bIlz
billy	bIli
bin	bIn
bing@o	bIG
bingo	bIGgo
binkie	bIGki
binkies	bIGkiz
binoculars	bYn^kyulRz
binya	bInyx
bird	bRd
bird's	bRdz
birdfeeder	bRdfidR
birdie	bRdi
birdie's	bRdiz
birdies	bRdiz
birds	bRdz
birth	bRT
birthday	bRTde
biscuits	bIskIts
bit	bIt
bite	bYt
bites	bYts
biting	bYtIG
bits	bIts
bitsy	bItsi
bitter	bItR
bitty	bIti
black	bl@k
blackberries	bl@kbEriz
blackberry	bl@kbEri
blackbird	bl@kbRd
blackbirds	bl@kbRdz
blade	bled
blades	bledz
blah	bla
blame	blem
blank	bl@Gk
blanket	bl@GkIt
blanketie	bl@GkIti
blankets	bl@GkIts
blankie	bl@Gki
blankies	bl@Gkiz
blast	bl@st
bleach	bliC
bleached	bliCt
bleaching	bliCIG
bleed	blid
blend	blEnd
blends	blEndz
bless	blEs
blessed	blEst
blessing	blEsIG
blessings	blEsIGz
blew	blu
blind	blYnd
blinds	blYndz
blink	blIGk
blinking	blIGkIG
block	blak
block's	blaks
blockbuster	blakb^stR
blocked	blakt
blockhead	blakhEd
blockie	blaki
blockies	blakiz
blocking	blakIG
blocks	blaks
blond	bland
blonde	bland
blood	bl^d
bloom	blum
blooming	blumIG
blossomed	blasxmd
blouse	blWs
blow	blo
blowing	blowIn
blows	bloz
blowup	blo^p
blue	blu
blue's	bluz
blueberries	blubEriz
blueberry	blubEri
blush	bl^S
blustery	bl^stRi
bo	bo
board	bcrd
boarded	bcrdxd
boat	bot
boats	bots
bob	bab
bobbing	babIG
bobbling	babxlIG
bobby	babi
bobo	bobo
boboneen	bobonin
boboni	boboni
boboon	bobun
boboonie	bobuni
body	badi
bog	bag
bogus	bog^s
boil	bOl
boiled	bOld
boiling	bOlIG
boing	bOG
bologna	bxloni
bond	band
bone	bon
boneen	bonin
boneen's	boninz
boneene	bonin
boneeno	bonino
bones	bonz
bong	baG
bongo	baGgo
bongos	baGgoz
bonk	baGk
bonked	baGkt
bonkie	baGki
bonking	baGkIG
bonnet	banIt
bonny	bani
bony	boni
boo	bu
boobie	bubi
booboo	bubu
boobooing@n	bubuIG
booboon	bubun
booboon's	bubunz
booboonee	bubuni
boobooneen	bubunin
boobooneen's	bubuninz
boobooneeno	bubunino
booboonino	bubunino
booboos	bubuz
boobooshas	bubuSxz
booger	bUgR
boogers	bUgRz
boogie	bUgi
boogies	bUgiz
boogyman	bUgim@n
book	bUk
bookbag	bUkb@g
bookcase	bUkkes
bookie	bUki
bookies	bUkiz
books	bUks
boom	bum
boom@o	bum
boomdie	bumdi
boomerang	bumxr@G
booms	bumz
boomsie	bumzi
booneenie	bunini
boonie	buni
boop	bup
boops@o	bups
boopsieboo	bupsibu
boosh	buS
booshaboosh	buSxbuS
boost	bust
booster	bustR
boot	but
bootiebooshas	butibuSxz
booties	butiz
boots	buts
booty	buti
bop	bap
bop's	baps
boppety	bapxti
bored	bcrd
boring	bcrIG
born	barn
borrowed	barod
borrowing	barowIn
bossing	basIG
boston	bastG
both	boT
bother	baDR
bothered	baDRd
bothering	baDRIG
bothers	baDRz
bottle	batxl
bottles	batxlz
bottom	batxm
bottoms	batxmz
bough	bW
bought	bct
bounce	bWnts
bounced	bWntst
bouncer	bWntsR
bounces	bWntsxz
bouncie	bWntsi
bouncing	bWntsIG
bouncy	bWntsi
bounder	bWndR
bounds	bWndz
bout	bWt
bow	bo
bowed	bWd
bowel	bWl
bowels	bWlz
bowing	bWIG
bowl	bol
bowls	bolz
bows	boz
bowwow	bWwW
bowwow@o	bWwW
box	baks
boxes	baksIz
boy	bO
boy's	bOz
boys	bOz
boyser	bOzR
boyz	bOz
bra	bra
bracelet	breslxt
braid	bred
braiding	bredIG
brain	bren
bran	br@n
branch	br@nC
branches	br@nCxz
brand	br@nd
brandnew	br@ndnu
brass	br@s
brat	br@t
brave	brev
bray	bre
bread	brEd
break	brek
breakable	brekxbxl
breakfast	brEkfxst
breaking	brekIG
breaks	breks
breast	brEst
breath	brET
breathe	briD
breather	briDR
breathing	briDIG
breeze	briz
brenda	brEndx
brenda's	brEndxz
brendan	brEndxn
brian	brYG
brick	brIk
bricks	brIks
bridge	brIJ
bridges	brIJIz
briefcase	brifkes
bright	brYt
brighter	brYtR
brightness	brYtnEs
brigitte	brIJit
brigitte's	brIJits
brilliant	brIlyxnt
bring	brIG
bringing	brIGIG
brings	brIGz
brisco	brIsko
brisco's	brIskoz
bristle	brIsxl
bristles	brIsxlz
britches	brItCxz
brittany	brItni
brittney	brItni
brittney's	brItniz
broad	brcd
broader	brcdR
broccoli	brcCxli
brocovich	brakxvIC
broke	brok
broken	brokxn
brokenhearted	brokxnhartxd
brook	brUk
brooklyn	brUklxn
broom	brum
brooms	brumz
broth	braT
brother	br^DR
brothers	br^DRz
brought	brct
brown	brWn
brownies	brWniz
browns	brWnz
brows	brWz
brr	bR
bruce	brus
bruise	bruz
bruised	bruzd
brunch	br^nC
brush	br^S
brusha	br^Sx
brushed	br^St
brushes	br^SIz
brushing	br^SIG
bub	b^b
bubbilicious	b^bIlISxs
bubble	b^bxl
bubbler	b^bxlR
bubbles	b^bxlz
bubblicious	b^blISxs
bubbly	b^bxli
buckaroo	b^kxru
bucket	b^kIt
buckets	b^kIts
buckle	b^kxl
buckled	b^kxld
buckles	b^kxlz
buckling	b^klIG
bucks	b^ks
bucky	b^ki
bud	b^d
buddies	b^diz
buddy	b^di
buds	b^dz
bug	b^g
bug's	b^gz
bugged	b^gd
buggie	b^gi
bugging	b^gIG
bugs	b^gz
build	bIld
builded	bIldxd
building	bIldIG
buildings	bIldIGz
builds	bIldz
built	bIlt
bull	bUl
bullfrog	bUlfrag
bully	bUli
bullying	bUliIG
bullys	bUliz
bum	b^m
bumblebee	b^mbxlbi
bumblebees	b^mbxlbiz
bumbling	b^mbxlIG
bummed	b^md
bummer	b^mR
bummie	b^mi
bummie's	b^miz
bumming	b^mIG
bump	b^mp
bumped	b^mpt
bumper	b^mpR
bumping	b^mpIG
bumpity	b^mpIti
bumps	b^mps
bumpy	b^mpi
bums	b^mz
bun	b^n
bunch	b^nC
bundle	b^ndxl
bungalow	b^ngxlo
bunnies	b^niz
bunnies's	b^nizxz
bunny	b^ni
bunny's	b^niz
bunnyegg	b^niEg
bunnyrabbit	b^nir@bIt
bunnyrabbits	b^nir@bIts
bunnys	b^niz
buns	b^nz
bunting	b^ntIG
buried	bErid
burke	bRk
burn	bRn
burned	bRnd
burning	bRnIG
burnt	bRnt
burp	bRp
burped	bRpt
burper	bRpR
burpie	bRpi
burping	bRpIG
burps	bRps
burrow	bRo
burt	bRt
bury	bEri
bus	b^s
buses	b^sIz
bush	bUS
bushed	bUSt
bushel	bUSxl
bushes	bUSIz
business	bIznxs
businesses	bIznxsxz
bust	b^st
busted	b^stxd
buster	b^stR
busting	b^stIG
busts	b^sts
busy	bIzi
but	b^t
but's	b^ts
buts	b^ts
butt	b^t
butter	b^tR
butterball	b^tRbcl
butterflies	b^tRflYz
butterfly	b^tRflY
butternut	b^tRn^t
butternutie@n	b^tRn^ti
button	b^txn
buttoned	b^txnd
buttonhole	b^txnhol
buttoning	b^txnIG
buttons	b^txnz
butts	b^ts
buttsie	b^tsi
buy	bY
buying	bYIG
buys	bYz
buzz	b^z
buzzing	b^zIG
by	bY
bye	bY
byebye	bYbY
byebyes	bYbYz
c	si
c@l	si
cabbage	k@bxJ
cabinet	k@bxnIt
cabinets	k@bxnIts
cable	kebxl
caboose	kxbus
cactus	k@ktxs
cage	keJ
cages	keJIz
cake	kek
cake's	keks
cakes	keks
cakie	keki
caking@n	kekIG
calcium	k@lsixm
calculator	k@lkyuletR
calendar	k@lEndR
calf	k@f
california	k@lxfcrnyx
call	kcl
called	kcld
calling	kclIG
calls	kclz
calm	kalm
calories	k@lcriz
calvary	k@lvxri
came	kem
camel	k@mxl
camels	k@mxlz
camera	k@mxrx
cameras	k@mxrxz
camp	k@mp
campbell	k@mbxl
camped	k@mpt
camping	k@mpIG
camps	k@mps
can	k@n
can't	k@nt
cancel	k@nsxl
candies	k@ndiz
candle	k@ndxl
candles	k@ndxlz
candy	k@ndi
cane	ken
cannot	k@nat
cans	k@nz
cantaloupe	k@ntxlop
canton	k@ntxn
cap	k@p
capable	kepxbxl
capris	kxpriz
captain	k@ptxn
car	kar
car's	karz
carbonation	karbxneSxn
card	kard
cardboard	kardbcrd
cardinal	kardxnxl
cardinals	kardxnxlz
cards	kardz
care	kEr
careening	kxrinIG
careful	kErfxl
carefully	kErfxli
cares	kErz
carl	karl
carmen	karmxn
carol	kErxl
carpet	karpxt
carriage	kErxJ
carrie	kEri
carried	kErid
carries	kEriz
carrot	kErxt
carrots	kErxts
carry	kEri
carrying	kErriIG
cars	karz
carseat	karsit
cart	kart
carton	kartxn
cartoon	kartun
cartoons	kartunz
carts	karts
case	kes
cases	kesxz
cassy	k@si
castle	k@sxl
castles	k@sxlz
casts	k@sts
cat	k@t
cat's	k@ts
catalogs	k@txlagz
catalogue	k@txlag
catastrophe	kxt@strxfi
catch	k@C
catcher	k@CR
catches	k@Cxz
catching	k@CIG
catdoor	k@tdcr
categorical	k@tIgcrIkxl
categories	k@tIgcriz
caterpillar	k@tRpIlR
caterpillars	k@tRpIlRz
catnaping	k@tn@pIG
cats	k@ts
caught	kct
cauliflower	kcliflWR
cause	kcz
causing	kczIG
cavalry	k@vxlri
cave	kev
caves	kevz
caw	kc
cdefg@k	sidiiEfJi
ceiling	silIG
ceilings	silIGs
celebrate	sElxbret
celebrated	sElxbretxd
celebrates	sElxbrets
celebrating	sElxbretIG
celebration	sElxbreSxn
celery	sElRi
cell	sEl
cells	sElz
cement	sImEnt
cent	sEnt
center	sEntR
centered	sEntRd
centering	sEntRIG
centers	sEntRz
centipede	sEntIpid
cents	sEnts
century	sEnCRi
cereal	sIrixl
cereal's	sIrixlz
cereals	sIrixlz
certain	sRtxn
certainly	sRtxnli
certificate	sRtIfxCxt
chafing	CefIG
chain	Cen
chains	Cenz
chair	CEr
chairs	CErz
chalk	Cak
chalkboard	Cakbcrd
challenge	C@lEnJ
challenging	C@lEnJIG
chance	C@nts
chances	C@ntsxz
change	CenJ
changed	CenJd
changes	CenJxz
changing	CenJIG
channel	C@nxl
channels	C@nxlz
chap	C@p
character	kErIktR
characteristic	kErIktxrIstIk
characters	kErIktRz
charge	CarJ
charged	CarJd
charges	CarJxz
charging	CarJIG
charlie	Carli
charm	Carm
charming	CarmIG
chart	Cart
chase	Ces
chased	Cest
chases	Cesxz
chasing	CesIG
chat	C@t
check	CEk
checkbook	CEkbUk
checkbook's	CEkbUks
checkbooks	CEkbUks
checking	CEkIG
checkout	CEkWt
checks	CEks
chee	Ci
cheek	Cik
cheekie	Ciki
cheekies	Cikiz
cheeks	Ciks
cheep	Cip
cheer	CIr
cheerful	CIrfxl
cheerio	CIrio
cheerio's	CIrioz
cheerios	CIrioz
cheers	CIrz
cheery	CIri
cheese	Ciz
cheeseburger	CizbRgR
cheeto	Cito
chef	SEf
cherries	CEriz
cherrio	CErio
chest	CEst
chester	CEstR
chew	Cu
chewed	Cud
chewing	CuwIG
chews	Cuz
chewy	Cuwi
chi	Ci
chichi	CiCi
chichi's	CiCiz
chick	CIk
chick's	CIks
chickadee	CIkxdi
chicken	CIkxn
chickennoodle	CIkxnnudxl
chickens	CIkxnz
chickie	CIki
chickie's	CIkiz
chickies	CIkiz
chicks	CIks
chico	Ciko
chihuahua	Ciwawa
child	CYld
children	CIldrxn
chili	CIli
chill	CIl
chillier	CIliR
chilling	CIlIG
chillon	CIlxn
chilly	CIli
chime	CYm
chimes	CYmz
chimney	CImni
chimp	CImp
chimpanzee	CImp@nzi
chin	CIn
china	CYnx
chinese	CYniz
chinie	CIni
chinnie	CIni
chip	CIp
chipmunks	CIpm^Gks
chips	CIps
chirp	CRp
chirping	CRpIG
chitlins	CItxlxnz
chocolate	CcklIt
choice	COs
choices	COsxz
choke	Cok
choking	CokIG
cholesterol	kxlEstRal
chomp	Ccmp
choo	Cu
choo@o	Cu
chooc@o	Cuk
choochoo	CuCu
choochoo@o	CuCu
choose	Cuz
chop	Cap
chopped	Capt
chore	Ccr
chores	Ccrz
chose	Coz
chris	krIs
christ	krYst
christened	krIsxnd
christening	krIsxnIG
christmas	krIsmxs
christopher	krIstxfR
chubby	C^bi
chuckie	C^ki
chugga@o	C^gx
chunky	C^Gki
church	CRC
churches	CRCxz
chute	Sut
cigarette	sIgxrEt
cinderella	sIndxrElx
cinderella's	sindxrElxz
cindy	sIndi
cindy's	sIndiz
cinnamon	sInxmxn
circle	sRkxl
circled	sRkxld
circles	sRkxlz
circular	sRkyulR
circulation	sRkyuleSxn
circumstances	sRkxmst@nsIz
circus	sRkxs
citrus	sItrxs
city	sIti
civilization	sIvxlxzeSxn
civilized	sIvxlYzd
clamp	kl@mp
clap	kl@p
clappie	kl@pi
clapping	kl@pIG
class	kl@s
clattering	kl@tRIG
claus	klcz
clay	kle
clean	klin
cleaned	klind
cleaner	klinR
cleaner's	klinRz
cleanest	klinEst
cleaning	klinIG
cleans	klinz
cleanup	klin^p
clear	klIr
clearance	klIrxnz
cleared	klIrd
clearer	klIrR
clearly	klIrli
clever	klEvR
click	klIk
clicker	klIkR
clicking	klIkIG
clifford	klIfRd
clifford's	klIfRdz
climb	klYm
climbed	klYmd
climber	klYmR
climbing	klYmIG
climbs	klYmz
clings	klIG
clinic	klInIk
clinics	klInIks
clink	klIGk
clinking	klIGkIG
clip	klIp
clipped	klIpt
clippers	klIpRz
clipping	klIpIG
clips	klIps
cloaks	kloks
clobber	klabR
clock	klak
clop	klap
close	kloz
closed	klozd
closely	klosli
closer	klosR
closes	klozxz
closet	klczIt
closing	klozIG
cloth	klcT
clothes	kloz
clothing	kloDIG
cloud	klWd
clouding	klWdIG
clouds	klWdz
cloudy	klWdi
clover	klovR
clown	klWn
clowns	klWnz
club	kl^b
cluck	kl^k
clue	klu
clues	kluz
clumps	kl^mps
clumpy	kl^mpi
clumsily	kl^msIli
clunk	kl^Gk
clunky	kl^Gki
clutter	kl^tR
cluttering	kl^tRIG
coaster	kostR
coasters	kostRz
coat	kot
coats	kots
cob	kab
cobweb	kabwEb
cobwebs	kabwEbz
coca	kokx
cock	kak
cockadoodledoo	kakxdudxldu
cockle	kakxl
cocoa	koko
cocoon	kxkun
code	kod
coffee	kcfi
coins	kOnz
coke	kok
cola	kolx
colada	koladx
cold	kold
cold's	koldz
colder	koldR
coleman	kolmxn
collapse	kxl@ps
collar	kalR
collect	kxlEkt
collection	kxlEkSxn
college	kalxJ
color	k^lR
color's	k^lRz
colored	k^lRd
colorful	k^lRfxl
coloring	k^lRIG
colors	k^lRz
colts	kolts
column	kal^m
columns	kal^mz
comb	kom
combed	komd
combie	kombi
combination	kambIneSxn
combine	kxmbYn
combing	komIG
combs	komz
come	k^m
comedy	kamxdi
comes	k^mz
comfort	k^mfRt
comfortable	k^mftRbxl
comfortably	k^mftRbli
comforter	k^mfRtR
comforting	k^mfRtIG
comfy	k^mfi
coming	k^mIG
commanded	kxm@ndxd
commander	kxm@ndR
comment	kamEnt
commercial	kxmRSxl
commercials	kxmRSxlz
common	kamxn
communicate	kxmyunIket
communication	kxmyunIkeSxn
company	kxmpxni
compared	kxmpErd
complain	kxmplen
complaining	kxmplenIG
complains	kxmplenz
complete	kxmplit
completed	kxmplitxd
completely	kxmplitli
complicated	kamplIketxd
complication	kamplIkeSxn
computer	kxmpyutR
concentrate	kansxntret
concentrating	kansxntretIG
concentric	kxnsEntrIk
concept	kansEpt
concerned	kxnsRnd
concerns	kxnsRnz
concert	kansRt
concerts	kansRts
condensation	kandEnseSxn
conditioner	kxndISxnR
conditioning	kxndISxnIG
condo	kando
condos	kandoz
cone	kon
confident	kanfIdEnt
confuse	kxnfyuz
confused	kxnfyuzd
confusing	kxnfyuzIG
congestion	kxnJEsCxn
congratulate	kxngr@Culet
connect	kxnEkt
connecting	kxnEktIG
connection	kxnEkSxn
connections	kxnEkSxnz
connie	kani
connotes	kxnots
conscious	kanSxs
consider	kxnsIdR
considerate	kxnsIdRxt
considered	kxnsIdRd
considering	kxnsIdRIG
considers	kxnsIdRz
consistent	kxnsIstxnt
consistently	kxnsIstxntli
conspiracy	kxnspRxsi
constant	kanstxnt
constantly	kanstxntli
constellation	kanstxleSxn
construct	kxnstr^kt
contact	kant@kt
contain	kxnten
containable	kxntenxbxl
