aa ஹ
towst മ
toyz യ
trax ര
traxks റ
tray ല
triy ള
tuw ഴ
uw വ
uwp ശ
uwps ഷ
vaxn സ
vaxng ഹ
veh ഺ
ver ഻
waa ഼
waach ഽ
waan ാ
waant ി
waants ീ
waaz ു
waed ൂ
waetd ൃ
wah ൄ
wahn ൅
wahnz െ
waht േ
wahts ൈ
waok ൉
waxdh ൊ
way ോ
wehl ൌ
wehnt ്
wehr ൎ
wehrz ൏
werd ൐
werk ൑
wey ൒
weyt ൓
wihch ൔ
wihdh ൕ
wiy ൖ
wiyl ൗ
wuwf ൘
wuwps ൙
yaa ൚
yae ൛
yaor ൜
yehs ൝
yer ൞
yuw ൟ
yuwv ൠ
zih ൡ
ziy ൢ
